券	ʨʰyœ̃˦˦˥$
刹	saʔ˥$
刺	ʦʰɿ˦˦˥$
刻	kʰeʔ˥$
刽	kue˦˦˥$
剁	tɷu˦˦˥$
剃	tʰi˦˦˥$
剄	ʨieŋ˦˦˥$
則	ʦɤʔ˥$
削	ɕiaʔ˥$
剋	kʰeʔ˥$
剌	laʔ˨$
前	ɦiẽ˨˨˧$
剐	kuo˦˦˥$
剑	ʨiẽ˦˦˥$
剔	tʰeʔ˥$
剖	pʰɤ˦˦˥$
剛	kɔ̃˦˦˥$
剝	poʔ˥$
剥	poʔ˥$
剧	ʥieʔ˨$
剪	ʨiẽ˦˦˥$
剮	kuo˦˦˥$
副	fu˦˦˥$
割	keʔ˥$
創	ʦʰɔ̃˦˦˥$
剺	li˨˨˧$
剿	ʥiɔ˨˨˧$
劃	ɦuaʔ˨$
劄	ʦaʔ˥$
劇	ʥieʔ˨$
劈	pʰeʔ˥$
劉	liɤ˨˨˧$
劊	kue˦˦˥$
劍	ʨiẽ˦˦˥$
力	leʔ˨$
劝	ʨʰyœ̃˦˦˥$
办	bæ̃˨˨˧$
加	ko˦˦˥$
务	vu˨˨˧$
动	doŋ˨˨˧$
助	ʣʮ˨˨˧$
努	nu˨˨˧$
劫	ʥieʔ˨$
劲	ʥieŋ˨˨˧$
劳	lɔ˨˨˧$
劾	kʰeʔ˥$
勁	ʥieŋ˨˨˧$
勃	boʔ˨$
勇	ioŋ˦˦˥$
勉	miẽ˨˨˧$
勋	ɕyeŋ˦˦˥$
勒	lɤʔ˨$
動	doŋ˨˨˧$
勘	kʰæ̃˦˦˥$
務	vu˨˨˧$
勞	lɔ˨˨˧$
募	mu˨˨˧$
勤	ʥieŋ˨˨˧$
勳	ɕyeŋ˦˦˥$
勸	ʨʰyœ̃˦˦˥$
勺	zoʔ˨$
勻	ɦyeŋ˨˨˧$
勾	kiɤ˦˦˥$
勿	feʔ˥$
匀	ɦyeŋ˨˨˧$
包	pɔ˦˦˥$
匆	ʦʰoŋ˦˦˥$
匈	ɕioŋ˦˦˥$
匐	voʔ˨$
北	poʔ˥$
匙	zɿ˨˨˧$
匝	ʦaʔ˥$
匠	ʥiã˨˨˧$
匡	kʰuɔ̃˦˦˥$
匣	ɦaʔ˨$
匪	fi˦˦˥$
匮	gue˨˨˧$
匯	ɦue˨˨˧$
匱	gue˨˨˧$
匹	pʰeʔ˥$
区	ʨʰy˦˦˥$
医	i˦˦˥$
匾	piẽ˦˦˥$
區	ʨʰy˦˦˥$
十	zeʔ˨$
千	ʨʰiẽ˦˦˥$
升	səŋ˦˦˥$
午	ɦu˨˨˧$
卉	hue˦˦˥$
半	pœ̃˦˦˥$
华	ɦuo˨˨˧$
协	ɦiaʔ˨$
卑	pe˦˦˥$
卒	ʦeʔ˥$
卓	ʦoʔ˥$
協	ɦiaʔ˨$
单	tæ̃˦˦˥$
卖	ma˨˨˧$
南	nẽ˨˨˧$
博	poʔ˥$
卜	poʔ˥$
卞	biẽ˨˨˧$
占	ʦẽ˦˦˥$
卡	kʰa˦˦˥$
卢	ɦu˨˨˧$
卤	ɦu˨˨˧$
卧	ŋɷu˨˨˧$
卫	ɦue˨˨˧$
卯	mɔ˨˨˧$
印	ieŋ˦˦˥$
危	ɦue˨˨˧$
即	ʨieʔ˥$
却	ʨʰiaʔ˥$
卵	lœ̃˨˨˧$
卷	ʨyœ̃˦˦˥$
卸	ɕia˦˦˥$
卻	ʨʰiaʔ˥$
卿	ʨʰieŋ˦˦˥$
厂	ʦʰã˦˦˥$
厄	ɤʔ˥$
厅	tʰeŋ˦˦˥$
历	leʔ˨$
厉	li˨˨˧$
厌	iẽ˦˦˥$
厕	ʦʰɿ˦˦˥$
厘	li˨˨˧$
厚	ɦɤ˨˨˧$
原	ȵyœ̃˨˨˧$
厢	ɕiã˦˦˥$
厣	iẽ˦˦˥$
厥	ʨyeʔ˥$
厨	ʣʮ˨˨˧$
厭	iẽ˦˦˥$
厮	sɿ˦˦˥$
厲	li˨˨˧$
厴	iẽ˦˦˥$
去	ʨʰy˦˦˥$
县	ɦyœ̃˨˨˧$
参	ʦʰẽ˦˦˥$
參	ʦʰẽ˦˦˥$
又	ɦiɤ˨˨˧$
叉	ʦʰo˦˦˥$
及	ʥieʔ˨$
友	ɦiɤ˨˨˧$
双	sɔ̃˦˦˥$
反	fæ̃˦˦˥$
发	faʔ˥$
叔	soʔ˥$
取	ʦʰʮ˦˦˥$
受	zɤ˨˨˧$
变	piẽ˦˦˥$
叙	ʥy˨˨˧$
叢	ʣoŋ˨˨˧$
口	kʰiɤ˦˦˥$
古	ku˦˦˥$
句	ʨy˦˦˥$
叨	tʰɔ˦˦˥$
叩	kʰiɤ˦˦˥$
只	ʦeʔ˥$
叫	kɔ˦˦˥$
召	ʣɔ˨˨˧$
叭	pa˦˦˥$
叮	teŋ˦˦˥$
可	kʰɷu˦˦˥$
台	tʰe˦˦˥$
叱	ʦʰɤʔ˥$
右	ɦiɤ˨˨˧$
叶	ɦieʔ˨$
号	ɦɔ˨˨˧$
司	sɿ˦˦˥$
叹	tʰæ̃˦˦˥$
吁	ɦy˨˨˧$
吃	ʨʰyoʔ˥$
各	koʔ˥$
合	keʔ˥$
吉	ʨieʔ˥$
吊	tiɔ˦˦˥$
吋	ʦʰueŋ˦˦˥$
同	doŋ˨˨˧$
名	meŋ˨˨˧$
后	ɦɤ˨˨˧$
吏	li˨˨˧$
吐	tʰu˦˦˥$
向	ɕiã˦˦˥$
吓	haʔ˥$
吕	li˨˨˧$
君	ʨyeŋ˦˦˥$
吝	leŋ˨˨˧$
吞	tʰueŋ˦˦˥$
吟	ȵieŋ˨˨˧$
否	fɤ˦˦˥$
吧	ba˨˨˧$
吩	feŋ˦˦˥$
含	ɦẽ˨˨˧$
听	tʰeŋ˦˦˥$
启	ʨʰi˦˦˥$
吳	ŋ̩˨˨˧$
吴	ŋ̩˨˨˧$
吹	ʦʰe˦˦˥$
吻	veŋ˨˨˧$
吼	hɤ˦˦˥$
吾	ɦu˨˨˧$
呀	ia˦˦˥$
呂	li˨˨˧$
呆	ŋe˨˨˧$
呈	ʣəŋ˨˨˧$
告	kɔ˦˦˥$
呐	naʔ˨$
呕	ɤ˦˦˥$
员	ɦyœ̃˨˨˧$
呛	ʨʰiã˦˦˥$
周	ʦɤ˦˦˥$
味	mi˨˨˧$
呻	seŋ˦˦˥$
命	meŋ˨˨˧$
咄	tøʔ˥$
咆	bɔ˨˨˧$
和	ɦu˨˨˧$
咎	ʥiɤ˨˨˧$
咏	ioŋ˦˦˥$
咐	fu˦˦˥$
咒	ʦɤ˦˦˥$
咖	ka˦˦˥$
咙	loŋ˨˨˧$
咚	toŋ˦˦˥$
咛	ȵieŋ˨˨˧$
咨	ʦɿ˦˦˥$
咪	mi˦˦˥$
咬	ŋɔ˨˨˧$
咯	kʰaʔ˥$
咳	kʰeʔ˥$
咸	ɦiẽ˨˨˧$
咽	iẽ˦˦˥$
哀	e˦˦˥$
品	pʰeŋ˦˦˥$
哄	hoŋ˦˦˥$
哈	haʔ˥$
响	ɕiã˦˦˥$
哎	e˦˦˥$
哑	o˦˦˥$
哗	hua˦˦˥$
哙	kʰue˦˦˥$
哟	iaʔ˥$
員	ɦyœ̃˨˨˧$
哥	kɷu˦˦˥$
哭	kʰoʔ˥$
哲	ʦeʔ˥$
哼	həŋ˦˦˥$
