啄	toʔ˥$
商	sɔ̃˦$
啊	a˦$
問	mən˩˩˧$
啐	ʦʰi˧˧˦$
啕	dɔ˨$
啖	dæ˩˩˧$
啘	uəʔ˥$
啜	ʦʰəʔ˥$
啞	ia˦$
啟	ʨʰi˥˧$
啡	fi˦$
啤	bi˨$
啥	sa˧˧˦$
啦	ʔla˦$
啧	ʦəʔ˥$
啪	pʰaʔ˥$
啫	ʦɿ˦$
啬	səʔ˥$
啭	ʦɛ˧˧˦$
啮	ȵiəʔ˨$
啰	ʔlu˦$
啵	pu˦$
啶	din˩˩˧$
啸	siɔ˧˧˦$
啻	sɿ˧˧˦$
啼	di˨$
啾	ʦiɤ˦$
喀	kʰaʔ˥$
喂	uɛ˥˧$
喃	nɛ˨$
善	zɛ˦˨$
喆	ʦəʔ˥$
喇	la˩˩˧$
喉	ɦɤ˨$
喊	hæ˧˧˦$
喋	diaʔ˨$
喌	ʦoʔ˥$
喏	noʔ˨$
喑	in˦$
喔	oʔ˥$
喘	ʦʰɛ˥˧$
喙	hui˧˧˦$
喚	huɛ˧˧˦$
喜	ɕi˥˧$
喝	həʔ˥$
喟	kʰui˧˧˦$
喢	səʔ˥$
喥	doʔ˨$
喧	ɕiɛ˦$
喪	sɔ̃˧˧˦$
喫	ʨʰioʔ˥$
喬	ʥiɔ˨$
喭	ȵiɛ˩˩˧$
單	tæ˦$
喱	li˨$
喲	iaʔ˥$
喳	ʦa˦$
喵	ʔmiɔ˦$
喷	pʰən˧˧˦$
喻	ɦi˩˩˧$
喽	lɤ˨$
喾	kʰoʔ˥$
嗀	hoʔ˥$
嗄	so˧˧˦$
嗅	ɕiɤ˧˧˦$
嗆	ʦʰiã˧˧˦$
嗇	səʔ˥$
嗌	a˧˧˦$
嗍	soʔ˥$
嗎	ʔma˦$
嗑	kʰəʔ˥$
嗒	taʔ˥$
嗓	sɔ̃˥˧$
嗔	ʦʰən˦$
嗖	sɤ˦$
嗚	u˦$
嗜	zɿ˩˩˧$
嗝	kəʔ˥$
嗞	ʦɿ˦$
嗟	ʦia˦$
嗡	õ˦$
嗣	zɿ˩˩˧$
嗤	ʦʰɿ˦$
嗥	ɦɔ˨$
嗦	soʔ˥$
嗨	hɛ˦$
嗩	so˥˧$
嗫	ȵiəʔ˨$
嗬	ɦu˨$
嗯	ən˦$
嗰	kəʔ˥$
嗲	tia˥˧$
嗳	ɛ˧˧˦$
嗶	piəʔ˥$
嗷	ɦɔ˨$
嗽	sɤ˧˧˦$
嘀	tiəʔ˥$
嘆	tʰæ˧˧˦$
嘈	zɔ˨$
嘉	ka˦$
嘍	lɤ˨$
嘎	kaʔ˥$
嘓	kuoʔ˥$
嘔	ɤ˥˧$
嘖	ʦəʔ˥$
嘗	zɔ̃˨$
嘘	ɕi˦$
嘚	dəʔ˨$
嘛	ma˨$
嘜	maʔ˨$
嘞	ləʔ˨$
嘟	tu˦$
嘦	ʦiɔ˧˧˦$
嘧	miəʔ˨$
嘩	hua˦$
嘬	ʦəʔ˥$
嘮	ʔlɔ˦$
嘯	siɔ˧˧˦$
嘰	ʨi˦$
