㔢	ʨiæʔ˥$
勝	ɕiŋ˧˧˦$
勞	lau˨˨˦$
募	mu˧˥$
勢	ɕi˥$
勤	giŋ˨˨˦$
勵	li˧˥$
勸	kʰyø˥$
勺	zɔʔ˨˧$
勻	ɦyoŋ˨˨˦$
勾	kɤu˧˧˦$
勿	vøʔ˨˧$
匀	ɦyoŋ˨˨˦$
包	pau˧˧˦$
匆	ʦʰoŋ˧˧˦$
匈	hyoŋ˧˧˦$
匊	kyuʔ˥$
匍	bu˨˨˦$
匐	voʔ˨˧$
化	hua˥$
北	pøʔ˥$
匙	zɿ˨˨˦$
匜	ɦi˨˩˦$
匝	ʦæʔ˥$
匠	ʑiaŋ˧˥$
匡	kʰuɔ̃˧˧˦$
匣	ɦæʔ˨˧$
匪	fi˧˨˥$
匮	guei˧˥$
匯	ɦuei˧˥$
匱	guei˧˥$
匲	liᴇ˨˨˦$
匹	pʰiɪʔ˥$
区	kʰy˧˧˦$
医	i˧˧˦$
匾	piᴇ˧˨˥$
匿	niɪʔ˨˧$
區	kʰy˧˧˦$
十	ʑiɪʔ˨˧$
千	ʨʰiᴇ˧˧˦$
卅	sæʔ˥$
升	ɕiŋ˧˧˦$
午	ŋ˨˩˦$
卉	huei˥$
半	pø˥$
华	ɦua˨˨˦$
协	ɦiæʔ˨˧$
卑	pi˧˧˦$
卒	ʦøʔ˥$
卓	ʨyɔʔ˥$
協	ɦiæʔ˨˧$
单	tᴇ˧˧˦$
卖	ma˧˥$
南	nᴇ˨˨˦$
博	pɔʔ˥$
卜	poʔ˥$
卞	biᴇ˧˥$
占	ʨiᴇ˧˧˦$
卡	kʰa˧˨˥$
卤	lu˨˩˦$
卦	kua˥$
卧	ŋou˧˥$
卫	ɦuei˧˥$
卯	mau˨˩˦$
印	iŋ˥$
危	ny˨˨˦$
即	ʨiɪʔ˥$
却	kʰiaʔ˥$
卵	luø˨˩˦$
卷	kyø˥$
卸	ɕia˥$
卺	kiŋ˧˨˥$
卻	kʰiaʔ˥$
卿	kʰiŋ˧˧˦$
厂	ʨʰiaŋ˧˨˥$
厄	aʔ˥$
厅	tʰiŋ˧˧˦$
历	liɪʔ˨˧$
厉	li˧˥$
压	æʔ˥$
厌	iᴇ˥$
厕	ʦʰɿ˥$
厖	mɔ̃˨˨˦$
厘	li˨˨˦$
厚	ɦɤu˨˩˦$
厝	ʦʰo˥$
原	nyø˨˨˦$
厢	ɕiaŋ˧˧˦$
厥	kyəʔ˥$
厦	ɦo˨˩˦$
厨	ʥy˨˨˦$
厩	kiɤu˥$
厭	iᴇ˥$
厮	sɿ˧˧˦$
厲	li˧˥$
去	kʰei˥$
县	ɦyø˧˥$
参	səŋ˧˧˦$
參	səŋ˧˧˦$
又	ɦiɤu˧˥$
叉	ʦʰa˧˧˦$
及	giɪʔ˨˧$
友	ɦiɤu˨˩˦$
双	ɕyɔ̃˧˧˦$
反	fᴇ˧˨˥$
发	fæʔ˥$
叔	ɕyuʔ˥$
取	ʨʰy˧˨˥$
受	ʑiɤu˨˩˦$
变	piᴇ˥$
叙	ʑy˨˩˦$
叛	bø˧˥$
叟	sɤu˧˨˥$
叢	zoŋ˨˨˦$
口	kʰɤu˧˨˥$
古	ku˧˨˥$
句	ky˥$
另	liŋ˧˥$
叨	tau˧˧˦$
叩	kʰɤu˥$
只	ʦɿ˧˨˥$
叫	kiau˥$
召	ʥiau˧˥$
叭	pæʔ˥$
叮	tiŋ˧˧˦$
可	kʰo˧˨˥$
台	tʰei˧˧˦$
史	sɿ˧˨˥$
右	ɦiɤu˧˥$
叵	pʰo˧˨˥$
叶	ɦiæʔ˨˧$
号	hau˧˥$
司	sɿ˧˧˦$
叹	tʰᴇ˥$
吁	hy˧˧˦$
吃	ʨʰiɪʔ˥$
各	kɔʔ˥$
合	ɦæʔ˨˧$
吉	kiɪʔ˥$
吊	tiau˥$
同	doŋ˨˨˦$
名	miŋ˨˨˦$
后	ɦɤu˨˩˦$
吏	li˧˥$
吐	tʰu˧˨˥$
向	hiaŋ˥$
吒	ʦo˥$
吓	haʔ˥$
吕	ly˨˩˦$
君	kyoŋ˧˧˦$
吝	liŋ˧˥$
吞	tʰəŋ˧˧˦$
吟	niŋ˨˨˦$
吠	fi˥$
吣	ʨʰiŋ˥$
否	fɤu˧˨˥$
吩	fəŋ˧˧˦$
含	ɦᴇ˨˨˦$
听	tʰiŋ˧˧˦$
吮	ʑyoŋ˨˩˦$
启	kʰi˧˨˥$
吳	ŋ˨˨˦$
吴	ŋ˨˨˦$
吵	ʦʰau˧˨˥$
吸	hiɪʔ˥$
吹	ʨʰy˧˧˦$
吻	vəŋ˨˩˦$
吼	hɤu˧˨˥$
吾	ɦu˨˨˦$
呂	ly˨˩˦$
呆	ŋei˨˨˦$
呈	ʥiŋ˨˨˦$
告	kau˥$
呒	m˨˨˦$
呓	ni˧˥$
呕	ɤu˧˨˥$
员	ɦyø˨˨˦$
呜	u˧˧˦$
呢	ni˨˨˦$
呣	m˧˥$
周	ʨiɤu˧˧˦$
味	mi˧˥$
呵	ho˧˧˦$
呻	ɕiŋ˧˧˦$
呼	hu˧˧˦$
命	miŋ˧˥$
和	ɦou˨˨˦$
