㔢	ʨiæʔ˥$
淞	ɕyoŋ˧˧˦$
淡	dᴇ˨˩˦$
淤	y˧˧˦$
淦	kᴇ˥$
淩	liŋ˨˨˦$
淪	ləŋ˨˨˦$
淫	ɦiŋ˨˨˦$
淬	ʦʰei˥$
淮	ɦua˨˨˦$
深	ɕiŋ˧˧˦$
淳	ʑyoŋ˨˨˦$
淴	huøʔ˥$
淵	yø˧˧˦$
混	ɦuəŋ˨˩˦$
淹	iᴇ˧˧˦$
淺	ʨʰiᴇ˧˨˥$
添	tʰiᴇ˧˧˦$
清	ʨʰiŋ˧˧˦$
渊	yø˧˧˦$
渍	zɿ˧˥$
渎	doʔ˨˧$
渐	ʑiᴇ˨˩˦$
渑	miᴇ˨˩˦$
渔	ny˨˨˦$
渗	ɕiŋ˥$
渚	ʥy˨˩˦$
減	kᴇ˧˨˥$
渝	ɦy˨˨˦$
渠	gy˨˨˦$
渡	du˧˥$
渣	ʦa˧˧˦$
渥	uɔʔ˥$
渦	ou˧˧˦$
温	uəŋ˧˧˦$
測	ʦʰøʔ˥$
渭	ɦuei˧˥$
港	kɔ̃˧˨˥$
渲	ɕyø˥$
渴	kʰæʔ˥$
游	ɦiɤu˨˨˦$
渹	hoŋ˧˧˦$
渺	miau˨˩˦$
渾	ɦuəŋ˨˨˦$
湄	mei˨˧˩$
湊	ʦʰɤu˥$
湍	tʰuø˧˧˦$
湖	ɦu˨˨˦$
湘	ɕiaŋ˧˧˦$
湛	ʣᴇ˧˥$
湟	ɦuɔ̃˨˨˦$
湧	yoŋ˧˨˥$
湮	iŋ˧˧˦$
湯	tʰɔ̃˧˧˦$
湾	uᴇ˧˧˦$
湿	ɕiɪʔ˥$
溃	kʰuei˥$
溅	ʨiᴇ˥$
溉	kei˥$
溏	dɔ̃˨˨˦$
源	nyø˨˨˦$
準	ʨyoŋ˧˨˥$
溜	liɤu˧˥$
溝	kɤu˧˧˦$
溟	miŋ˨˨˦$
溢	ɦiɪʔ˨˧$
溥	pʰu˧˨˥$
溧	liɪʔ˨˧$
溪	kʰi˧˧˦$
溫	uəŋ˧˧˦$
溯	su˥$
溱	ʨiŋ˧˧˦$
溲	sɤu˧˧˦$
溴	hiɤu˥$
溶	ɦyoŋ˨˨˦$
溷	ɦuəŋ˧˥$
溺	niɪʔ˨˧$
滁	ʥy˨˨˦$
滂	pʰɔ̃˧˧˦$
滄	ʦʰɔ̃˧˧˦$
滅	miæʔ˨˧$
滇	tiᴇ˧˧˦$
滋	ʦɿ˧˧˦$
滌	diɪʔ˨˧$
滎	ɦiŋ˨˨˦$
滑	ɦuæʔ˨˧$
滓	ʦɿ˧˨˥$
滔	tʰau˧˧˦$
滕	dəŋ˨˨˦$
滗	piɪʔ˥$
滚	kuəŋ˧˨˥$
滞	ʥi˧˥$
满	mø˨˩˦$
滢	iŋ˥$
滤	ly˧˥$
滥	lᴇ˧˥$
滦	luø˨˨˦$
滨	piŋ˧˧˦$
滩	tʰᴇ˧˧˦$
滬	ɦu˨˩˦$
滯	ʥi˧˥$
滲	ɕiŋ˥$
滴	tiɪʔ˥$
滸	hu˧˨˥$
滹	hu˧˧˦$
滾	kuəŋ˧˨˥$
滿	mø˨˩˦$
漁	ny˨˨˦$
漂	pʰiau˧˨˥$
漆	ʨʰiɪʔ˥$
漉	loʔ˨˧$
漏	lɤu˧˥$
漓	li˨˨˦$
演	ɦiᴇ˨˩˦$
漕	zau˨˨˦$
漚	ɤu˥$
漠	mɔʔ˨˧$
漢	hᴇ˥$
漣	liᴇ˨˨˦$
漪	i˧˧˦$
漫	mᴇ˧˥$
漬	zɿ˧˥$
漭	mɔ̃˨˩˦$
漱	sɤu˥$
漲	ʨiaŋ˧˨˥$
漶	ɦuø˧˥$
漸	ʑiᴇ˨˩˦$
漼	ʦʰei˧˨˥$
漾	ɦiaŋ˧˥$
漿	ʨiaŋ˧˧˦$
潇	ɕiau˧˧˦$
潋	liᴇ˧˥$
潑	pʰuəʔ˥$
潔	kiæʔ˥$
潘	pʰø˧˧˦$
潛	ʑiᴇ˨˨˦$
潜	ʑiᴇ˨˨˦$
潞	lu˧˥$
潢	ɦuɔ̃˨˨˦$
潤	nyoŋ˧˥$
潭	dø˨˨˦$
潮	ʥiau˨˨˦$
潰	kʰuei˥$
潲	sau˥$
潴	ʨy˧˧˦$
潷	piɪʔ˥$
潸	sᴇ˧˧˦$
潺	ʣᴇ˨˨˦$
潼	doŋ˨˨˦$
潽	pʰu˧˧˦$
澀	søʔ˥$
澄	dəŋ˧˥$
澆	kiau˧˧˦$
澇	lau˧˥$
澍	ʑy˧˥$
澎	baŋ˨˨˦$
澜	lᴇ˨˨˦$
澠	miᴇ˨˩˦$
澡	ʦau˧˨˥$
澤	ʣaʔ˨˧$
澧	li˨˩˦$
澱	diᴇ˧˥$
澳	au˥$
激	kiɪʔ˥$
濁	ʥyɔʔ˨˧$
濂	liᴇ˨˨˦$
濃	noŋ˨˨˦$
濑	la˧˥$
濒	piŋ˧˧˦$
濕	ɕiɪʔ˥$
濘	niŋ˧˥$
濛	moŋ˨˨˦$
濟	ʨi˧˨˥$
濠	ɦau˨˨˦$
濡	ʑy˨˨˦$
濤	dau˨˨˦$
濫	lᴇ˧˥$
濮	boʔ˨˧$
濯	ʥyɔʔ˨˧$
濱	piŋ˧˧˦$
濺	ʨiᴇ˥$
濾	ly˧˥$
瀅	iŋ˥$
瀆	doʔ˨˧$
瀉	ɕia˥$
瀏	liɤu˨˨˦$
瀑	boʔ˨˧$
瀕	piŋ˧˧˦$
瀘	lu˨˨˦$
瀚	ɦᴇ˧˥$
瀛	ɦiŋ˨˨˦$
瀝	liɪʔ˨˧$
瀟	ɕiau˧˧˦$
瀨	la˧˥$
瀲	liᴇ˧˥$
瀼	niaŋ˨˨˦$
瀾	lᴇ˨˨˦$
灃	foŋ˧˧˦$
灌	kuø˥$
灏	hau˨˩˦$
灑	sa˧˨˥$
灔	ɦiᴇ˧˥$
灕	li˨˨˦$
灘	tʰᴇ˧˧˦$
灝	hau˨˩˦$
灞	pa˥$
灣	uᴇ˧˧˦$
灤	luø˨˨˦$
火	hou˧˨˥$
灭	miæʔ˨˧$
灯	təŋ˧˧˦$
灰	huei˧˧˦$
灵	liŋ˨˨˦$
灶	ʦau˥$
灸	kiɤu˧˨˥$
灼	ʨiaʔ˥$
災	ʦei˧˧˦$
灾	ʦei˧˧˦$
灿	ʦʰᴇ˥$
炀	ɦiaŋ˨˨˦$
炉	lu˨˨˦$
炊	ʨʰy˧˧˦$
炎	ɦiᴇ˨˨˦$
炒	ʦʰau˧˨˥$
炕	kʰɔ̃˥$
炙	ʨiɪʔ˥$
炫	ɦyø˧˥$
炬	gy˨˩˦$
炭	tʰᴇ˥$
炮	pʰau˥$
炯	kyoŋ˧˨˥$
炳	piŋ˧˨˥$
炷	ʨy˥$
炸	ʦa˥$
点	tiᴇ˧˨˥$
為	ɦuei˨˨˦$
炼	liᴇ˧˥$
烁	ɕyɔʔ˥$
烂	lᴇ˧˥$
烈	liæʔ˨˧$
烊	ɦiaŋ˨˨˦$
烏	u˧˧˦$
烘	hoŋ˧˧˦$
烙	kɔʔ˥$
烛	ʨyuʔ˥$
烝	ʨiŋ˧˧˦$
烟	iᴇ˧˧˦$
烤	kʰau˧˨˥$
烦	vᴇ˨˨˦$
烧	ɕiau˧˧˦$
烫	tʰɔ̃˥$
烬	ʑiŋ˨˩˦$
热	niæʔ˨˧$
烹	pʰaŋ˧˧˦$
烽	foŋ˧˧˦$
焉	ɦiᴇ˨˨˦$
焊	ɦᴇ˧˥$
焌	ʨʰy˥$
焕	huø˥$
焘	dau˨˨˦$
焚	vəŋ˨˨˦$
焠	ʦʰei˥$
無	vu˨˨˦$
焦	ʨiau˧˧˦$
焯	ʨyɔʔ˥$
焰	ɦiᴇ˧˥$
焱	ɦiᴇ˧˥$
然	ʑiᴇ˨˨˦$
煉	liᴇ˧˥$
煌	ɦuɔ̃˨˨˦$
煎	ʨiᴇ˧˧˦$
煙	iᴇ˧˧˦$
煜	ɦyuʔ˨˧$
煝	mei˧˥$
煞	sæʔ˥$
煣	ʑiɤu˨˨˦$
煥	huø˥$
煦	hy˥$
照	ʨiau˥$
煨	uei˧˧˦$
煩	vᴇ˨˨˦$
煬	ɦiaŋ˨˨˦$
煮	ʦu˧˨˥$
煳	ɦu˨˨˦$
煽	ɕiᴇ˧˧˦$
熄	ɕiɪʔ˥$
熊	ɦyoŋ˨˨˦$
熏	hyoŋ˧˧˦$
熒	ɦiŋ˨˨˦$
熔	ɦyoŋ˨˨˦$
熙	hi˧˧˦$
熟	ʑyuʔ˨˧$
熨	yoŋ˥$
熬	ŋau˨˨˦$
熯	hᴇ˥$
熱	niæʔ˨˧$
熹	hi˧˧˦$
燂	dᴇ˨˨˦$
燃	ʑiᴇ˨˨˦$
燈	təŋ˧˧˦$
燎	liau˨˨˦$
燒	ɕiau˧˧˦$
燕	iᴇ˧˧˦$
燙	tʰɔ̃˥$
營	ɦiŋ˨˨˦$
燥	sau˥$
燦	ʦʰᴇ˥$
燬	huei˧˨˥$
燭	ʨyuʔ˥$
燮	ɕiæʔ˥$
燹	ɕiᴇ˧˨˥$
燼	ʑiŋ˨˩˦$
燾	dau˨˨˦$
爆	bau˧˥$
爍	ɕyɔʔ˥$
爐	lu˨˨˦$
爛	lᴇ˧˥$
爝	ʨiaʔ˥$
爨	ʦʰuø˥$
爪	ʦau˧˨˥$
爬	ba˨˨˦$
爭	ʦaŋ˧˧˦$
爰	ɦyø˨˨˦$
爱	ei˥$
爵	ʨiaʔ˥$
父	vu˨˩˦$
爷	ɦia˨˨˦$
爸	pa˥$
爹	tia˧˧˦$
爺	ɦia˨˨˦$
爽	sɔ̃˧˨˥$
爾	ŋ˨˩˦$
爿	bᴇ˨˨˦$
牀	zɔ̃˨˨˦$
片	pʰiᴇ˥$
版	pᴇ˧˨˥$
牌	ba˨˨˦$
牍	doʔ˨˧$
牒	diæʔ˨˧$
牓	pɔ̃˧˨˥$
牖	ɦiɤu˨˩˦$
牘	doʔ˨˧$
牙	ŋo˨˨˦$
牛	niɤu˨˨˦$
牝	biŋ˨˩˦$
牟	mɤu˨˨˦$
牡	miau˨˩˦$
牢	lau˨˨˦$
牦	mau˨˨˦$
牧	moʔ˨˧$
物	vøʔ˨˧$
牯	ku˧˨˥$
牲	saŋ˧˧˦$
牴	ti˧˨˥$
牵	kʰiᴇ˧˧˦$
牸	zɿ˧˥$
特	døʔ˨˧$
牺	hi˧˧˦$
牽	kʰiᴇ˧˧˦$
犀	ɕi˧˧˦$
犁	li˨˨˦$
犊	doʔ˨˧$
犒	kʰau˥$
犢	doʔ˨˧$
犧	hi˧˧˦$
犬	kʰyø˧˨˥$
犯	vᴇ˨˩˦$
状	zɔ̃˧˥$
犹	ɦiɤu˨˨˦$
狀	zɔ̃˧˥$
狂	guɔ̃˨˨˦$
狄	diɪʔ˨˧$
狎	ɦæʔ˨˧$
狐	ɦu˨˨˦$
狗	kɤu˧˨˥$
狝	ɕiᴇ˧˨˥$
狡	kau˧˨˥$
狨	nyoŋ˨˨˦$
狩	ɕiɤu˥$
独	doʔ˨˧$
狭	ɦæʔ˨˧$
狮	sɿ˧˧˦$
狱	nyuʔ˨˧$
狲	səŋ˧˧˦$
狸	li˨˨˦$
狹	ɦæʔ˨˧$
狺	niŋ˨˨˦$
狻	suø˧˧˦$
狼	lɔ̃˨˨˦$
猃	hiᴇ˧˨˥$
猎	liæʔ˨˧$
猖	ʦʰɔ̃˧˧˦$
猗	i˧˧˦$
猛	maŋ˨˩˦$
猜	ʦʰei˧˧˦$
猝	ʦuəʔ˥$
猢	ɦu˨˨˦$
猥	uei˧˨˥$
猩	ɕiŋ˧˧˦$
猪	ʦu˧˧˦$
猫	mau˨˨˦$
猬	ɦuei˧˥$
献	hiᴇ˥$
猱	nau˨˨˦$
猴	ɦɤu˨˨˦$
猶	ɦiɤu˨˨˦$
猷	ɦiɤu˨˨˦$
猻	səŋ˧˧˦$
猾	ɦuæʔ˨˧$
猿	ɦyø˨˨˦$
獄	nyuʔ˨˧$
獅	sɿ˧˧˦$
獎	ʨiaŋ˧˨˥$
獒	ŋau˨˨˦$
獨	doʔ˨˧$
獫	hiᴇ˧˨˥$
獭	tʰæʔ˥$
獮	ɕiᴇ˧˨˥$
獲	ɦuəʔ˨˧$
獵	liæʔ˨˧$
獸	ɕiɤu˥$
獺	tʰæʔ˥$
獻	hiᴇ˥$
獾	huø˧˧˦$
玄	ɦyø˨˨˦$
率	liɪʔ˨˧$
玉	nyuʔ˨˧$
王	ɦuɔ̃˨˨˦$
玖	kiɤu˧˨˥$
玛	ma˨˩˦$
玩	mᴇ˨˨˦$
玫	mei˨˨6$
玮	ɦuei˨˩˦$
环	ɦuᴇ˨˨˦$
玲	liŋ˨˨˦$
玷	tiᴇ˧˨˥$
玺	ɕi˧˨˥$
玻	po˧˧˦$
玼	ʦʰɿ˧˨˥$
珀	pʰaʔ˥$
珈	kia˧˧˦$
珉	miŋ˨˨˦$
珊	sᴇ˧˧˦$
珍	ʨiŋ˧˧˦$
珏	kɔʔ˥$
珑	loŋ˨˨˦$
珠	ʨy˧˧˦$
班	pᴇ˧˧˦$
珮	bei˧˥$
珰	tɔ̃˧˧˦$
珲	ɦuəŋ˨˨˦$
珽	tʰiŋ˧˨˥$
球	giɤu˨˨˦$
琅	lɔ̃˨˨˦$
理	li˨˩˦$
琉	liɤu˨˨˦$
琐	so˧˨˥$
琚	ky˧˧˦$
琛	ʨʰiŋ˧˧˦$
琢	ʨyɔʔ˥$
琥	hu˧˨˥$
琦	gi˨˨˦$
琨	kʰuəŋ˧˧˦$
琪	gi˨˨˦$
琬	uø˧˨˥$
琭	loʔ˨˧$
琮	ʦoŋ˧˧˦$
琯	kuø˧˨˥$
琰	ɦiᴇ˨˩˦$
琱	tiau˧˧˦$
琳	liŋ˨˨˦$
琴	giŋ˨˨˦$
琵	bi˨˨˦$
琶	ba˨˨˦$
琼	gyoŋ˨˨˦$
琿	ɦuəŋ˨˨˦$
瑁	mau˧˥$
瑋	ɦuei˨˩˦$
瑕	ɦia˨˨˦$
瑗	ɦyø˧˥$
瑛	iŋ˧˧˦$
瑜	ɦy˨˨˦$
瑞	zei˧˥$
瑟	søʔ˥$
瑣	so˧˨˥$
瑤	ɦiau˨˨˦$
瑨	ʨiŋ˥$
瑩	ɦiŋ˨˨˦$
瑪	ma˨˩˦$
瑯	lɔ̃˨˨˦$
瑰	kuei˧˧˦$
瑳	ʦʰo˧˨˥$
瑶	ɦiau˨˨˦$
瑷	ei˥$
瑾	giŋ˧˥$
璀	ʦʰei˧˨˥$
璃	li˨˨˦$
璇	ʑyø˨˨˦$
璎	iŋ˧˧˦$
璐	lu˧˥$
璘	liŋ˨˨˦$
璜	ɦuɔ̃˨˨˦$
璞	pʰoʔ˥$
璟	kiŋ˧˨˥$
璦	ei˥$
璧	piɪʔ˥$
璨	ʦʰᴇ˥$
璫	tɔ̃˧˧˦$
環	ɦuᴇ˨˨˦$
璺	vəŋ˧˥$
璽	ɕi˧˨˥$
瓊	gyoŋ˨˨˦$
瓏	loŋ˨˨˦$
瓔	iŋ˧˧˦$
瓘	kuø˥$
瓛	ɦuø˨˨˦$
瓜	kua˧˧˦$
瓞	diæʔ˨˧$
瓠	ɦu˨˨˦$
瓢	biau˨˨˦$
瓣	bᴇ˧˥$
瓤	niaŋ˨˨˦$
瓦	ŋo˨˩˦$
瓮	oŋ˥$
瓯	ɤu˧˧˦$
瓴	liŋ˨˨˦$
瓶	biŋ˨˨˦$
瓷	zɿ˨˨˦$
甄	ʨiŋ˧˧˦$
甌	ɤu˧˧˦$
甏	baŋ˧˥$
甑	ʦəŋ˧˧˦$
甓	bi˧˥$
甕	oŋ˥$
甘	kᴇ˧˧˦$
甚	ʑiŋ˨˩˦$
甜	diᴇ˨˨˦$
生	saŋ˧˧˦$
產	sᴇ˧˨˥$
甥	saŋ˧˧˦$
甦	su˧˧˦$
用	ɦyoŋ˧˥$
甩	huæʔ˥$
甫	fu˧˨˥$
甬	yoŋ˧˨˥$
甮	voŋ˧˥$
田	diᴇ˨˨˦$
由	ɦiɤu˨˨˦$
甲	kæʔ˥$
申	ɕiŋ˧˧˦$
电	diᴇ˧˥$
男	nᴇ˨˨˦$
甸	diᴇ˧˥$
町	tʰiŋ˧˨˥$
画	ɦua˧˥$
畅	ʨʰiaŋ˥$
畈	fᴇ˥$
畋	diᴇ˧˥$
界	ka˥$
畎	kyø˧˨˥$
畏	uei˥$
畔	bø˧˥$
留	liɤu˨˨˦$
畚	pəŋ˥$
畛	ʨiŋ˧˨˥$
畜	hyuʔ˥$
畝	m˨˩˦$
畢	piɪʔ˥$
略	liaʔ˨˧$
畦	ɦi˨˨˦$
番	fᴇ˧˧˦$
畫	ɦua˧˥$
異	ɦi˧˥$
畴	ʥiɤu˨˨˦$
當	tɔ̃˧˧˦$
畸	ki˧˧˦$
畹	uø˧˨˥$
疃	tʰuø˧˨˥$
疆	kiaŋ˧˧˦$
疇	ʥiɤu˨˨˦$
疊	diæʔ˨˧$
疋	pʰiɪʔ˥$
疏	su˧˧˦$
疑	ni˨˨˦$
疔	tiŋ˧˧˦$
疖	ʨiæʔ˥$
疗	liau˧˥$
疚	kiɤu˥$
疝	sᴇ˥$
疟	niaʔ˨˧$
疡	ɦiaŋ˨˨˦$
疤	pa˧˧˦$
疥	ka˥$
疫	ɦiɪʔ˨˧$
疮	ʦʰɔ̃˧˧˦$
疯	foŋ˧˧˦$
疱	pʰau˥$
疲	bi˨˨˦$
疵	ʦʰɿ˧˧˦$
疸	tᴇ˧˨˥$
疹	ʨiŋ˧˨˥$
疼	dəŋ˨˨˦$
疽	ʨy˧˧˦$
疾	ʑiɪʔ˨˧$
疿	fi˥$
病	biŋ˧˥$
痈	yoŋ˧˧˦$
痉	giŋ˨˩˦$
痊	ʨʰyø˧˧˦$
痍	ɦi˨˨˦$
痒	iaŋ˧˨˥$
痔	ʣɿ˨˩˦$
痕	ɦəŋ˨˨˦$
痘	dɤu˧˥$
痙	giŋ˨˩˦$
痛	tʰoŋ˥$
痞	pʰi˧˨˥$
痠	suø˧˧˦$
痢	li˧˥$
痣	ʦɿ˥$
痧	sa˧˧˦$
痨	lau˨˨˦$
痪	ɦuø˧˥$
痫	ɦᴇ˨˨˦$
痰	dᴇ˨˨˦$
痲	ma˨˨˦$
痴	ʦʰɿ˧˧˦$
痹	pi˥$
痺	pi˥$
瘁	zei˧˥$
瘊	ɦɤu˨˨˦$
瘋	foŋ˧˧˦$
瘍	ɦiaŋ˨˨˦$
瘐	ɦy˨˩˦$
瘓	ɦuø˧˥$
瘖	iŋ˧˧˦$
瘘	lɤu˧˥$
瘟	uəŋ˧˧˦$
瘡	ʦʰɔ̃˧˧˦$
瘢	pø˧˧˦$
瘤	liɤu˨˨˦$
瘥	zo˨˨˦$
瘦	sɤu˥$
瘧	niaʔ˨˧$
瘪	piæʔ˥$
瘫	tʰᴇ˧˧˦$
瘰	lo˨˩˦$
瘴	ʦɔ̃˥$
瘸	gyø˨˨˦$
瘻	lɤu˧˥$
瘽	giŋ˨˩˦$
瘿	iŋ˧˨˥$
療	liau˧˥$
癆	lau˨˨˦$
癇	ɦᴇ˨˨˦$
癌	ŋᴇ˨˨˦$
癖	pʰiɪʔ˥$
癗	lei˨˩˦$
癞	la˧˥$
癟	piæʔ˥$
癡	ʦʰɿ˧˧˦$
癢	iaŋ˧˨˥$
癣	ɕiᴇ˧˨˥$
癤	ʨiæʔ˥$
癩	la˧˥$
癫	tiᴇ˧˧˦$
癬	ɕiᴇ˧˨˥$
癭	iŋ˧˨˥$
癯	gy˨˨˦$
癰	yoŋ˧˧˦$
癱	tʰᴇ˧˧˦$
癲	tiᴇ˧˧˦$
癸	kuei˧˨˥$
登	təŋ˧˧˦$
發	fæʔ˥$
白	baʔ˨˧$
百	paʔ˥$
皂	zau˨˩˦$
的	tiɪʔ˥$
皆	ka˧˧˦$
皇	ɦuɔ̃˨˨˦$
皋	kau˧˧˦$
皎	kau˧˨˥$
皓	hau˨˩˦$
皖	ɦuø˨˩˦$
皮	bi˨˨˦$
皰	pʰau˥$
皱	ʦɤu˥$
皴	ʨʰyoŋ˧˧˦$
皺	ʦɤu˥$
皿	miŋ˨˩˦$
盂	ɦy˨˨˦$
盅	ʨyoŋ˧˧˦$
盆	bəŋ˨˨˦$
盈	ɦiŋ˨˨˦$
益	iɪʔ˥$
盍	ɦæʔ˨˧$
盏	ʦᴇ˧˨˥$
盐	ɦiᴇ˨˨˦$
监	kᴇ˧˧˦$
盒	ɦæʔ˨˧$
盔	kʰuei˧˧˦$
盖	kei˥$
盗	dau˧˥$
盘	bø˨˨˦$
盛	ʑiŋ˨˨˦$
盜	dau˧˥$
盞	ʦᴇ˧˨˥$
盟	moŋ˨˨˦$
盡	ʑiŋ˨˩˦$
監	kᴇ˧˧˦$
盤	bø˨˨˦$
盥	kuø˥$
目	moʔ˨˧$
盱	hy˧˧˦$
盲	maŋ˨˨˦$
直	ʥiɪʔ˨˧$
相	ɕiaŋ˧˧˦$
盹	təŋ˧˨˥$
盼	pʰᴇ˥$
盾	dəŋ˨˩˦$
省	saŋ˧˨˥$
眄	miᴇ˨˩˦$
眇	miau˨˩˦$
眉	mei˨˨8$
看	kʰᴇ˧˧˦$
真	ʨiŋ˧˧˦$
眠	miᴇ˨˨˦$
眢	yø˧˧˦$
眥	zɿ˧˥$
眦	zɿ˧˥$
眨	ʦæʔ˥$
眩	ɦyø˧˥$
眵	ʦʰɿ˧˧˦$
眶	kʰuɔ̃˧˧˦$
眷	kyø˥$
眸	mɤu˨˨˦$
眺	tʰiau˥$
眼	ŋᴇ˨˩˦$
眾	ʨyoŋ˥$
着	ʥiaʔ˨˧$
睁	ʦaŋ˧˧˦$
睏	kʰuəŋ˥$
睑	kiᴇ˧˨˥$
睛	ʨiŋ˧˧˦$
睜	ʦaŋ˧˧˦$
睡	zei˧˥$
睢	ɕy˧˧˦$
督	toʔ˥$
睦	moʔ˨˧$
睨	ni˨˨˦$
睫	ʨiæʔ˥$
睬	ʦʰei˧˨˥$
睽	kʰuei˧˧˦$
睿	zei˧˥$
瞄	miau˨˨˦$
瞇	mi˨˩˦$
瞋	ʨʰiŋ˧˧˦$
瞍	sɤu˧˧˦$
瞎	hæʔ˥$
瞑	miŋ˨˨˦$
瞒	mø˨˨˦$
瞖	i˥$
瞞	mø˨˨˦$
瞟	biau˨˨˦$
瞥	pʰiæʔ˥$
瞧	ʥiau˨˨˦$
瞩	ʨyuʔ˥$
瞪	təŋ˥$
瞬	ɕyoŋ˥$
瞭	liau˨˩˦$
瞰	kʰᴇ˥$
瞳	doŋ˨˨˦$
瞻	ʨiᴇ˧˧˦$
瞼	kiᴇ˧˨˥$
瞽	ku˧˨˥$
瞿	gy˨˨˦$
矇	moŋ˨˨˦$
矍	kyəʔ˥$
矑	lu˨˨˦$
矗	ʨʰyuʔ˥$
矚	ʨyuʔ˥$
矛	mɤu˨˨˦$
矜	kiŋ˧˧˦$
矞	ɦyuʔ˨˧$
矢	sɿ˧˨˥$
矣	ɦi˨˩˦$
知	ʦɿ˧˧˦$
矧	ɕiŋ˧˨˥$
矩	gy˨˩˦$
矫	kiau˧˨˥$
矬	zo˨˨˦$
短	tuø˧˨˥$
矮	a˧˨˥$
矯	kiau˧˨˥$
石	ʑiɪʔ˨˧$
矾	vᴇ˨˨˦$
矿	kʰuɔ̃˥$
砀	dɔ̃˧˥$
码	ma˨˩˦$
砂	sa˧˧˦$
砌	ʨʰi˥$
砍	kʰəŋ˧˨˥$
砒	pʰi˧˧˦$
研	niᴇ˨˩˦$
砖	ʨyø˧˧˦$
砚	niᴇ˧˥$
砥	ti˧˨˥$
砧	ʨiŋ˧˧˦$
砰	pʰaŋ˧˧˦$
破	pʰou˥$
砺	li˧˥$
砻	loŋ˨˨˦$
砾	liɪʔ˨˧$
础	ʦʰu˧˨˥$
硃	ʨy˧˧˦$
硎	ɦiŋ˨˨˦$
硕	zɔʔ˨˧$
硝	ɕiau˧˧˦$
硫	liɤu˨˨˦$
硬	ŋaŋ˧˥$
硭	mɔ̃˨˨˦$
确	kʰyəʔ˥$
硯	niᴇ˧˥$
碉	tiau˧˧˦$
碌	loʔ˨˧$
碍	ŋei˧˥$
碎	sei˥$
碑	pei˧˧˦$
碓	tei˥$
碗	uø˧˨˥$
碟	diæʔ˨˧$
碣	giæʔ˨˧$
碧	piɪʔ˥$
碩	zɔʔ˨˧$
碭	dɔ̃˧˥$
碰	baŋ˧˥$
碱	kᴇ˧˨˥$
確	kʰyəʔ˥$
碼	ma˨˩˦$
碾	niᴇ˨˩˦$
磁	zɿ˨˨˦$
磉	sɔ̃˧˨˥$
磋	ʦʰo˧˧˦$
磐	bø˨˨˦$
磕	kʰæʔ˥$
磚	ʨyø˧˧˦$
磡	kʰᴇ˥$
磨	mo˨˨˦$
磬	kʰiŋ˥$
磴	təŋ˥$
磷	liŋ˨˨˦$
礎	ʦʰu˧˨˥$
礙	ŋei˧˥$
礦	kʰuɔ̃˥$
礪	li˧˥$
礫	liɪʔ˨˧$
礬	vᴇ˨˨˦$
礱	loŋ˨˨˦$
礼	li˨˩˦$
社	zo˨˩˦$
祀	zɿ˨˩˦$
祁	gi˨˨˦$
祇	gi˨˨˦$
祈	gi˨˨˦$
祍	ʑiŋ˧˥$
祖	ʦu˧˨˥$
祚	zo˧˥$
祛	kʰy˧˧˦$
祜	ɦu˨˩˦$
祝	ʨyuʔ˥$
神	ʑiŋ˨˨˦$
祟	ɕy˥$
祠	zɿ˨˨˦$
祥	ʑiaŋ˨˨˦$
祧	tʰiau˧˧˦$
票	pʰiau˥$
祭	ʨi˥$
祯	ʨiŋ˧˧˦$
祷	tau˧˨˥$
祸	ɦo˨˩˦$
祺	gi˨˨˦$
祿	loʔ˨˧$
禀	piŋ˧˨˥$
禁	kiŋ˧˧˦$
禄	loʔ˨˧$
禅	ʑiᴇ˨˨˦$
禍	ɦo˨˩˦$
禎	ʨiŋ˧˧˦$
福	foʔ˥$
禖	mei˨˨˦$
禦	ny˧˥$
禧	hi˧˨˥$
禪	ʑiᴇ˨˨˦$
禮	li˨˩˦$
禱	tau˧˨˥$
禳	niaŋ˨˨˦$
禹	ɦy˨˩˦$
禺	ny˨˨˦$
离	li˨˨˦$
禽	giŋ˨˨˦$
禾	ɦou˨˨˦$
禿	tʰoʔ˥$
秀	ɕiɤu˥$
私	sɿ˧˧˦$
秃	tʰoʔ˥$
秆	kᴇ˧˨˥$
秉	piŋ˧˨˥$
秋	ʨʰiɤu˧˧˦$
种	ʥyoŋ˨˨˦$
科	kʰou˧˧˦$
秒	miau˨˩˦$
秘	pi˥$
租	ʦu˧˧˦$
秤	ʨʰiŋ˥$
秦	ʑiŋ˨˨˦$
秧	iaŋ˧˧˦$
秩	ʥiɪʔ˨˧$
秫	ʑyʔ˨˧$
秬	gy˨˩˦$
秭	ʦɿ˧˨˥$
积	ʨiɪʔ˥$
称	ʨʰiŋ˧˧˦$
秸	ka˧˧˦$
移	ɦi˨˨˦$
秽	huei˥$
稀	hi˧˧˦$
稃	fu˧˧˦$
稅	ɕy˥$
稈	kᴇ˧˨˥$
稊	di˨˨˦$
程	ʥiŋ˨˨˦$
税	ɕy˥$
稔	ʑiŋ˨˩˦$
稗	ba˧˥$
稚	ʣɿ˧˥$
稞	kʰou˧˧˦$
稟	piŋ˧˨˥$
稠	ʥiɤu˨˨˦$
稣	su˧˧˦$
稭	ka˧˧˦$
種	ʥyoŋ˨˨˦$
稱	ʨʰiŋ˧˧˦$
稳	uəŋ˧˨˥$
稷	ʨiɪʔ˥$
稹	ʨiŋ˧˨˥$
