㮸	soŋ˥$
谢	zia˩˧$
谣	jiɔ˧˩$
谤	pɑ̃˥$
谦	ʨʰie˥˧$
谨	ʨiən˥$
谭	dø˥$
谷	koʔ˥$
豁	huaʔ˥$
豆	dəɯ˩˧$
豈	ʨʰi˩˧$
豌	ø˥$
豎	zʮ˩˧$
豐	foŋ˥˧$
豔	jie˩˧$
豚	dən˥$
象	ziã˩˧$
豪	ɦɔ˧˩$
豫	jy˩˧$
豬	ʦɿ˥˧$
豹	pɔ˦˦˥$
豺	za˧˩$
貂	tiɔ˥˧$
貌	mɔ˩˧$
貓	mɔ˧˩$
貞	ʦən˥˧$
負	vəɯ˩˧$
財	zɛ˧˩$
貢	koŋ˦˦˥$
貧	biən˧˩$
貨	hu˦˦˥$
販	fɛ˦˦˥$
貪	tʰø˥˧$
貫	kø˦˦˥$
責	ʦəʔ˥$
貴	kue˦˦˥$
買	ma˩˧$
貸	dɛ˩˧$
費	fi˦˦˥$
貼	tʰiəʔ˥$
貽	ji˧˩$
貿	məɯ˩˧$
賂	lu˩˧$
賄	hue˦˦˥$
賅	ke˥˧$
資	ʦɿ˥˧$
賈	ka˥$
賊	zəʔ˨$
賒	so˥˧$
賓	piən˥˧$
賜	sɿ˦˦˥$
賞	sã˥$
賠	be˧˩$
賢	jie˧˩$
賣	ma˩˧$
賤	zie˩˧$
賦	fu˦˦˥$
質	ʦəʔ˥$
賬	ʦã˦˦˥$
賭	tu˥$
賴	la˩˧$
賺	zɛ˩˧$
購	kəɯ˦˦˥$
賽	sɛ˦˦˥$
贅	ʦue˦˦˥$
贈	zən˩˧$
贊	ʦɛ˦˦˥$
贍	ʦø˥˧$
贏	jiən˧˩$
贓	ʦɑ̃˥˧$
贖	zoʔ˨$
贞	ʦən˥˧$
负	vəɯ˩˧$
贡	koŋ˦˦˥$
财	zɛ˧˩$
责	ʦəʔ˥$
贤	jie˧˩$
败	ba˩˧$
账	ʦã˦˦˥$
货	hu˦˦˥$
质	ʦəʔ˥$
贩	fɛ˦˦˥$
贪	tʰø˥˧$
贫	biən˧˩$
购	kəɯ˦˦˥$
贯	kø˦˦˥$
贱	zie˩˧$
贴	tʰiəʔ˥$
贵	kue˦˦˥$
贷	dɛ˩˧$
贸	məɯ˩˧$
费	fi˦˦˥$
贻	ji˧˩$
贼	zəʔ˨$
贾	ka˥$
贿	hue˦˦˥$
赂	lu˩˧$
赃	ʦɑ̃˥˧$
资	ʦɿ˥˧$
赅	ke˥˧$
赊	so˥˧$
赋	fu˦˦˥$
赌	tu˥$
赎	zoʔ˨$
赏	sã˥$
赐	sɿ˦˦˥$
赔	be˧˩$
赖	la˩˧$
赘	ʦue˦˦˥$
赚	zɛ˩˧$
赛	sɛ˦˦˥$
赞	ʦɛ˦˦˥$
赠	zən˩˧$
赡	ʦø˥˧$
赢	jiən˧˩$
赤	ʦʰəʔ˥$
赫	həʔ˥$
走	ʦəɯ˥$
赵	zɔ˩˧$
赶	kø˥$
起	ʨʰi˩˧$
趁	ʦʰən˩˧$
超	ʦʰɔ˥˧$
越	jioʔ˨$
趕	kø˥$
趙	zɔ˩˧$
趟	tʰɑ̃˩˧$
趤	dɑ̃˩˧$
足	ʦoʔ˥$
趵	pɔ˦˦˥$
趾	ʦɿ˦˦˥$
跃	jiaʔ˨$
跋	bəʔ˨$
跌	tiəʔ˥$
跑	bɔ˧˩$
跛	pʰu˥˧$
距	ʥy˩˧$
跟	kən˥˧$
跡	ʦiəʔ˥$
跨	kʰo˩˧$
跪	gue˩˧$
路	lu˩˧$
跳	tʰiɔ˩˧$
践	zie˩˧$
踏	daʔ˨$
踐	zie˩˧$
踢	tʰiəʔ˥$
踪	ʦoŋ˥˧$
踱	doʔ˨$
蹄	di˥$
蹤	ʦoŋ˥˧$
蹲	tən˥˧$
躁	ʦɔ˦˦˥$
躍	jiaʔ˨$
身	sən˥˧$
躬	koŋ˥˧$
車	ʦʰo˥˧$
軋	gaʔ˨$
軌	kue˥$
軍	ʨyən˥˧$
軒	ɕie˥˧$
軟	ȵiø˩˧$
軻	kʰu˥˧$
輒	ŋəʔ˥$
輔	fu˥$
輕	ʨʰiən˥˧$
輛	liã˩˧$
輜	ʦɿ˥˧$
輝	hue˥˧$
輟	ʦəʔ˥$
輦	ȵie˩˧$
輩	pe˦˦˥$
輪	lən˧˩$
輯	ʦʰiəʔ˥$
輸	sʮ˥˧$
轉	ʦø˥$
轍	ʦʰəʔ˥$
轎	ʥiɔ˩˧$
轟	hoŋ˥˧$
车	ʦʰo˥˧$
轧	gaʔ˨$
轨	kue˥$
轩	ɕie˥˧$
转	ʦø˥$
轮	lən˧˩$
软	ȵiø˩˧$
轰	hoŋ˥˧$
轲	kʰu˥˧$
轻	ʨʰiən˥˧$
轿	ʥiɔ˩˧$
辄	ŋəʔ˥$
辅	fu˥$
辆	liã˩˧$
辇	ȵie˩˧$
辈	pe˦˦˥$
辉	hue˥˧$
辍	ʦəʔ˥$
辎	ʦɿ˥˧$
辑	ʦʰiəʔ˥$
输	sʮ˥˧$
辙	ʦʰəʔ˥$
辛	siən˥˧$
辜	ku˥˧$
辞	zɿ˧˩$
辟	pʰiəʔ˥$
辣	laʔ˨$
辦	bɛ˩˧$
辨	bie˩˧$
辩	bie˩˧$
辫	bie˩˧$
辭	zɿ˧˩$
辮	bie˩˧$
辯	bie˩˧$
辰	zən˧˩$
農	loŋ˧˩$
边	pie˥˧$
辽	liɔ˧˩$
达	daʔ˨$
迂	y˥˧$
迄	ʨʰiəʔ˥$
迅	siən˦˦˥$
过	ku˦˦˥$
迎	ȵiən˧˩$
运	jyən˩˧$
近	ʥiən˩˧$
还	ɦuɛ˧˩$
进	ʦiən˦˦˥$
远	jiø˩˧$
违	ɦue˧˩$
连	lie˧˩$
迟	zɿ˧˩$
迥	ʨioŋ˥$
迫	pʰəʔ˥$
迭	diəʔ˨$
述	zəʔ˨$
迸	pã˦˦˥$
迹	ʦiəʔ˥$
追	ʦue˥˧$
退	tʰe˩˧$
送	soŋ˦˦˥$
适	səʔ˥$
逃	dɔ˧˩$
逆	ȵiəʔ˨$
逊	sən˦˦˥$
透	tʰəɯ˩˧$
递	di˩˧$
途	du˧˩$
逗	dəɯ˩˧$
通	tʰoŋ˥˧$
逛	guɑ̃˩˧$
逝	zɿ˩˧$
逞	ʦʰən˩˧$
速	soʔ˥$
造	zɔ˩˧$
逢	voŋ˧˩$
連	lie˧˩$
進	ʦiən˦˦˥$
逵	gue˧˩$
逸	jiəʔ˨$
逼	piəʔ˥$
逾	jy˧˩$
遁	dən˩˧$
遂	zue˩˧$
遇	ȵy˩˧$
遊	jiəɯ˧˩$
運	jyən˩˧$
遍	pie˦˦˥$
過	ku˦˦˥$
道	dɔ˩˧$
達	daʔ˨$
違	ɦue˧˩$
遗	ji˧˩$
遜	sən˦˦˥$
遞	di˩˧$
遠	jiø˩˧$
遣	ʨʰie˩˧$
適	səʔ˥$
遭	ʦɔ˥˧$
遮	ʦo˥˧$
遲	zɿ˧˩$
遵	ʦən˥˧$
遺	ji˧˩$
遼	liɔ˧˩$
避	bi˩˧$
邀	iɔ˥˧$
還	ɦuɛ˧˩$
邊	pie˥˧$
邑	iəʔ˥$
邓	dən˩˧$
邦	pɑ̃˥˧$
邪	zia˧˩$
邮	jiəɯ˧˩$
邯	hø˥˧$
邵	zɔ˩˧$
邹	ʦəɯ˥˧$
邻	liən˧˩$
郁	ioʔ˥$
郊	ʨiɔ˥˧$
郎	lɑ̃˧˩$
郑	zən˩˧$
郝	həʔ˥$
郡	ʥyən˩˧$
部	bu˩˧$
郭	koʔ˥$
郵	jiəɯ˧˩$
都	tu˥˧$
鄂	ŋoʔ˨$
鄉	ɕiã˥˧$
鄒	ʦəɯ˥˧$
鄙	pi˦˦˥$
鄧	dən˩˧$
鄭	zən˩˧$
鄰	liən˧˩$
酉	jiəɯ˩˧$
酌	ʦaʔ˥$
配	pʰe˩˧$
酒	ʦiəɯ˥$
酣	hø˥˧$
酥	su˥˧$
酪	loʔ˨$
酬	zəɯ˧˩$
酱	ʦiã˦˦˥$
酵	kɔ˦˦˥$
酷	kʰoʔ˥$
酸	sø˥˧$
酿	ȵiã˩˧$
醃	ie˥˧$
醇	zən˧˩$
醉	ʦue˦˦˥$
醋	ʦʰu˩˧$
醒	siən˥$
醜	ʦʰəɯ˩˧$
醫	i˥˧$
醬	ʦiã˦˦˥$
醮	ʦiɔ˦˦˥$
釀	ȵiã˩˧$
釁	ɕiən˦˦˥$
采	ʦʰɛ˥$
释	səʔ˥$
釋	səʔ˥$
里	li˩˧$
重	zoŋ˧˩$
野	jia˩˧$
量	liã˨$
釐	li˧˩$
金	ʨiən˥˧$
釘	tiən˦˦˥$
釜	fu˥$
釣	tiɔ˦˦˥$
釧	ʦʰø˩˧$
釵	ʦʰa˥˧$
鈍	dən˩˧$
鈔	ʦʰɔ˥˧$
鈞	ʨyən˥˧$
鈴	liən˧˩$
鈸	bəʔ˨$
鉗	ʥie˧˩$
鉢	pəʔ˥$
鉤	kəɯ˥˧$
鉴	ʨie˦˦˥$
銀	ȵiən˧˩$
銅	doŋ˧˩$
銘	miən˧˩$
銜	ŋɛ˧˩$
銳	sue˦˦˥$
銷	siɔ˥˧$
鋒	foŋ˥˧$
鋤	zu˧˩$
鋥	zã$
鋪	pʰu˦˦˥$
鋸	ke˦˦˥$
鋼	kɑ̃˥˧$
錄	loʔ˨$
錘	zue˧˩$
錠	diən˩˧$
錢	zie˧˩$
錦	ʨiən˥$
錫	siəʔ˥$
錯	ʦʰoʔ˥$
錶	piɔ˥$
鍋	ku˥˧$
鍍	du˩˧$
鍘	zaʔ˨$
鍵	ʥie˧˩$
鍼	ʦən˥˧$
鍾	ʦoŋ˥˧$
鎖	su˥$
鎝	taʔ˥$
鎧	kʰɛ˩˧$
鎮	ʦən˦˦˥$
鏜	tʰã˥˧$
鏡	ʨiən˩˧$
鏽	siəɯ˦˦˥$
鐃	nɔ˧˩$
鐘	ʦoŋ˥˧$
鐮	lie˧˩$
鐲	zoʔ˨$
鐵	tʰiəʔ˥$
鐸	doʔ˨$
鑄	ʦʮ˦˦˥$
鑊	ɦoʔ˨$
鑒	ʨie˦˦˥$
鑞	laʔ˨$
鑰	jiaʔ˨$
鑲	siã˥˧$
鑷	ȵiəʔ˨$
鑼	lu˧˩$
鑽	ʦø˦˦˥$
针	ʦən˥˧$
钉	tiən˦˦˥$
钏	ʦʰø˩˧$
钓	tiɔ˦˦˥$
钗	ʦʰa˥˧$
钝	dən˩˧$
钞	ʦʰɔ˥˧$
钟	ʦoŋ˥˧$
钢	kɑ̃˥˧$
钥	jiaʔ˨$
钦	ʨʰiən˥˧$
钧	ʨyən˥˧$
钩	kəɯ˥˧$
钱	zie˧˩$
钳	ʥie˧˩$
钵	pəʔ˥$
钹	bəʔ˨$
钻	ʦø˦˦˥$
铁	tʰiəʔ˥$
铃	liən˧˩$
铎	doʔ˨$
铙	nɔ˧˩$
铜	doŋ˧˩$
铠	kʰɛ˩˧$
铡	zaʔ˨$
铭	miən˧˩$
银	ȵiən˧˩$
铸	ʦʮ˦˦˥$
铺	pʰu˦˦˥$
销	siɔ˥˧$
锁	su˥$
锃	zã$
锄	zu˧˩$
锅	ku˥˧$
锈	siəɯ˦˦˥$
锋	foŋ˥˧$
锐	sue˦˦˥$
错	ʦʰoʔ˥$
锡	siəʔ˥$
锣	lu˧˩$
锤	zue˧˩$
锦	ʨiən˥$
锭	diən˩˧$
键	ʥie˧˩$
锯	ke˦˦˥$
镀	du˩˧$
镇	ʦən˦˦˥$
镊	ȵiəʔ˨$
镗	tʰã˥˧$
镜	ʨiən˩˧$
镬	ɦoʔ˨$
镯	zoʔ˨$
镰	lie˧˩$
镴	laʔ˨$
镶	siã˥˧$
長	zã˧˩$
长	zã˧˩$
門	mən˧˩$
閂	sø˥˧$
閃	sø˥$
閉	pi˦˦˥$
開	kʰɛ˥˧$
閏	zən˩˧$
閑	jie˧˩$
閒	jie˧˩$
間	kɛ˦˦˥$
閘	zaʔ˨$
閣	koʔ˥$
閨	kue˥˧$
閩	miən˩˧$
閱	jioʔ˨$
閹	ie˥˧$
闊	kʰuaʔ˥$
闕	ʨʰioʔ˥$
闖	ʦʰɑ̃˩˧$
關	kuɛ˥˧$
门	mən˧˩$
闩	sø˥˧$
闪	sø˥$
闭	pi˦˦˥$
问	mən˩˧$
闯	ʦʰɑ̃˩˧$
闰	zən˩˧$
闲	jie˧˩$
间	kɛ˦˦˥$
闷	mən˩˧$
闸	zaʔ˨$
闹	nɔ˩˧$
闺	kue˥˧$
闻	mən˧˩$
闽	miən˩˧$
阁	koʔ˥$
阄	ʨiəɯ˥˧$
阅	jioʔ˨$
阉	ie˥˧$
阔	kʰuaʔ˥$
阙	ʨʰioʔ˥$
阜	vəɯ˩˧$
队	de˩˧$
阮	ȵiø˩˧$
防	bɑ̃˧˩$
阳	jiã˧˩$
阴	iən˥˧$
阵	zən˩˧$
阶	ka˥˧$
阻	ʦu˥$
阿	u˥˧$
陀	du˧˩$
附	vu˩˧$
际	ʦi˦˦˥$
陆	loʔ˨$
陈	zən˧˩$
陋	ləɯ˩˧$
陌	maʔ˨$
降	jiã˧˩$
限	jie˩˧$
陕	sø˥$
陝	sø˥$
陡	təɯ˥$
陣	zən˩˧$
除	zʮ˧˩$
陨	yən˦˦˥$
险	ɕie˥$
陪	be˧˩$
陰	iən˥˧$
陳	zən˧˩$
陵	liən˧˩$
陶	dɔ˧˩$
陷	jie˩˧$
陸	loʔ˨$
陽	jiã˧˩$
隆	loŋ˧˩$
隊	de˩˧$
階	ka˥˧$
随	zue˧˩$
隐	iən˥$
隑	gɛ˩˧$
隔	kaʔ˥$
隕	yən˦˦˥$
隙	ɕiəʔ˥$
際	ʦi˦˦˥$
障	ʦã˦˦˥$
隧	zue˩˧$
隨	zue˧˩$
險	ɕie˥$
隱	iən˥$
隶	di˩˧$
隸	di˩˧$
隻	ʦaʔ˥$
难	nɛ˧˩$
雀	ʦʰiaʔ˥$
雁	ie˦˦˥$
雄	jioŋ˧˩$
雅	ia˥$
集	ziəʔ˨$
雇	ku˦˦˥$
雉	zɿ˩˧$
雌	ʦʰɿ˥˧$
雍	ioŋ˥$
雏	ʦʰu˥˧$
雕	tiɔ˥˧$
雖	sue˥˧$
雙	sɑ̃˥˧$
雛	ʦʰu˥˧$
雜	zəʔ˨$
雞	ʨi˥˧$
難	nɛ˧˩$
雨	y˥$
雪	siəʔ˥$
雲	jyən˧˩$
零	liən˧˩$
雷	le˧˩$
電	die˩˧$
雾	vu˩˧$
霄	siɔ˥˧$
震	ʦən˦˦˥$
霉	me˧˩$
霍	hoʔ˥$
霎	saʔ˥$
霜	sɑ̃˥˧$
霞	jia˧˩$
霧	vu˩˧$
露	lu˩˧$
霸	po˦˦˥$
靈	liən˧˩$
青	ʦʰiən˥˧$
静	ziən˩˧$
靜	ziən˩˧$
非	fi˥˧$
靠	kʰɔ˦˦˥$
靡	mi˧˩$
面	mie˩˧$
靥	iəʔ˥$
靨	iəʔ˥$
革	kəʔ˥$
靪	tiən˥˧$
鞋	ɦa˧˩$
鞍	ø˥˧$
鞭	pie˥˧$
韌	zən˩˧$
韓	ɦø˧˩$
韧	zən˩˧$
韩	ɦø˧˩$
韭	ʨiəɯ˥$
音	iən˥˧$
韵	yən˦˦˥$
韶	zɔ˧˩$
韻	yən˦˦˥$
響	ɕiã˥$
頂	tiən˥$
頃	ʨʰiən˩˧$
項	ɦɑ̃˩˧$
順	zən˩˧$
頌	zoŋ˩˧$
預	jy˩˧$
頑	ŋuɛ˧˩$
頒	pɛ˥˧$
頓	tən˦˦˥$
頗	pʰu˥˧$
領	liən˩˧$
頭	dəɯ˧˩$
頸	ʨiən˥$
頹	de˧˩$
頻	biən˧˩$
顆	kʰu˥˧$
題	di˥$
額	ŋaʔ˨$
顏	jie˧˩$
願	ȵiø˩˧$
顛	tie˥˧$
類	le˩˧$
顧	ku˦˦˥$
顫	ʦʰø˩˧$
顯	ɕie˩˧$
顶	tiən˥$
顷	ʨʰiən˩˧$
项	ɦɑ̃˩˧$
顺	zən˩˧$
顽	ŋuɛ˧˩$
顾	ku˦˦˥$
顿	tən˦˦˥$
颁	pɛ˥˧$
颂	zoŋ˩˧$
预	jy˩˧$
领	liən˩˧$
颇	pʰu˥˧$
颈	ʨiən˥$
频	biən˧˩$
颓	de˧˩$
颗	kʰu˥˧$
题	di˥$
颜	jie˧˩$
额	ŋaʔ˨$
颠	tie˥˧$
颤	ʦʰø˩˧$
風	foŋ˥˧$
飄	pʰiɔ˥˧$
风	foŋ˥˧$
飘	pʰiɔ˥˧$
飛	fi˥˧$
飞	fi˥˧$
食	zəʔ˨$
飩	dən˥$
飭	ʦʰəʔ˥$
飯	vɛ˩˧$
飲	iən˦˦˥$
飼	zɿ˩˧$
飽	pɔ˥$
飾	səʔ˥$
養	jiã˩˧$
餌	ȵi˩˧$
餐	ʦʰø˥˧$
餒	ne˩˧$
餓	ŋu˩˧$
餘	jy˧˩$
餛	ɦuən˧˩$
餜	ku˥$
餡	ɛ˦˦˥$
館	kø˥$
餿	səɯ˥˧$
饅	mø˧˩$
饑	ʨi˥˧$
饒	zɔ˧˩$
饞	zɛ˧˩$
饥	ʨi˥˧$
饨	dən˥$
饬	ʦʰəʔ˥$
饭	vɛ˩˧$
饮	iən˦˦˥$
饰	səʔ˥$
饱	pɔ˥$
饲	zɿ˩˧$
饵	ȵi˩˧$
饶	zɔ˧˩$
饿	ŋu˩˧$
馁	ne˩˧$
馃	ku˥$
馄	ɦuən˧˩$
馅	ɛ˦˦˥$
馆	kø˥$
馊	səɯ˥˧$
馋	zɛ˧˩$
馒	mø˧˩$
首	səɯ˥$
香	ɕiã˥˧$
馨	ɕiən˥˧$
馬	mo˩˧$
馮	voŋ˧˩$
馱	du˧˩$
馳	zɿ˧˩$
駁	poʔ˥$
駐	ʦʮ˦˦˥$
駒	ʨy˥˧$
駕	ʨia˦˦˥$
駛	sɿ˥$
駝	du˧˩$
駱	loʔ˨$
騎	ʥi˧˩$
騙	pʰie˩˧$
騰	dən˥$
騷	sɔ˥˧$
騾	lu˧˩$
驕	ʨiɔ˥˧$
驗	ȵie˩˧$
驟	zəɯ˩˧$
驢	lu˧˩$
马	mo˩˧$
驮	du˧˩$
驰	zɿ˧˩$
驳	poʔ˥$
驴	lu˧˩$
驶	sɿ˥$
驹	ʨy˥˧$
驻	ʦʮ˦˦˥$
驼	du˧˩$
驾	ʨia˦˦˥$
骂	mo˩˧$
骄	ʨiɔ˥˧$
骆	loʔ˨$
验	ȵie˩˧$
骑	ʥi˧˩$
骗	pʰie˩˧$
骚	sɔ˥˧$
骡	lu˧˩$
骤	zəɯ˩˧$
骨	kuəʔ˥$
骯	ɑ̃˥˧$
髓	sue˦˦˥$
體	tʰi˩˧$
高	kɔ˥˧$
髮	faʔ˥$
鬃	ʦoŋ˥˧$
鬓	piən˦˦˥$
鬢	piən˦˦˥$
鬥	təɯ˦˦˥$
鬧	nɔ˩˧$
鬮	ʨiəɯ˥˧$
鬼	kue˥$
魁	kʰue˥˧$
魂	ɦuən˧˩$
魄	pʰaʔ˥$
魇	ie˥$
魏	ŋue˩˧$
魔	mo˧˩$
魘	ie˥$
魚	jy˧˩$
魯	lu˩˧$
鮎	ȵie˥˧$
鮑	bɔ˩˧$
鮝	siã˥$
鮮	sie˥˧$
鯉	li˩˧$
鯨	ʥiən˧˩$
鯽	ʦiəʔ˥$
鰐	ŋoʔ˨$
鰓	sɛ˥˧$
鰣	zɿ˧˩$
鰥	kuɛ˥˧$
鰭	ʥi˧˩$
鰲	ŋɔ˧˩$
鰾	biɔ˧˩$
鱉	piəʔ˥$
鱖	ʨy˦˦˥$
鱗	liən˧˩$
鱟	həɯ˦˦˥$
鱼	jy˧˩$
鲁	lu˩˧$
鲇	ȵie˥˧$
鲍	bɔ˩˧$
鲎	həɯ˦˦˥$
鲜	sie˥˧$
鲤	li˩˧$
鲥	zɿ˧˩$
鲫	ʦiəʔ˥$
鲸	ʥiən˧˩$
鳃	sɛ˥˧$
鳄	ŋoʔ˨$
鳌	ŋɔ˧˩$
鳍	ʥi˧˩$
鳏	kuɛ˥˧$
鳔	biɔ˧˩$
鳖	piəʔ˥$
鳜	ʨy˦˦˥$
鳞	liən˧˩$
鳥	tiɔ˥$
鳩	ʨiəɯ˥˧$
鳳	voŋ˩˧$
鳴	miən˧˩$
鴟	ʦʰɿ˥˧$
鴨	aʔ˥$
鴻	hoŋ˥˧$
鴿	kəʔ˥$
鵡	vu˩˧$
鶴	ŋoʔ˨$
鷹	iən˥˧$
鸚	ã˥˧$
鸞	lø˧˩$
鸟	tiɔ˥$
鸠	ʨiəɯ˥˧$
鸡	ʨi˥˧$
鸣	miən˧˩$
鸭	aʔ˥$
鸱	ʦʰɿ˥˧$
鸽	kəʔ˥$
鸾	lø˧˩$
鸿	hoŋ˥˧$
鹉	vu˩˧$
鹤	ŋoʔ˨$
鹦	ã˥˧$
鹰	iən˥˧$
鹵	lu˩˧$
鹹	ɦɛ˧˩$
鹼	kɛ˥$
鹽	jie˧˩$
鹿	loʔ˨$
麗	li˩˧$
麝	zo˩˧$
麥	maʔ˨$
麦	maʔ˨$
麻	mo˧˩$
麾	hue˥˧$
黃	ɦuɑ̃˧˩$
黄	ɦuɑ̃˧˩$
黍	sʮ˥$
黎	li˧˩$
黏	ȵie˥˧$
黑	həʔ˥$
默	məʔ˨$
點	tie˥$
黨	tɑ̃˥$
鼎	tiən˥$
鼓	ku˥$
鼠	sʮ˥$
鼾	hø˥˧$
齊	zi˧˩$
齐	zi˧˩$
齒	ʦʰɿ˩˧$
齦	kən˥˧$
齿	ʦʰɿ˩˧$
龈	kən˥˧$
龍	loŋ˧˩$
龐	bɑ̃˧˩$
龕	kʰø˥˧$
龙	loŋ˧˩$
龛	kʰø˥˧$
龜	kue˥˧$
龟	kue˥˧$
𣀔	sø˥$
𧾁	zaʔ˨$
𨳼	jie˧˩$
𩑦	uəʔ˥$
