㮸	soŋ˥$
壮	ʦɑ̃˦˦˥$
壯	ʦɑ̃˦˦˥$
声	sən˥˧$
壳	kʰoʔ˥$
壶	ɦu˧˩$
壺	ɦu˧˩$
壽	zəɯ˩˧$
处	ʦʰʮ˩˧$
复	foʔ˥$
夏	jia˩˧$
夕	ziəʔ˨$
外	ɦuɛ˩˧$
夙	soʔ˥$
多	tu˥˧$
夜	ia˦˦˥$
够	kəɯ˦˦˥$
夠	kəɯ˦˦˥$
夢	moŋ˩˧$
大	da˩˧$
天	tʰie˥˧$
太	tʰa˩˧$
夫	fu˥˧$
央	iã˥˧$
夯	hã˥˧$
失	səʔ˥$
头	dəɯ˧˩$
夷	ji˧˩$
夸	kʰo˥˧$
夹	kaʔ˥$
夺	dəʔ˨$
夾	kaʔ˥$
奇	ʥi˧˩$
奈	nɛ˩˧$
奉	voŋ˩˧$
奋	fən˦˦˥$
奎	kʰue˥˧$
奏	ʦəɯ˦˦˥$
契	ʨʰi˩˧$
奔	pən˥˧$
奖	ʦiã˥$
套	tʰɔ˦˦˥$
奠	die˩˧$
奥	ɔ˥$
奧	ɔ˥$
奪	dəʔ˨$
奮	fən˦˦˥$
女	ȵy˩˧$
奴	nu˧˩$
奶	na˩˧$
奸	kɛ˥˧$
好	hɔ˥$
如	zʮ˧˩$
妃	fi˥˧$
妄	vɑ̃˩˧$
妈	ma˥˧$
妊	zən˩˧$
妓	ʥi˩˧$
妖	iɔ˥˧$
妙	miɔ˥$
妥	tʰu˩˧$
妨	fɑ̃˥$
妹	me˩˧$
妻	ʦʰiəʔ˥$
姆	m̩˥$
始	sɿ˥$
姐	ʦia˥˧$
姑	ku˥˧$
姓	siən˦˦˥$
委	ue˥$
姘	pʰiən˥˧$
姚	jiɔ˧˩$
姜	ʨiã˥˧$
姨	ji˧˩$
姻	iən˥˧$
姿	ʦɿ˥˧$
威	ʦʰiəʔ˥$
娇	ʨiɔ˥˧$
娑	su˥˧$
娘	ȵiã˧˩$
娛	ȵy˧˩$
娩	mie˩˧$
娱	ȵy˧˩$
婉	ø˥$
婚	huən˥˧$
婪	lø˧˩$
婴	iən˥˧$
婶	sən˥$
婿	si˦˦˥$
媒	me˧˩$
媳	siəʔ˥$
媽	ma˥˧$
