㞘底	toʔ˥ ti˥˧
三轮车夫	sɛ̃˧ len˧ ʦʰʮei˧ fu˧
三長兩短	sɛ̃˧ ʣɑŋ˧ liɑŋ˥˧ tuõ˧˩
三长两短	sɛ̃˧ ʣɑŋ˧ liɑŋ˥˧ tuõ˧˩
三隻手	sɛ̃˧ ʦɑʔ˥ sei˥˧
三頭六臂	sɛ̃˧ dei˧ loʔ˨ pi˥
三鬥桌	sɛ̃˧ tei˥˧ ʦoʔ˥
三鮮	sɛ̃˧ ɕiɛ̃˧
三鲜	sɛ̃˧ ɕiɛ̃˧
三點水	sɛ̃˧ tiɛ̃˥˧ sʮei˧˩
上	zɑŋ˩˧
上下	zɑŋ˩˧ ɦiɑ˥˧
上不來臺面	zɑŋ˩˧ pəʔ˥ lɛ˧˩ dɛ˧˩ miɛ̃˩˧
上不来台面	zɑŋ˩˧ pəʔ˥ lɛ˧˩ dɛ˧˩ miɛ̃˩˧
上个月	zɑŋ˩˧ ko˥˧ ɦiəʔ˨
上任	zɑŋ˩˧ zen˩˧
上個月	zɑŋ˩˧ ko˥˧ ɦiəʔ˨
上八府	zɑŋ˩˧ pɑʔ˥ fu˥˧
上半年	zɑŋ˩˧ puõ˥ niɛ̃˧˩
上吊	zɑŋ˩˧ tiɔ˥
上名堂	zɑŋ˩˧ min˧˩ dɑŋ˩˧
上吐下泻	zɑŋ˩˧ tʰu˥˧ ɦiɑ˩˧ ɕiɑ˥
上吐下瀉	zɑŋ˩˧ tʰu˥˧ ɦiɑ˩˧ ɕiɑ˥
上品	zɑŋ˩˧ pʰin˥˧
上坟	zɑŋ˩˧ ven˨˩˧
上墳	zɑŋ˩˧ ven˨˩˧
上士	zɑŋ˩˧ zɿ˩˧
上头	zɑŋ˩˧ dei
上山	zɑŋ˩˧ sɛ̃˧
上工	zɑŋ˩˧ koŋ˧
上手髈	zɑŋ˩˧ sei˥˧ pʰɑŋ˧˩
上昼头	zɑŋ˩˧ ʦei˥˧ dei
上晝頭	zɑŋ˩˧ ʦei˥˧ dei
上横头	zɑŋ˩˧ ɦuɑŋ˥˧ dei
上橫頭	zɑŋ˩˧ ɦuɑŋ˥˧ dei
上毛子	zɑŋ˩˧ mɔ˥˧ ʦɿ
上海滩	zɑŋ˩˧ hɛ˥˧ tʰɛ̃˧˩
上海灘	zɑŋ˩˧ hɛ˥˧ tʰɛ̃˧˩
上灯节	zɑŋ˩˧ ten˧ ʨiəʔ˥
上灶	zɑŋ˩˧ ʦɔ˥
上照	zɑŋ˩˧ ʦɔ˥
