㞘底	toʔ˥ ti˥˧
轧稻	gɑʔ˨ dɔ˩˧
轧脚	gɑʔ˨ ʨiɑʔ˥
轧苗头	gɑʔ˨ miɔ˧˩ dei
轧账	gɑʔ˨ ʦɑŋ˥
轧道	gɑʔ˨ dɔ˩˧
轧闹猛	gɑʔ˨ nɔ˩˧ mɑŋ˥˧
轨	kui˥˧
轨道	kui˥˧ dɔ˧˩
轩	ɕiᴇ̃˧
转	ʦʮõ˥˧
转去	ʦʮõ˥˧ ʨʰi˧˩
转念头	ʦʮõ˥˧ niɛ̃˩˧ dei
转方子	ʦʮõ˥˧ fɑŋ˧ ʦɿ
转来	ʦʮõ˥˧ lɛ˧˩
转椅	ʦʮõ˥˧ ʔi˧˩
转过头	ʦʮõ˥˧ ku˧˩ dei˨˩˧
轭	ɑʔ˥
轮	len˨˩˧
轮盘	len˨˩˧ buõ˩˧˧
轮船	len˧˩ ʣʮõ˩˧
软	ȵyõ˥˧
软当	ȵyõ˥˧ tɑŋ˧˩
软披披	ȵyõ˥˧ pʰi˧˩ pʰi˧˩
软骨头	ȵyõ˥˧ kuoʔ˥ dei
轰	hoŋ˧
轴	ʣoʔ˨
轴儿	ʥioʔ˨ əl˩˧
轻	ʨʰin˧
轻头重	ʨʰin˧ dei ʣoŋ˩˧
轻巧	ʨʰin˧ ʨʰiɔ˧
轻轻交	ʨʰin˧ ʨʰin˧ ʨiɔ˧
轻飘飘	ʨʰin˧ pʰiɔ˧ pʰiɔ˧
轻骨头	ʨʰin˧ kuoʔ˥ dei
载	ʦᴇ˦˦˥
轿	ʥiɔ˩˧
轿厅	ʥiɔ˩˧ tʰin˥˧
轿夫	ʥiɔ˩˧ fu˥˧
轿子	ʥiɔ˩˧ ʦɿ
较	ʨiɔ˦˦˥
辅	fu˥˧
辆	liɑŋ˥˧
辇	liᴇ̃˥˧
辈	pei˦˦˥
辉	hui˧
辎	ʦɿ˧
辑	ʨʰiəʔ˥
输	sʮ˧
辔	pʰei˦˦˥
辕	ɦyõ˨˩˧
辙	ʦəʔ˥
辛	ɕin˧
辞	ʣɿ˨˩˧
辣	lɑʔ˨
辣乎乎	lɑʔ˨ hu˧ hu˧
辣化化	lɑʔ˨ huɑ˧ huɑ˧˩
辣手	lɑʔ˨ sei˥˧
辣椒儿	lɑʔ˨ ʥi˧˩ əl˩˧
辣椒儿粉	lɑʔ˨ ʥi˧˩ əl˩˧ fen˥˧
辣椒兒	lɑʔ˨ ʥi˧˩ əl˩˧
辣椒兒粉	lɑʔ˨ ʥi˧˩ əl˩˧ fen˥˧
辣油	lɑʔ˨ ɦiø˩˧
辣酱	lɑʔ˨ ʨiɑŋ˥
辣醬	lɑʔ˨ ʨiɑŋ˥
辦	bᴇ̃˩˧
辦喜事	bɛ̃˩˧ ɕi˥˧ zɿ˧˩
辦移交	bɛ̃˩˧ ɦi˧˩ ʨiɔ˧
辨	biᴇ̃˩˧
辩	biᴇ̃˩˧
辫	biᴇ̃˩˧
辫儿	biɛ̃˧˩ əl˥˧
辫梢儿	biɛ̃˧˩ sɔ˧ əl˧
辭	ʣɿ˨˩˧
辮	biᴇ̃˩˧
辮兒	biɛ̃˧˩ əl˥˧
辮梢兒	biɛ̃˧˩ sɔ˧ əl˧
辯	biᴇ̃˩˧
辰	zen˨˩˧
辰光	zen˧˩ kuɑŋ˧
辱	zoʔ˨
農	noŋ˨˩˧
農忙假	noŋ˧˩ mɑŋ˩˧ ʨiɑ˥˧
農民	noŋ˨˩˧ (或ȵioŋ˧˩)min˩˧
边	piᴇ̃˧
边儿	piɛ̃˧ əl˧
边儿高头	piɛ̃˧ əl˧ kɔ˧ dei
边旁	piɛ̃˧ bɑŋ˧
边门	piɛ̃˧ men˧
辽	liɔ˨˩˧
达	dɑʔ˨
达月	dɑʔ˨ ɦiəʔ˨
达达滚	dɑʔ˨ dɑʔ˨ kun˥˧
迁	ʨʰiᴇ̃˧
迁就	ʨʰiɛ̃˧ ʥiø˧
迂	y˧
迅	ɕin˦˦˥
过	ku˧
过世	ku˥ sɿ˥
过堂	ku˥ dɑŋ˨˩˧
过家家	ku˥ ʨiɑ˧ ʨiɑ˧
过房儿子	ku˥ vɑŋ˧˩ əl˧˩ ʦɿ
过桥	ku˥ ʥiɔ˨˩˧
过桥米线	ku˥ ʥiɔ˧˩ mi˥˧ ɕiɛ̃˧˩
过生日	ku˥ sen˧ zəʔ˨˥
过老酒	ku˥ lɔ˩˧ ʨiø˥˧
过节	ku˥ ʨiəʔ˥
过道	ku˥ dɔ˧˩
过铁	ku˥ tiəʔ˥
过门	ku˥ men˨˩˧
过饭	ku˥ vɛ̃˩˧
迈	mᴇ˦˦˥
迎	ȵin˨˩˧
运	ɦyn˩˧
运河	ɦyn˩˧ ɦo˥˧
运道	ɦyn˩˧ dɔ˥˧
近	ʥin˩˧
近視眼兒	ʥin˩˧ ʨʰi˥˧ ʔiɛ̃˥˧ əl˧˩
近视眼儿	ʥin˩˧ ʨʰi˥˧ ʔiɛ̃˥˧ əl˧˩
还	ɦuõ˨˩˧
还价	ɦuõ˧˩ ʨiɑ˥
还愿	ɦuõ˧˩ ɦyõ˩˧
还潮	ɦuõ˧˩ ʣɔ˨˩˧
还潮天	ɦuõ˧˩ ʣɔ˨˩˧ tʰiɛ̃˧
还礼	ɦuõ˧˩ li˥˧
进	ʨin˥
进教	ʨin˥ ʨiɔ˥
进深	ʨin˥ sen˧˩
进账	ʨin˥ ʦɑŋ˧˩
远	yõ˥˧
违	ɦui˨˩˧
连	liɛ̃˨˩˧
连串	liɛ̃˧˩ ʦʰʮõ˥
连史纸	liɛ̃˨˩˧ sɿ˥˧ ʦɿ˧˩
连坐	liɛ̃˧˩ ʣo˩˧
连庄	liɛ̃˧˩ ʦʮɑŋ˧
连牢	liɛ̃˧˩ lɔ˩˧
连牢翻跟头	liɛ̃˧˩ lɔ˩˧ fɛ̃˧ ken˧ dei
连脚裤	liɛ̃˧˩ ʨiɑʔ˥ kʰu˥
连襟	liɛ̃˧˩ ʨin˧
连连唠唠	liɛ̃˧˩ liɛ̃˩˧ lɔ˩˧ lɔ˩˧
连连涝涝雨	liɛ̃˧˩ liɛ̃˩˧ lɔ˩˧ lɔ˧˩ ʔy˥˧
迟	ʣɿ˨˩˧
迟到	ʣɿ˧˩ tɔ˥˧
迟早	ʣɿ˧˩ ʦɔ˥˧
迫	pʰɑʔ˥
迭	diəʔ˨
述	zəʔ˨
迷	mi˨˩˧
迸	pin˦˦˥
迸𡍩	pɑŋ˥ ʦʰɑʔ˥
迹	ʨiəʔ˥
迹作	ʨiəʔ˥ ʦoʔ˥
追	ʦʮei˧
追追儿	ʦʮei˧ ʦʮei˧ əl˧
追追兒	ʦʮei˧ ʦʮei˧ əl˧
退	tʰui˦˦˥
退堂	tʰui˥ dɑŋ˨˩˧
退烧	tʰui˥ sɔ˧
退燒	tʰui˥ sɔ˧
退課	tʰui˥ kʰo˥
退课	tʰui˥ kʰo˥
退过	tʰui˥ ku˧˩
退過	tʰui˥ ku˧˩
送	soŋ˦˦˥
送亲	soŋ˥ ʨʰin˧
送人情	soŋ˥ zen˧˩ ʥin˩˧
送嫁妆	soŋ˥ ʨiɑ˥ ʦʮɑŋ˧˩
送嫁妝	soŋ˥ ʨiɑ˥ ʦʮɑŋ˧˩
送客	soŋ˥ kʰɑ˥
送灶	soŋ˥ ʦɔ˥
送礼	soŋ˥ li˥˧
送禮	soŋ˥ li˥˧
送竈	soŋ˥ ʦɔ˥
送葬	soŋ˥ ʦʮɑŋ˥
送親	soŋ˥ ʨʰin˧
送請帖	soŋ˥ ʨʰin˥˧ tʰiəʔ˨
送请帖	soŋ˥ ʨʰin˥˧ tʰiəʔ˨
适	səʔ˥
适意	səʔ˥ ʔi˥
逃	dɔ˨˩˧
逃生子	dɔ˧˩ sen˧ ʦɿ
逆	ȵiəʔ˨
选	ɕiᴇ̃˥˧
逊	sʮen˦˦˥
透	tʰei˦˦˥
逐	ʣoʔ˨
递	di˩˧
途	du˨˩˧
逗	dei˩˧
通	tʰoŋ˧
通条	tʰoŋ˧ diɔ˧
通條	tʰoŋ˧ diɔ˧
通知	tʰoŋ˧ ʦɿ˧
通紅	tʰoŋ˧ ɦoŋ˨˩˧
通红	tʰoŋ˧ ɦoŋ˨˩˧
通行證	tʰoŋ˧ ɦin˧ ʦen˧
通行证	tʰoŋ˧ ɦin˧ ʦen˧
逛	guɑŋ˩˧
逝	zɿ˩˧
逞	ʦʰen˥˧
速	soʔ˥
造	ʣɔ˩˧
造反	ʣɔ˩˧ fɛ̃˥˧
造孽	ʣɔ˩˧ niəʔ˨
造房子	ʣɔ˩˧ vɑŋ˧˩ ʦɿ
造話	ʣɔ˩˧ ɦuɑ˥˧
造话	ʣɔ˩˧ ɦuɑ˥˧
逢	voŋ˨˩˧
連	liᴇ̃˨˩˧
連串	liɛ̃˧˩ ʦʰʮõ˥
連史紙	liɛ̃˨˩˧ sɿ˥˧ ʦɿ˧˩
連坐	liɛ̃˧˩ ʣo˩˧
連牢	liɛ̃˧˩ lɔ˩˧
連牢翻跟頭	liɛ̃˧˩ lɔ˩˧ fɛ̃˧ ken˧ dei
連腳褲	liɛ̃˧˩ ʨiɑʔ˥ kʰu˥
連莊	liɛ̃˧˩ ʦʮɑŋ˧
連襟	liɛ̃˧˩ ʨin˧
連連嘮嘮	liɛ̃˧˩ liɛ̃˩˧ lɔ˩˧ lɔ˩˧
連連澇澇雨	liɛ̃˧˩ liɛ̃˩˧ lɔ˩˧ lɔ˧˩ ʔy˥˧
週	ʦei˧
進	ʨin˦˦˥
進教	ʨin˥ ʨiɔ˥
進深	ʨin˥ sen˧˩
進賬	ʨin˥ ʦɑŋ˧˩
逵	gui˨˩˧
逸	ɦiəʔ˨
逾	ɦy˨˩˧
遁	den˩˧
遂	zʮei˩˧
遇	ɦy˩˧
遊	ɦiø˨˩˧
遊泳	ɦiø˧˩ ʔioŋ˥˧
遊泳衣	ɦiø˧˩ ʔioŋ˥˧ ʔi˧
遊泳褲	ɦiø˧˩ ʔioŋ˥˧ kʰu˧˩
運	ɦyn˩˧
運河	ɦyn˩˧ ɦo˥˧
運道	ɦyn˩˧ dɔ˥˧
遍	piᴇ̃˦˦˥
過	ku˧
過世	ku˥ sɿ˥
過堂	ku˥ dɑŋ˨˩˧
過家家	ku˥ ʨiɑ˧ ʨiɑ˧
過房兒子	ku˥ vɑŋ˧˩ əl˧˩ ʦɿ
過橋	ku˥ ʥiɔ˨˩˧
過橋米線	ku˥ ʥiɔ˧˩ mi˥˧ ɕiɛ̃˧˩
過生日	ku˥ sen˧ zəʔ˨˥
過節	ku˥ ʨiəʔ˥
過老酒	ku˥ lɔ˩˧ ʨiø˥˧
過道	ku˥ dɔ˧˩
過鐵	ku˥ tiəʔ˥
過門	ku˥ men˨˩˧
過飯	ku˥ vɛ̃˩˧
遐	ɦiɑ˨˩˧
道	dɔ˩˧
道儿	dɔ˩˧ əl˥˧
道儿老	dɔ˩˧ əl˥˧ lɔ˥˧
道兒	dɔ˩˧ əl˥˧
道兒老	dɔ˩˧ əl˥˧ lɔ˥˧
道地	dɔ˩˧ di˥˧
道场	dɔ˩˧ ʣɑŋ˥˧
道場	dɔ˩˧ ʣɑŋ˥˧
道士	dɔ˩˧ zɿ˥˧
道菩萨	dɔ˩˧ bu˧˩ sɑʔ˥
道菩薩	dɔ˩˧ bu˧˩ sɑʔ˥
達	dɑʔ˨
達月	dɑʔ˨ ɦiəʔ˨
達達滾	dɑʔ˨ dɑʔ˨ kun˥˧
違	ɦui˨˩˧
遗腹子	ɦi˧˩ foʔ˥ ʦɿ˥˧
遜	sʮen˦˦˥
遞	di˩˧
遠	yõ˥˧
遣	ʨʰiᴇ̃˥˧
適	səʔ˥
適意	səʔ˥ ʔi˥
遭	ʦɔ˧
遮	ʦʮei˧
遮牢	ʦʮei˧ lɔ˧
遲	ʣɿ˨˩˧
遲到	ʣɿ˧˩ tɔ˥˧
遲早	ʣɿ˧˩ ʦɔ˥˧
遵	ʦʮen˧
遷	ʨʰiᴇ̃˧
遷就	ʨʰiɛ̃˧ ʥiø˧
選	ɕiᴇ̃˥˧
遺腹子	ɦi˧˩ foʔ˥ ʦɿ˥˧
遼	liɔ˨˩˧
避	bi˩˧
避覷門兒	di˩˧ ʨʰi˥˧ men˧˩ əl˧˩
避觑门儿	di˩˧ ʨʰi˥˧ men˧˩ əl˧˩
邀	iɔ˧
邁	mᴇ˦˦˥
還	ɦuõ˨˩˧
還價	ɦuõ˧˩ ʨiɑ˥
還潮	ɦuõ˧˩ ʣɔ˨˩˧
還潮天	ɦuõ˧˩ ʣɔ˨˩˧ tʰiɛ̃˧
還禮	ɦuõ˧˩ li˥˧
還願	ɦuõ˧˩ ɦyõ˩˧
邊	piᴇ̃˧
邊兒	piɛ̃˧ əl˧
邊兒高頭	piɛ̃˧ əl˧ kɔ˧ dei
邊旁	piɛ̃˧ bɑŋ˧
邊門	piɛ̃˧ men˧
邋遢水	lɑʔ˨ tʰɑʔ˥ sʮei˥˧
邓	den˩˧
邢	ɦin˨˩˧
那	nɑ˦˦˥
那个	nɑ˥ koʔ˥
那些	nɑ˥ ɕi˧˩
那個	nɑ˥ koʔ˥
那头	nɑ˥ dei
那毛子	nɑ˥ mɔ˧˩ ʦɿ
那裡	nɑ˥ li˥˧
那里	nɑ˥ li˥˧
那頭	nɑ˥ dei
邦	pɑŋ˧
邪	ʥiɑ˨˩˧
邮	ɦiø˨˩˧
邱	ʨʰiø˧
邵	ʣɔ˩˧
邵芝巖笔庄	zɔ˩˧ ʦɿ˥˧ ɦiɛ̃˧˩ piəʔ ʦʮɑŋ˧
邵芝巖筆莊	zɔ˩˧ ʦɿ˥˧ ɦiɛ̃˧˩ piəʔ ʦʮɑŋ˧
邹	ʦei˧
邻	lin˨˩˧
邻舍	lin˧˩ sʮei˥˧
郁	yəʔ˥
郊	ʨiɔ˧
郎	lɑŋ˨˩˧
郎中先生	lɑŋ˧˩ ʦoŋ˧ ɕiɛ̃˧ sen˧
郑	ʣen˩˧
郡	ʥyn˩˧
部	bu˩˧
郭	koʔ˥
郵	ɦiø˨˩˧
都	tu˧
都落头儿	tu˧ loʔ˥ dei əl
都落頭兒	tu˧ loʔ˥ dei əl
鄂	ŋoʔ˨
鄉	ɕiɑŋ˧
鄉下人	ɕiɑŋ˧ ɦiɑ˧ zen˧
鄉氣	ɕiɑŋ˧ ʨʰi˧
鄉瓜頭兒	ɕiɑŋ˧ kuɑ˧ dei əl
鄒	ʦei˧
鄙	pi˥˧
鄧	den˩˧
鄭	ʣen˩˧
鄰	lin˨˩˧
鄰舍	lin˧˩ sʮei˥˧
酉	ʔiø˥˧
酌	ʦɑʔ˥
配	pʰei˥
配胃口	pʰei˥ ɦui˩˧ kʰø˧˩
配药	pʰei˥ ɦiɑʔ˨
配藥	pʰei˥ ɦiɑʔ˨
酒	ʨiø˥˧
酒坛儿	ʨiø˥˧ dɛ̃˧˩ əl˧˩
酒壶	ʨiø˥˧ ɦu˧˩
酒壺	ʨiø˥˧ ɦu˧˩
酒杯儿	ʨiø˥˧ pei˧˩ əl˧˩
酒杯兒	ʨiø˥˧ pei˧˩ əl˧˩
酒水儿	ʨiø˥˧ sʮei˧˩ əl˧˩
酒水兒	ʨiø˥˧ sʮei˧˩ əl˧˩
酒糊塗	ʨiø˥˧ ɦu˧˩ du˧˩
酒糊涂	ʨiø˥˧ ɦu˧˩ du˧˩
酒糟鼻	ʨiø˥˧ ʦɔ˧˩ biəʔ˨
酒罈兒	ʨiø˥˧ dɛ̃˧˩ əl˧˩
酒肉朋友	ʨiø˥˧ zoʔ˨ bɑŋ˧˩ ʔiø˧˩
酒脚儿	ʨiø˥˧ ʨiɑʔ˥ əl˧˩
酒腳兒	ʨiø˥˧ ʨiɑʔ˥ əl˧˩
酒酿	ʨiø˥˧ niɑŋ˧˩
酒醉鬼	ʨiø˥˧ ʦʮei˧˩ kui˧˩
酒釀	ʨiø˥˧ niɑŋ˧˩
酒靥儿	ʨiø˥˧ ʔiɛ̃˧˩ əl˧˩
酒靨兒	ʨiø˥˧ ʔiɛ̃˧˩ əl˧˩
酣	hᴇ̃˧
酥	su˧
酪	loʔ˨
酬	ʣei˨˩˧
酱	ʨiɑŋ˦˦˥
酱园店	ʨiɑŋ˥ ɦyõ˧˩ tiɛ̃˥
酱油	ʨiɑŋ˥ ɦiø˧˩
酱油麻子	ʨiɑŋ˥ ɦiø˧˩ mɑ˧˩ ʦɿ
酱瓜	ʨiɑŋ˥ kuɑ˧˩
酱肉	ʨiɑŋ˥ zoʔ˨
酱菜	ʨiɑŋ˥ ʦʰɛ˧˩
酵	ɕiɔ˦˦˥
酷	kʰoʔ˥
酸	sʮõ˧
酸乓气	sʮõ˧ pʰɑŋ˧ ʨʰi˧
酸乓氣	sʮõ˧ pʰɑŋ˧ ʨʰi˧
酸叽叽	sʮõ˧ ʨi˧ ʨi˧
酸咪咪	sʮõ˧ mi˧ mi˧
酸嘰嘰	sʮõ˧ ʨi˧ ʨi˧
酸溜溜	ɦuɑʔ˨ liø˧ liø˧
酿	ȵiɑŋ˥˧
酿蜜	niɑŋ˩˧ miəʔ˨
酿酒	niɑŋ˩˧ ʨiø˥˧
醃	iᴇ̃˧
醃篤鮮	ʔiɛ̃˧ toʔ˥ ɕʔiɛ̃˧
醃菜	ʔiɛ̃˧ ʦʰɛ˥
醃菜缸	ʔiɛ̃˧ ʦʰɛ˥ kɑŋ˧
醃雞蛋	ʔiɛ̃˧ ʨi˧ dɛ̃˧
醃鴨蛋	ʔiɛ̃˧ ʔiɑʔ˥ dɛ̃˧
醇	zʮen˨˩˧
醇酿	ʣʮen˧˩ niɑŋ˩˧
醇釀	ʣʮen˧˩ niɑŋ˩˧
醉	ʦʰʮei˦˦˥
醉方	ʦʮei˧ fɑŋ˧˩
醉虾	ʦʮei˧ ɕiɑ˧˩
醉蝦	ʦʮei˧ ɕiɑ˧˩
醉蟹	ʦʮei˧ ɕiɛ˥˧
醋	ʦʰu˥
醋鉢头	ʦʰu˥ poʔ˥ dei
醋鉢頭	ʦʰu˥ poʔ˥ dei
醒	ɕin˥˧
醜	ʦʰei˥˧
醫	i˧
醫生	i˧ sen˧
醬	ʨiɑŋ˦˦˥
醬園店	ʨiɑŋ˥ ɦyõ˧˩ tiɛ̃˥
醬油	ʨiɑŋ˥ ɦiø˧˩
醬油麻子	ʨiɑŋ˥ ɦiø˧˩ mɑ˧˩ ʦɿ
醬瓜	ʨiɑŋ˥ kuɑ˧˩
醬肉	ʨiɑŋ˥ zoʔ˨
醬菜	ʨiɑŋ˥ ʦʰɛ˧˩
釀	ȵiɑŋ˥˧
釀蜜	niɑŋ˩˧ miəʔ˨
釀酒	niɑŋ˩˧ ʨiø˥˧
釁	ɕin˦˦˥
采	ʦʰᴇ˥˧
釉	ɦiø˩˧
释	səʔ˥
釋	səʔ˥
里	li˥˧
里厢	li˥˧ ɕiɑŋ˧˩
里头	li˥˧ dei
里纽	li˥˧ niø˧˩
里脊肉	li˥˧ ʨi˧˩ zoʔ˨
里间	li˥˧ ʨiɛ̃˧˩
重	ʣoŋ˨˩˧
重听	ʣoŋ˩˧ tʰin˥˧
重孙	ʣoŋ˧˩ sʮen˧
重孙女	ʣoŋ˧˩ sʮen˧ ny˥˧
重孫	ʣoŋ˧˩ sʮen˧
重孫女	ʣoŋ˧˩ sʮen˧ ny˥˧
重聽	ʣoŋ˩˧ tʰin˥˧
重阳	ʣoŋ˧˩ ɦiɑŋ˩˧
重阳糕	ʣoŋ˧˩ ɦiɑŋ˩˧ kɔ˧
重陽	ʣoŋ˧˩ ɦiɑŋ˩˧
重陽糕	ʣoŋ˧˩ ɦiɑŋ˩˧ kɔ˧
野	iɑ˥˧
野伢儿	ʔi˥˧ ɦiɑ˧˩ əl˧˩
野伢兒	ʔi˥˧ ɦiɑ˧˩ əl˧˩
野兽	ʔi˥˧ sei˧˩
野獸	ʔi˥˧ sei˧˩
野雞	ʔi˥˧ ʨi˧˩
野鴨兒	ʔi˥˧ ʔiɑʔ˥ əl˧
野鸡	ʔi˥˧ ʨi˧˩
野鸭儿	ʔi˥˧ ʔiɑʔ˥ əl˧
量	liɑŋ˨˩˧
量地皮	liɑŋ˧˩ di˩˧ bi˥˧
量气	liɑŋ˥ ʨʰi˧˩
量氣	liɑŋ˥ ʨʰi˧˩
量米	liɑŋ˧˩ mi˥˧
量衣裳	liɑŋ˧˩ ʔi˧ zɑŋ˧
金	ʨin˧
金丝绒	ʨin˧ sɿ˧ nioŋ˧
金光鋥亮	ʨin˧ kuɑŋ˧ ʣɑŋ˩˧ liɑŋ˥
金光锃亮	ʨin˧ kuɑŋ˧ ʣɑŋ˩˧ liɑŋ˥
金子	ʨin˧ ʦɿ
金字招牌	ʨin˧ zɿ˩˧ ʦɔ˧ bɛ˧
金柱	ʨin˧ ʣʮ˧
金橘儿	ʨin˧ ʨiəʔ˥ əl˧
金橘兒	ʨin˧ ʨiəʔ˥ əl˧
金橘餅	ʨin˧ ʨiəʔ˥ pin˥˧
金橘饼	ʨin˧ ʨiəʔ˥ pin˥˧
金笔	ʨin˧ piəʔ˥
金筆	ʨin˧ piəʔ˥
金絲絨	ʨin˧ sɿ˧ nioŋ˧
金虾儿	ʨin˧ ɕiɑ˧ əl˧
金蝦兒	ʨin˧ ɕiɑ˧ əl˧
金針菇	ʨin˧ ʦen˧ ku˧
金鈴子	ʨin˧ lin˧ ʦɿ
金鉤鉤	ʨin˧ kø˧ kø˧
金銀花	ʨin˧ ȵin˧ huɑ˧
金针菇	ʨin˧ ʦen˧ ku˧
金钩钩	ʨin˧ kø˧ kø˧
金铃子	ʨin˧ lin˧ ʦɿ
金银花	ʨin˧ ȵin˧ huɑ˧
金雞獨立桌	ʨin˧ ʨi˧ doʔ˨ liəʔ˨ ʦoʔ˥
金鸡独立桌	ʨin˧ ʨi˧ doʔ˨ liəʔ˨ ʦoʔ˥
釘	tin˧
釘扣兒	tin˧ kʰø˥ əl˧˩
釘耙	tin˧ bɑ˧
釘鞋	tin˧ ɦiɛ˧
釘頭兒	tin˧ dei əl
釘頭碰鐵頭	tin˧ dei pʰoŋ˥ tʰiəʔ˥ dei
釜	vu˩˧
針	ʦen˧
針屁股	ʦen˧ pʰi˧ ku˧
針灸	ʦen˧ ʨiø˧
針腳	ʦen˧ ʨiɑʔ˥
針頭兒	ʦen˧ dei˧ əl˧
釣	tiɔ˦˦˥
釣魚	tiɔ˥ ɦy˧˩
釣魚竿兒	tiɔ˥ ɦy˧˩ kɛ̃˧ əl˧
釣魚鉤兒	tiɔ˥ ɦy˧˩ kɛ̃˧ əl˧
釵	ʦʰᴇ˧
釵兒	ʦʰɛ˧ əl˧
鈍	den˩˧
鈔	ʦʰɔ˥˧
鈔票	ʦʰɔ˥˧ piɔ˧˩
鈕	niø˥˧
鈞	ʨyn˧
鈴	lin˨˩˧
鉗	ʥiᴇ̃˨˩˧
鉗兒	ʥiɛ̃˧˩ əl˩˧
鉗子	ʥiɛ̃˧˩ ʦɿ
鉗工	ʥiɛ̃˧˩ koŋ˧
鉛	ʨʰiᴇ̃˧
鉛筆	ʨʰiɛ̃˧ piəʔ˥
鉛筆刀兒	ʨʰiɛ̃˧ piəʔ˥ tɔ˧ əl˧
鉛筆刨子	ʨʰiɛ̃˧ piəʔ˥ bɔ˩˧ ʦɿ
鉛筆絡兒	ʨʰiɛ̃˧ piəʔ˥ loʔ˨ əl˩˧
鉛筆芯子	ʨʰiɛ̃˧ piəʔ˥ ɕin˧ ʦɿ
鉢頭	poʔ˥ dei
鉤	kei˧
鉤鉤兒	kø˧ kø˧ əl˧
鉸	ʨiɔ˥˧
鉸鏈	gɔ˩˧ liɛ̃˥˧
銀	ȵin˨˩˧
銀匠	nin˧˩ ʥiɑŋ˩˧
銀子	nin˧˩ ʦɿ
銀杏樹	nin˧˩ ɦɑŋ˩˧(或ɦin˩˧) zʮ˩˧
銀樓	nin˧˩ lei˩˧
銀河	nin˧˩ ɦo˩˧
銀洋鈿	nin˧˩ ɦiɑŋ˩˧ diɛ̃˩˧
銀灰	nin˧˩ hui˧
銀角子	nin˧˩ koʔ˥ ʦɿ
銃	ʦʰoŋ˦˦˥
銅	doŋ˨˩˧
銅匠師傅	doŋ˧˩ ʥiɑŋ˩˧ sɿ˧ vu˧
銅板	doŋ˧˩ pɛ̃˥˧
銅盆帽	doŋ˧˩ ben˩˧ mɔ˩˧
銅箍兒	doŋ˧˩ kʰu˧ əl˧
銅鈿	doŋ˧˩ diɛ̃˩˧
銅鈿銀子	doŋ˧˩ diɛ̃˩˧ ȵin˧˩ ʦɿ
銅鼓兒	doŋ˧˩ ku˥˧ əl˧˩
銘	min˨˩˧
銜	ɦiᴇ̃˨˩˧
銬	kʰɔ˦˦˥
銳	zʮei˩˧
銷	ɕiɔ˧
銹	ɕiø˦˦˥
銼	ʦʰo˦˦˥
鋁鍋	ly˥˧ ku˧˩
鋒	foŋ˧
鋤	ʣu˨˩˧
鋤地	ʣo˧˩ di˩˧
鋤頭	ʣo˧˩ dei
鋥	ʣɑŋ˩˧
鋪	pʰu˧
鋪板	pʰu˥ pɛ̃˥˧
鋪牀	pʰu˧ ʣʮɑŋ˨˩˧
鋪蓋	pʰu˧ kɛ˧
鋬儿	pʰɛ̃˥ əl˧˩
鋬兒	pʰɛ̃˥ əl˧˩
鋸	ʨy˦˦˥
鋸子	ʨy˥ ʦɿ
鋼	kɑŋ˧
鋼宗	kɑŋ˧ ʦoŋ˧
鋼宗鍋子	kɑŋ˧ ʦoŋ˧ ku˧ ʦɿ
鋼筆	kɑŋ˧ piəʔ˥
鋼絲牀	kɑŋ˧ sɿ˧ ʣʮɑŋ˧
錄	loʔ˨
錐	ʦʮei˧
錘	ʣʮei˨˩˧
錛	pen˧
錢	ʥiᴇ̃˨˩˧
錢包	ʥiɛ̃˨˩˧ pɔ˧
錢塘江	ʥiɛ̃˧˩ dɑŋ˩˧ ʨiɑŋ˧
錢塘縣	ʥiɛ̃˧˩ dɑŋ˩˧ ɦiɛ̃˩˧
錢江潮	ʥiɛ̃˧˩ ʨiɑŋ˧ ʦɔ˨˩˧
錦	ʨin˥˧
錨	mɔ˨˩˧
錫	ɕiəʔ˥
錯	ʦʰou˦˦˥
錯暫的	ʦʰo˧ ʣɛ̃˩˧ ti
鍋	ku˧
鍋兒缸竈	ku˧ əl˧ kɑŋ˧ ʦɔ˧
鍋子	ku˧ ʦɿ
鍋煤	ku˧ mei˧
鍋蓋	ku˧ kɛ˧
鍋貼	ku˧ tʰiəʔ˥
鍍	du˩˧
鍘	zɑʔ˨
鍘刀	zɑʔ˨ tɔ˧
鍛	tuõ˦˦˥
鍬	ʨʰiɔ˧
鍵	ʥiᴇ̃˩˧
鎖	so˥˧
鎮	ʦen˦˦˥
鎮紙	ʦen˥ ʦɿ˧˩
鎮高頭	ʦen˥ kɔ˧˩ dei
鎯头	lɑŋ˧˩ dei
鎯頭	lɑŋ˧˩ dei
鎳幣	niəʔ˨ bi˩˧
鏇	ʥiᴇ̃˩˧
鏈	liᴇ̃˩˧
鏈條	liɛ̃˩˧ diɔ˥˧
鏟	ʦʰᴇ̃˥˧
鏡	ʨin˦˦˥
鏡子	ʨin˥ ʦɿ
鏵	ɦuɑ˨˩˧
鏹鍋刀	ʨʰiɑŋ˥˧ ku˧˩ tɔ˧
鐘	ʦoŋ˧
鐘錶店	ʦoŋ˧ piɔ˧ tiɛ̃˧
鐘頭不準	ʦoŋ˧ dei pəʔ˥ ʦʮen˥˧
鐙	ten˦˦˥
鐧	ʨiᴇ̃˧
鐮	liᴇ̃˨˩˧
鐮刀	liɛ̃˧˩ tɔ˧
鐲	ʣoʔ˨
