㒼	mũ˨˩˧
虚头把戏	ɕy˥˧ dœʏ˨˦ po˧˥ ɕi˦˦
虚头把气	ɕy˥˧ dœʏ˨˦ po˧˥ ʨʰi˦˦
虚头把脑	ɕy˥˧ dœʏ˨˦ po˧˥ nɔ˨˩˧
虚心病	ɕy˥˧ ɕiŋ˥˧ biŋ˨˩˧
虛㽺病	ɕy˥˧ ɕiɪʔ˥ biŋ˨˩˧
虛心病	ɕy˥˧ ɕiŋ˥˧ biŋ˨˩˧
虛頭	ɕy˥˧ dœʏ˨˦
虛頭把戲	ɕy˥˧ dœʏ˨˦ po˧˥ ɕi˦˦
虛頭把氣	ɕy˥˧ dœʏ˨˦ po˧˥ ʨʰi˦˦
虛頭把腦	ɕy˥˧ dœʏ˨˦ po˧˥ nɔ˨˩˧
虧勒	ʨʰy˥˧ lɐʔ˩˨
虧煞	ʨʰy˥˧ sɐʔ˥
虱末老鬼	sɐʔ˥ mɐʔ˩˨ lɔ˨˩˧ ʨy˧˥
虱末鬼	sɐʔ˥ mɐʔ˩˨ ʨy˧˥
虽则	sɐɪ˥˧ ʦɐʔ˥
虽即	sɐɪ˥˧ ʨiɪʔ˥
虾步弹	huo˧˥ bu˨˩˧ dɛ˨˩˧
虾皮弹虫	huo˧˥ bi˨˦ dɛ˨˩˧ ʣoŋ˨˦
虾蛄弹	huo˧˥ ku˥˧ dɛ˨˩˧
虾𩻣	huo˧˥ ʣɛ˨˦
蚀	ʑiɪʔ˩˨
蚂粉	mo˨˩˧ fəŋ˧˥
蚂蟥襻	mo˨˩˧ ɦuɔ̃˨˦ pʰɛ˦˦
蚂轰	mo˨˩˧ hoŋ˦˦
蚊烟丝	məŋ˨˦ i˥˧ sɿ˥˧
蚊煙絲	məŋ˨˦ i˥˧ sɿ˥˧
蚊虫	məŋ˨˦ ʣoŋ˨˦
蚊虫烟丝	məŋ˨˦ ʣoŋ˨˦ i˥˧ sɿ˥˧
蚊蟲	məŋ˨˦ ʣoŋ˨˦
蚊蟲煙絲	məŋ˨˦ ʣoŋ˨˦ i˥˧ sɿ˥˧
蚕豆	zɐɪ˨˦ dœʏ˨˩˧
蚱𧐖	ʦo˥˧ li˨˦
蛇手	ʣo˨˦ ɕi˧˥
蛇果果	ʣo˨˦ kəu˧˥ kəu˧˥
蛇皮癣	ʣo˨˦ bi˨˦ ɕi˧˥
蛇皮癬	ʣo˨˦ bi˨˦ ɕi˧˥
蛇皮袋	ʣo˨˦ bi˨˦ de˨˩˧
蛇箩	ʣo˨˦ ləu˨˦
蛇籮	ʣo˨˦ ləu˨˦
蛇苗	ʣo˨˦ mio˨˩˧
蛇虫百脚	ʣo˨˦ ʣoŋ˨˦ pɐʔ˥ ʨiɐʔ˥
蛇蟲百腳	ʣo˨˦ ʣoŋ˨˦ pɐʔ˥ ʨiɐʔ˥
蛋壳球	dɛ˨˩˧ kʰoʔ˥ ʥiʏ˨˦
蛋壳皮球	dɛ˨˩˧ kʰoʔ˥ bi˨˦ ʥiʏ˨˦
蛋殼球	dɛ˨˩˧ kʰoʔ˥ ʥiʏ˨˦
蛋殼皮球	dɛ˨˩˧ kʰoʔ˥ bi˨˦ ʥiʏ˨˦
蛎黄	li˨˩˧ uɔ̃˧˥
蛐蟮	ʦʰoʔ˥ ɦi˨˩˧
蛔虫朝下	ɦuɐɪ˨˦ ʣoŋ˨˦ ʥio˨˦ ɦo˨˩˧
蛔蟲朝下	ɦuɐɪ˨˦ ʣoŋ˨˦ ʥio˨˦ ɦo˨˩˧
蛛蛛	ʦʮ˥˧ ʦʮ˥˧
蛛蛛乱网	ʦʮ˥˧ ʦʮ˥˧ lø˨˩˧ mɔ̃˨˩˧
蛛蛛亂網	ʦʮ˥˧ ʦʮ˥˧ lø˨˩˧ mɔ̃˨˩˧
蛤皮	kɐʔ˥ bi˨˦
蛤蚆	kɐʔ˥ po˥˧
蛤螷	kɐʔ˥ bi˨˦
蛤螷油	kɐʔ˥ bi˨˦ ɦiʏ˨˦
蛮	ʔmɛ˥˧
蛮力	mɛ˨˦ liɪʔ˩˨
蛮气	mɛ˨˦ ʨʰi˦˦
蛮矮凳	mɛ˨˦ a˧˥ təŋ˦˦
蛮长	mɛ˨˦ ʥiã˨˦
蛮长蛮大	mɛ˨˦ ʥiã˨˦ mɛ˨˦ dəu˨˩˧
蛳螺	sɿ˥˧ ləu˨˦
蜒蚰螺	ɦi˨˦ ɦi˨˦ ləu˨˦
蜜甜	miɪʔ˩˨ di˨˦
蜡棱头	lɐʔ˩˨ ləŋ˨˩˧ dœʏ˨˦
蜡烛	lɐʔ˩˨ ʦoʔ˥
蜡烛包	lɐʔ˩˨ ʦoʔ˥ pɔ˥˧
蜡烛钿	lɐʔ˩˨ ʦoʔ˥ di˨˩˧
蝕	ʑiɪʔ˩˨
蝙蝠老鼠	pi˥˧ foʔ˥ lɔ˨˩˧ ʦɿ˧˥
蝦步彈	huo˧˥ bu˨˩˧ dɛ˨˩˧
蝦皮彈蟲	huo˧˥ bi˨˦ dɛ˨˩˧ ʣoŋ˨˦
蝦蛄彈	huo˧˥ ku˥˧ dɛ˨˩˧
蝦𩻣	huo˧˥ ʣɛ˨˦
蝨末老鬼	sɐʔ˥ mɐʔ˩˨ lɔ˨˩˧ ʨy˧˥
蝨末鬼	sɐʔ˥ mɐʔ˩˨ ʨy˧˥
螄螺	sɿ˥˧ ləu˨˦
螞粉	mo˨˩˧ fəŋ˧˥
螞蟥襻	mo˨˩˧ ɦuɔ̃˨˦ pʰɛ˦˦
螞轟	mo˨˩˧ hoŋ˦˦
螺蛳青	ləu˨˦ sɿ˥˧ ʨʰiŋ˥˧
螺螄青	ləu˨˦ sɿ˥˧ ʨʰiŋ˥˧
蟛蚏蟹	bɔ̃˨˦ ȵy˨˦ ha˧˥
蟹包	ha˧˥ pɔ˥˧
蟹壳顶	ha˧˥ kʰoʔ˥ tiŋ˧˥
蟹殼頂	ha˧˥ kʰoʔ˥ tiŋ˧˥
蟹盖头	ha˧˥ ke˦˦ dœʏ˨˦
蟹米須	ha˧˥ mi˨˩˧ su˧˥
蟹米须	ha˧˥ mi˨˩˧ su˧˥
蟹糊	ha˧˥ ɦu˨˦
蟹肚子	ha˧˥ tu˧˥ ʦɿ˧˥
蟹肚脐	ha˧˥ du˨˩˧ ʥi˨˦
蟹肚臍	ha˧˥ du˨˩˧ ʥi˨˦
蟹股	ha˧˥ ku˧˥
蟹脚钳	ha˧˥ ʨiɐʔ˥ ʥi˨˦
蟹腳鉗	ha˧˥ ʨiɐʔ˥ ʥi˨˦
蟹蓋頭	ha˧˥ ke˦˦ dœʏ˨˦
蟹酱	ha˧˥ ʨiã˦˦
蟹醬	ha˧˥ ʨiã˦˦
蟹鉗	ha˧˥ ʥi˨˦
蟹钳	ha˧˥ ʥi˨˦
蠟棱頭	lɐʔ˩˨ ləŋ˨˩˧ dœʏ˨˦
蠟燭	lɐʔ˩˨ ʦoʔ˥
蠟燭包	lɐʔ˩˨ ʦoʔ˥ pɔ˥˧
蠟燭鈿	lɐʔ˩˨ ʦoʔ˥ di˨˩˧
蠣黃	li˨˩˧ uɔ̃˧˥
蠶豆	zɐɪ˨˦ dœʏ˨˩˧
蠻	ʔmɛ˥˧
蠻力	mɛ˨˦ liɪʔ˩˨
蠻氣	mɛ˨˦ ʨʰi˦˦
蠻矮凳	mɛ˨˦ a˧˥ təŋ˦˦
蠻長	mɛ˨˦ ʥiã˨˦
蠻長蠻大	mɛ˨˦ ʥiã˨˦ mɛ˨˦ dəu˨˩˧
血出糊剌	ɕyəʔ˥ ʦʰʮœʔ˥ ɦu˨˦ la˨˦
血印	ɕyəʔ˥ iŋ˦˦
血得斯紅	ɕyəʔ˥ tɐʔ˥ sɿ˥˧ ɦoŋ˨˦
血得斯红	ɕyəʔ˥ tɐʔ˥ sɿ˥˧ ɦoŋ˨˦
血心	ɕyəʔ˥ ɕiŋ˥˧
血血紅	ɕyəʔ˥ ɕyəʔ˥ ɦoŋ˨˦
血血红	ɕyəʔ˥ ɕyəʔ˥ ɦoŋ˨˦
衆家	ʦoŋ˦˦ ko˥˧
衆生	ʦoŋ˦˦ sã˥˧
行	ɦã˨˦
行业	ɦɔ̃˨˦ ȵiɪʔ˩˨
行为	ɦã˨˦ ɦuɐɪ˨˩˧
行人势	ɦɔ̃˨˦ ȵiŋ˨˦ sʮ˦˦
行人勢	ɦɔ̃˨˦ ȵiŋ˨˦ sʮ˦˦
行会	ɦã˨˦ ɦuɐɪ˨˩˧
行俏	ɦɔ̃˨˦ ʨʰio˦˦
行当	ɦɔ̃˨˦ tɔ̃˥˧
行情行市	ɦɔ̃˨˦ ʥiŋ˨˦ ɦɔ̃˨˦ zɿ˨˩˧
行會	ɦã˨˦ ɦuɐɪ˨˩˧
行業	ɦɔ̃˨˦ ȵiɪʔ˩˨
行爲	ɦã˨˦ ɦuɐɪ˨˩˧
行當	ɦɔ̃˨˦ tɔ̃˥˧
行販	ɦɔ̃˨˦ fɛ˦˦
行贩	ɦɔ̃˨˦ fɛ˦˦
行运	ɦã˨˦ ɦyəŋ˨˩˧
行運	ɦã˨˦ ɦyəŋ˨˩˧
行鞭笋	ɦã˨˦ pi˥˧ sʮøŋ˧˥
行鞭筍	ɦã˨˦ pi˥˧ sʮøŋ˧˥
街裏	ka˥˧ li˨˩˧
街里	ka˥˧ li˨˩˧
衛生衫	ɦuɐɪ˨˩˧ səŋ˥˧ sɛ˥˧
衛生褲	ɦuɐɪ˨˩˧ səŋ˥˧ kʰu˦˦
衝	ʦʰoŋ˥˧
衝口出	ʦʰoŋ˥˧ kʰœʏ˧˥ ʦʰʮœʔ˥
衝場	ʦʰoŋ˥˧ ʥiã˨˩˧
衣	i˧˥
衣橱	y˥˧ ʣʮ˨˦
衣橱凳	y˥˧ ʣʮ˨˦ təŋ˦˦
衣櫥	y˥˧ ʣʮ˨˦
衣櫥凳	y˥˧ ʣʮ˨˦ təŋ˦˦
衣衫	i˧˥ sɛ˥˧
衣裳	i˧˥ zɔ̃˨˦
补	pu˧˥
表袋	pio˧˥ de˨˩˧
衬里布衫	ʦʰəŋ˦˦ li˨˩˧ pu˦˦ sɛ˥˧
衬里裤	ʦʰəŋ˦˦ li˨˩˧ kʰu˦˦
衲头	nɐʔ˩˨ dœʏ˨˦
衲頭	nɐʔ˩˨ dœʏ˨˦
袋皮	de˨˩˧ bi˨˦
袋袋	de˨˩˧ de˨˩˧
袖头子	ʑiʏ˨˩˧ dœʏ˨˦ ʦɿ˧˥
袖套	ʑiʏ˨˩˧ tʰɔ˦˦
袖套龍	ʑiʏ˨˩˧ tʰɔ˦˦ loŋ˨˦
袖套龙	ʑiʏ˨˩˧ tʰɔ˦˦ loŋ˨˦
袖頭子	ʑiʏ˨˩˧ dœʏ˨˦ ʦɿ˧˥
被头	bi˨˩˧ dœʏ˨˦
被头挡	bi˨˩˧ dœʏ˨˦ tɔ̃˦˦
被夹里	bi˨˩˧ kɐʔ˥ li˨˩˧
被夾裏	bi˨˩˧ kɐʔ˥ li˨˩˧
被挡头	bi˨˩˧ tɔ̃˦˦ dœʏ˨˦
被擋頭	bi˨˩˧ tɔ̃˦˦ dœʏ˨˦
被柜	bi˨˩˧ ʥy˨˦
被櫃	bi˨˩˧ ʥy˨˦
被甩	bi˨˩˧ huɐʔ˥
被窠	bi˨˩˧ kʰəu˥˧
被笚	bi˨˩˧ tɐʔ˥
被鋪	bi˨˩˧ pʰu˦˦
被铺	bi˨˩˧ pʰu˦˦
被頭	bi˨˩˧ dœʏ˨˦
被頭擋	bi˨˩˧ dœʏ˨˦ tɔ̃˦˦
裁	ze˨˦
裁头刮脚	ze˨˦ dœʏ˨˦ kuɐʔ˥ ʨiɐʔ˥
裁片	ze˨˦ pʰi˦˦
裁頭刮腳	ze˨˦ dœʏ˨˦ kuɐʔ˥ ʨiɐʔ˥
装	ʦɔ̃˥˧
装小花脸	ʦɔ̃˥˧ ɕio˧˥ huo˦˦ li˨˩˧
装小货	ʦɔ̃˥˧ ɕio˧˥ həu˦˦
装棚搭架	ʦɔ̃˥˧ bã˨˦ tɐʔ˥ ko˦˦
装翠眼	ʦɔ̃˥˧ ʦʰɐɪ˦˦ ŋɛ˨˩˧
裏	li˨˩˧
裏山	li˨˩˧ sɛ˥˧
裏廂	li˨˩˧ ɕiã˥˧
裏紐	li˨˩˧ ȵiʏ˨˩˧
補	pu˧˥
裝	ʦɔ̃˥˧
裝小花臉	ʦɔ̃˥˧ ɕio˧˥ huo˦˦ li˨˩˧
裝小貨	ʦɔ̃˥˧ ɕio˧˥ həu˦˦
裝棚搭架	ʦɔ̃˥˧ bã˨˦ tɐʔ˥ ko˦˦
裝翠眼	ʦɔ̃˥˧ ʦʰɐɪ˦˦ ŋɛ˨˩˧
裡頭	li˨˩˧ dœʏ˨˦
裣	li˨˩˧
裤带缚	kʰu˦˦ ta˦˦ bəu˨˩˧
裤脚	kʰu˦˦ ʨiɐʔ˥
裤脚筒	kʰu˦˦ ʨiɐʔ˥ doŋ˨˩˧
裥	kɛ˧˥
褓裙	bɔ˨˩˧ ʥy˨˩˧
褙袹	pɐɪ˥˧ pɐʔ˥
褪	tʰəŋ˦˦
褪壳	tʰəŋ˦˦ kʰoʔ˥
褪殼	tʰəŋ˦˦ kʰoʔ˥
褪缺	tʰəŋ˦˦ ʨʰyəʔ˥
褪裤阿大	tʰəŋ˦˦ kʰu˦˦ ɐʔ˥ dəu˨˩˧
褪褲阿大	tʰəŋ˦˦ kʰu˦˦ ɐʔ˥ dəu˨˩˧
褲帶縛	kʰu˦˦ ta˦˦ bəu˨˩˧
褲腳	kʰu˦˦ ʨiɐʔ˥
褲腳筒	kʰu˦˦ ʨiɐʔ˥ doŋ˨˩˧
襉	kɛ˧˥
襛	ʔnoŋ˥˧
襝	li˨˩˧
襯裡布衫	ʦʰəŋ˦˦ li˨˩˧ pu˦˦ sɛ˥˧
襯裡褲	ʦʰəŋ˦˦ li˨˩˧ kʰu˦˦
襱裤	loŋ˨˦ kʰu˦˦
襱褲	loŋ˨˦ kʰu˦˦
西	ɕiɪʔ˥
西晒日头	ɕi˥˧ sa˦˦ ȵiɪʔ˩˨ dœʏ˨˦
西曬日頭	ɕi˥˧ sa˦˦ ȵiɪʔ˩˨ dœʏ˨˦
西湖杨柳	ɕi˥˧ ɦu˨˦ ɦiã˨˦ lʏ˨˩˧
西湖楊柳	ɕi˥˧ ɦu˨˦ ɦiã˨˦ lʏ˨˩˧
西瓜时	ɕi˥˧ kuo˥˧ zɿ˨˦
西瓜時	ɕi˥˧ kuo˥˧ zɿ˨˦
西瓜汛裏	ɕi˥˧ kuo˥˧ ɕiŋ˦˦ li˨˩˧
西瓜汛里	ɕi˥˧ kuo˥˧ ɕiŋ˦˦ li˨˩˧
西瓜虫	ɕi˥˧ kuo˥˧ ʣoŋ˨˦
西瓜蟲	ɕi˥˧ kuo˥˧ ʣoŋ˨˦
西装短裤	ɕi˥˧ ʦɔ̃˥˧ tø˧˥ kʰu˦˦
西裝短褲	ɕi˥˧ ʦɔ̃˥˧ tø˧˥ kʰu˦˦
要侬疙瘩𡀂	io˦˦ nəu˨˩˧ kɐʔ˥ tɐʔ˥ lɐɪ˨˦
要侬𢜭力𡀂	io˦˦ nəu˨˩˧ ʥiɐʔ˩˨ liɪʔ˩˨ lɐɪ˨˦
要俉疙瘩𡀂	io˦˦ ŋ̩˨˩˧ kɐʔ˥ tɐʔ˥ lɐɪ˨˦
要俉𢜭力𡀂	io˦˦ ŋ̩˨˩˧ ʥiɐʔ˩˨ liɪʔ˩˨ lɐɪ˨˦
要儂疙瘩𡀂	io˦˦ nəu˨˩˧ kɐʔ˥ tɐʔ˥ lɐɪ˨˦
要儂𢜭力𡀂	io˦˦ nəu˨˩˧ ʥiɐʔ˩˨ liɪʔ˩˨ lɐɪ˨˦
要条性命	io˦˦ dio˨˦ ɕiŋ˦˦ miŋ˨˩˧
要條性命	io˦˦ dio˨˦ ɕiŋ˦˦ miŋ˨˩˧
要煞性命	io˦˦ sɐʔ˥ ɕiŋ˦˦ miŋ˨˩˧
要紧要慢	io˦˦ ʨiŋ˧˥ io˦˦ mɛ˨˩˧
要緊要慢	io˦˦ ʨiŋ˧˥ io˦˦ mɛ˨˩˧
要鈿嘸郎	io˦˦ di˨˩˧ ʔm̩˦˦ lɔ̃˨˦
要钿呒郎	io˦˦ di˨˩˧ ʔm̩˦˦ lɔ̃˨˦
覅	fe˥˧
覅其	fe˥˧ ʥi˨˩˧
覅其甮其	fe˥˧ ʥi˨˩˧ vəŋ˨˦ ʥi˨˩˧
覅吃甮吃	fe˥˧ ʨʰyoʔ˥ vəŋ˨˦ ʨʰyoʔ˥
覅听甮听	fe˥˧ tʰiŋ˥˧ vəŋ˨˦ tʰiŋ˥˧
覅咋	fe˥˧ ʣa˨˩˧
覅喫甮喫	fe˥˧ ʨʰyoʔ˥ vəŋ˨˦ ʨʰyoʔ˥
覅看甮看	fe˥˧ kʰi˦˦ vəŋ˨˦ kʰi˦˦
覅穿甮穿	fe˥˧ ʦʰʏ˥˧ vəŋ˨˦ ʦʰʏ˥˧
覅聽甮聽	fe˥˧ tʰiŋ˥˧ vəŋ˨˦ tʰiŋ˥˧
見䏘鬼	ʨi˦˦ pʰiɪʔ˥ ʨy˧˥
見大頭鬼	ʨi˦˦ dəu˨˩˧ dœʏ˨˦ ʨy˧˥
見情	ʨi˦˦ ʥiŋ˨˦
見面鈿	ʨi˦˦ mi˨˩˧ di˨˩˧
親	ʨʰiŋ˦˦
親家公	ʨʰiŋ˦˦ ko˥˧ koŋ˥˧
親家姆	ʨʰiŋ˦˦ ko˥˧ m̩˨˦
親氣	ʨʰiŋ˦˦ ʨʰi˦˦
覺着	koʔ˥ ʣoʔ˩˨
见䏘鬼	ʨi˦˦ pʰiɪʔ˥ ʨy˧˥
见大头鬼	ʨi˦˦ dəu˨˩˧ dœʏ˨˦ ʨy˧˥
见情	ʨi˦˦ ʥiŋ˨˦
见面钿	ʨi˦˦ mi˨˩˧ di˨˩˧
觉着	koʔ˥ ʣoʔ˩˨
角头	koʔ˥ dœʏ˨˦
角头角面	koʔ˥ dœʏ˨˦ koʔ˥ mi˨˩˧
角子	koʔ˥ ʦɿ˧˥
角票	koʔ˥ pʰio˦˦
角落头	koʔ˥ loʔ˩˨ dœʏ˨˦
角落頭	koʔ˥ loʔ˩˨ dœʏ˨˦
角角落落	koʔ˥ koʔ˥ loʔ˩˨ loʔ˩˨
角頭	koʔ˥ dœʏ˨˦
角頭角面	koʔ˥ dœʏ˨˦ koʔ˥ mi˨˩˧
角麂	koʔ˥ ʨi˥˧
角麂呒郎	koʔ˥ ʨi˥˧ ʔm̩˦˦ lɔ̃˨˦
角麂嘸郎	koʔ˥ ʨi˥˧ ʔm̩˦˦ lɔ̃˨˦
解	ga˨˩˧
解匠	ga˨˩˧ ʑiã˨˩˧
解心焦	ka˧˥ ɕiŋ˥˧ ʨio˥˧
解板	ka˧˥ pɛ˧˥
解树螂	ga˨˩˧ ʣʮ˨˩˧ lɔ̃˨˦
解樹螂	ga˨˩˧ ʣʮ˨˩˧ lɔ̃˨˦
解縛	ka˧˥ bəu˨˩˧
解纜	ka˧˥ lɛ˨˦
解缆	ka˧˥ lɛ˨˦
解缚	ka˧˥ bəu˨˩˧
触霉头	ʦʰoʔ˥ mɐɪ˨˦ dœʏ˨˦
觸黴頭	ʦʰoʔ˥ mɐɪ˨˦ dœʏ˨˦
計件工	ʨi˦˦ ʥi˨˩˧ koŋ˥˧
計較	ʨi˦˦ kɔ˦˦
討䞁房	tʰɔ˧˥ i˦˦ vɔ̃˨˦
討保	tʰa˧˥ pɔ˧˥
討債鬼	tʰɔ˧˥ ʦa˦˦ ʨy˧˥
討飯	tʰɔ˧˥ vɛ˨˩˧
討飯坯	tʰɔ˧˥ vɛ˨˩˧ pʰɐɪ˥˧
討飯相	tʰɔ˧˥ vɛ˨˩˧ ɕiã˦˦
討飯頭	tʰɔ˧˥ vɛ˨˩˧ dœʏ˨˦
討饒	tʰa˧˥ ȵio˨˦
記	ʨi˦˦
記認	ʨi˦˦ ȵiŋ˨˩˧
記防	ʨi˦˦ bɔ̃˨˦
訰訰	təŋ˦˦ təŋ˦˦
許	he˦˦
許願心	he˦˦ ȵy˨˦ ɕiŋ˥˧
詏	ɔ˧˥
試上加試	sɿ˦˦ zɔ̃˨˩˧ ko˥˧ sɿ˦˦
話	ɦuo˨˩˧
話上加話	ɦuo˨˩˧ zɔ̃˨˩˧ ko˥˧ ɦuo˨˩˧
話勒睬	ɦuo˨˩˧ lɐʔ˩˨ ʦʰe˧˥
話勒起	ɦuo˨˩˧ lɐʔ˩˨ ʨʰi˧˥
話勿睬	ɦuo˨˩˧ vɐʔ˩˨ ʦʰe˧˥
話勿起	ɦuo˨˩˧ vɐʔ˩˨ ʨʰi˧˥
話柄	ɦuo˨˩˧ piŋ˦˦
話話其	ɦuo˨˩˧ ɦuo˨˩˧ ʥi˨˩˧
話頭	ɦuo˨˩˧ dœʏ˨˦
該	ke˥˧
該一𪰻	kiɪʔ˥ iɪʔ˥ ʨʰiã˧˥
該只角	kiɪʔ˥ ʦɐʔ˥ koʔ˥
該回	kiɪʔ˥ ɦuɐɪ˨˦
該岸	kiɪʔ˥ ŋe˨˦
該底	kiɪʔ˥ ti˧˥
該廂	kiɪʔ˥ ɕiã˥˧
該應	ke˥˧ ɦiŋ˨˦
該星	kiɪʔ˥ ɕiŋ˥˧
該晌	kiɪʔ˥ zɔ̃˨˩˧
該晌裏	kiɪʔ˥ zɔ̃˨˩˧ li˨˩˧
該晌記	kiɪʔ˥ zɔ̃˨˩˧ ʨi˦˦
該樣	kiɪʔ˥ ɦiã˨˩˧
該死	ke˥˧ ɕi˧˥
該眼	kiɪʔ˥ ŋɛ˨˩˧
該網	kiɪʔ˥ mɔ̃˨˩˧
該裏	kiɪʔ˥ li˨˩˧
該記	kiɪʔ˥ ʨi˦˦
該遭	kiɪʔ˥ ʦɔ˥˧
該邊	kiɪʔ˥ pi˥˧
該面	kiɪʔ˥ mi˨˩˧
該頭	kiɪʔ˥ dœʏ˨˦
該𡍲	kiɪʔ˥ tɐʔ˥
該𪰻	kiɪʔ˥ ʨʰiã˧˥
該𪰻裏	kiɪʔ˥ ʨʰiã˧˥ li˨˩˧
認	ȵiŋ˨˩˧
認屁和尚	ȵiŋ˨˩˧ pʰi˦˦ ɦəu˨˩˧ zɔ̃˨˩˧
認樣	ȵiŋ˨˩˧ ɦiã˨˩˧
認生頭	ȵiŋ˨˩˧ sã˥˧ dœʏ˨˦
認真話	zʮøŋ˨˩˧ ʨiŋ˥˧ ɦuo˨˩˧
誏	ʔlɔ̃˦˦
誏話	ʔlɔ̃˦˦ ɦuo˨˩˧
誏话	ʔlɔ̃˦˦ ɦuo˨˩˧
說話	sʮœʔ˥ ɦuo˨˩˧
調	dio˨˩˧
調仔	dio˨˩˧ ʦɿ˧˥
調來回去	dio˨˩˧ le˨˦ ɦuɐɪ˨˦ ʨʰi˦˦
調來換去	dio˨˩˧ le˨˦ ɦũ˨˩˧ ʨʰi˦˦
調大	dio˨˩˧ da˨˩˧
調排	dio˨˩˧ ba˨˦
調撥	dio˨˩˧ pɐʔ˥
調槍花	dio˨˩˧ ʨʰiã˥˧ huo˦˦
調發調發	dio˨˩˧ fɐʔ˥ dio˨˩˧ fɐʔ˥
調直	dio˨˩˧ ʥiɪʔ˩˨
調覺	dio˨˩˧ kɔ˦˦
調頭調腦	dio˨˩˧ dœʏ˨˦ dio˨˩˧ nɔ˨˩˧
調頭𧝴角	dio˨˩˧ dœʏ˨˦ toʔ˥ koʔ˥
諫	gɛ˨˩˧
諫嘴諫得	gɛ˨˩˧ ʦʮ˧˥ gɛ˨˩˧ tɐʔ˥
諫腐一樣	gɛ˨˩˧ vu˨˩˧ iɪʔ˥ ɦiã˨˩˧
諫訓	kɛ˦˦ ɕyəŋ˦˦
謎子	mi˨˦ ʦɿ˧˥
講勒睬	kɔ̃˧˥ lɐʔ˩˨ ʦʰe˧˥
講勿睬	kɔ̃˧˥ vɐʔ˩˨ ʦʰe˧˥
講口	kɔ̃˧˥ kʰœʏ˧˥
講夜話	kɔ̃˧˥ ɦia˨˩˧ ɦuo˨˩˧
講大道	kɔ̃˧˥ da˨˩˧ dɔ˨˩˧
講忮話	kɔ̃˧˥ ʥi˨˩˧ ɦuo˨˩˧
講故事	kɔ̃˧˥ ku˦˦ zɿ˨˩˧
講究	kɔ̃˧˥ ʨiʏ˥˧
講空話	kɔ̃˧˥ kʰoŋ˦˦ ɦuo˨˩˧
講聊天	kɔ̃˧˥ lio˨˦ tʰi˥˧
講說話	kɔ̃˧˥ sʮœʔ˥ ɦuo˨˩˧
講起埭頭	kɔ̃˧˥ ʨʰi˧˥ da˨˦ dœʏ˨˦
講起痕頭	kɔ̃˧˥ ʨʰi˧˥ ɦəŋ˨˦ dœʏ˨˦
講閒話	kɔ̃˧˥ ɦɛ˨˦ ɦuo˨˩˧
謝年	ʑia˨˩˧ ȵi˨˦
謞	hoʔ˥
謰謰謱謱	ʔli˦˦ ʔli˦˦ ʔlu˦˦ ʔlu˦˦
謰謰𫍴𫍴	ʔli˦˦ ʔli˦˦ ʔlu˦˦ ʔlu˦˦
警察烂眼	ʨiŋ˧˥ ʦʰɐʔ˥ lɛ˨˩˧ ŋɛ˨˩˧
警察爛眼	ʨiŋ˧˥ ʦʰɐʔ˥ lɛ˨˩˧ ŋɛ˨˩˧
譬如	pʰi˦˦ zʮ˨˦
譬如勿如	pʰi˦˦ zʮ˨˦ vɐʔ˩˨ zʮ˨˦
譬如勿得	pʰi˦˦ zʮ˨˦ vɐʔ˩˨ tɐʔ˥
譬开	pʰi˦˦ kʰe˥˧
譬開	pʰi˦˦ kʰe˥˧
计件工	ʨi˦˦ ʥi˨˩˧ koŋ˥˧
计较	ʨi˦˦ kɔ˦˦
认	ȵiŋ˨˩˧
认屁和尚	ȵiŋ˨˩˧ pʰi˦˦ ɦəu˨˩˧ zɔ̃˨˩˧
认样	ȵiŋ˨˩˧ ɦiã˨˩˧
认生头	ȵiŋ˨˩˧ sã˥˧ dœʏ˨˦
认真话	zʮøŋ˨˩˧ ʨiŋ˥˧ ɦuo˨˩˧
讨䞁房	tʰɔ˧˥ i˦˦ vɔ̃˨˦
讨保	tʰa˧˥ pɔ˧˥
讨债鬼	tʰɔ˧˥ ʦa˦˦ ʨy˧˥
讨饭	tʰɔ˧˥ vɛ˨˩˧
讨饭坯	tʰɔ˧˥ vɛ˨˩˧ pʰɐɪ˥˧
讨饭头	tʰɔ˧˥ vɛ˨˩˧ dœʏ˨˦
讨饭相	tʰɔ˧˥ vɛ˨˩˧ ɕiã˦˦
讨饶	tʰa˧˥ ȵio˨˦
记	ʨi˦˦
记认	ʨi˦˦ ȵiŋ˨˩˧
记防	ʨi˦˦ bɔ̃˨˦
讲勒睬	kɔ̃˧˥ lɐʔ˩˨ ʦʰe˧˥
讲勿睬	kɔ̃˧˥ vɐʔ˩˨ ʦʰe˧˥
讲口	kɔ̃˧˥ kʰœʏ˧˥
讲夜话	kɔ̃˧˥ ɦia˨˩˧ ɦuo˨˩˧
讲大道	kɔ̃˧˥ da˨˩˧ dɔ˨˩˧
讲忮话	kɔ̃˧˥ ʥi˨˩˧ ɦuo˨˩˧
讲故事	kɔ̃˧˥ ku˦˦ zɿ˨˩˧
讲究	kɔ̃˧˥ ʨiʏ˥˧
讲空话	kɔ̃˧˥ kʰoŋ˦˦ ɦuo˨˩˧
讲聊天	kɔ̃˧˥ lio˨˦ tʰi˥˧
讲说话	kɔ̃˧˥ sʮœʔ˥ ɦuo˨˩˧
