尾	mi˩˧$
尿	sɿ˥˧$
局	ʥioʔ˨$
屁	pʰi˧˥$
层	zən˧˩$
屄	pi˥˧$
居	ʨy˥˧$
屆	ka˧˥$
屈	ʨʰiøʔ˥$
屉	tʰi˧˥$
届	ka˧˥$
屋	oʔ˥$
屌	tiɔ˦$
屍	sɿ˥˧$
屏	bin˧˩$
屐	ʥiɪʔ˨$
屑	siɪʔ˥$
展	ʦø˦$
屜	tʰi˧˥$
属	zoʔ˨$
屠	du˧˩$
層	zən˧˩$
屬	zoʔ˨$
山	sɛ˥˧$
岁	sɛ˧˥$
岔	ʦʰo˥˧$
岖	ʨʰy˥˧$
岗	kɑ̃˥˧$
岛	tɔ˦$
岡	kɑ̃˥˧$
岣	ʨy˥˧$
岩	ŋø˧˩$
岭	lin˩˧$
岳	ŋoʔ˨$
岸	ŋø˩˧$
峨	ŋu˧˩$
島	tɔ˦$
崇	zoŋ˧˩$
崔	ʦʰɛ˥˧$
崖	ŋa˩˧$
崗	kɑ̃˥˧$
崩	pən˥˧$
嵇	ji˧˩$
嵌	kʰɛ˧˥$
嵩	soŋ˥˧$
嶇	ʨʰy˥˧$
嶷	ȵi˧˩$
嶺	lin˩˧$
嶽	ŋoʔ˨$
州	ʦɤ˥˧$
巡	zin˧˩$
巢	ziɔ˧˩$
工	koŋ˥˧$
左	ʦu˦$
巧	ʨʰiɔ˧˥$
巨	ʥy˩˧$
巩	koŋ˦$
差	ʦʰa˥˧$
己	ʨi˧˥$
巳	zɿ˩˧$
巴	bo˧˩$
巵	ʦɿ˥˧$
巾	ʨin˥˧$
币	bi˩˧$
市	zɿ˩˧$
布	pu˧˥$
帅	sɛ˧˥$
帆	vɛ˧˩$
师	sɿ˥˧$
希	ɕi˥˧$
帐	ʦɛ̃˧˥$
帖	tʰiɪʔ˥$
帘	liɪ˧˩$
帚	ʦɤ˦$
帛	baʔ˨$
帝	ti˧˥$
帥	sɛ˧˥$
带	ta˧˥$
師	sɿ˥˧$
席	ziɪʔ˨$
帮	poŋ˥˧$
帱	dɔ˩˧$
帳	ʦɛ̃˧˥$
帶	ta˧˥$
帽	mɔ˩˧$
幅	foʔ˥$
幣	bi˩˧$
幫	poŋ˥˧$
幬	dɔ˩˧$
干	kø˥˧$
平	bin˧˩$
并	bin˩˧$
幸	jin˩˧$
幹	kø˥˧$
幻	ʋɛ˧˥$
幼	iɤ˧˥$
幽	iɤ˥˧$
幾	ʨi˦$
广	kuɑ̃˦$
庄	ʦɑ̃˥˧$
庆	ʨʰin˧˥$
庇	pi˧˥$
床	zɑ̃˧˩$
庐	lu˧˩$
库	kʰu˧˥$
应	in˧˥$
底	ti˦$
店	tiɪ˧˥$
庙	miɔ˩˧$
庚	kɛ̃˥˧$
府	fu˦$
庞	bɛ̃˧˩$
废	fi˧˥$
度	du˩˧$
座	zu˩˧$
庫	kʰu˧˥$
庭	din˧˩$
庵	ø˥˧$
康	kʰɑ̃˥˧$
庸	jioŋ˧˩$
廁	ʦʰɿ˧˥$
廂	siɛ̃˥˧$
廈	ia˧˥$
廉	liɪ˧˩$
廊	lɑ̃˧˩$
廓	kʰoʔ˥$
廖	liɔ˩˧$
廚	zʮ˧˩$
廟	miɔ˩˧$
廠	ʦʰɛ̃˧˥$
廢	fi˧˥$
廣	kuɑ̃˦$
廬	lu˧˩$
廳	tʰin˥˧$
廷	din˧˩$
建	ʨiɪ˧˥$
廿	ȵia˩˧$
开	kʰɛ˥˧$
异	ji˩˧$
弃	ʨʰi˧˥$
弄	loŋ˧˥$
弊	bi˩˧$
式	səʔ˥$
弑	sɿ˧˥$
弓	koŋ˥˧$
引	jin˩˧$
