叛	bɤ˨˦$
叟	sei˧˦$
叠	diəʔ˨$
叢	zoŋ˨˩˧$
口	kʰei˧˦$
古	ku˧˦$
句	ʨy˦˨˧$
另	lin˨˦$
叨	tʰaɤ˥$
叩	kʰei˦˨˧$
只	ʦəʔ˥$
叫	ʨiaɤ˦˨˧$
召	zaɤ˨˦$
叭	pa˥$
叮	tin˥$
可	kʰɤɯ˧˦$
台	dæi˨˩˧$
史	sɿ˧˦$
右	ɦiɤɯ˨˦$
叶	ɦiəʔ˨$
号	ɦaɤ˨˦$
司	sɿ˥$
叹	tʰɛ˦˨˧$
叼	tiaɤ˥$
叽	ʨi˥$
吃	ʨʰiəʔ˥$
各	kɔʔ˥$
吆	iaɤ˥$
合	kəʔ˥$
吉	ʨiəʔ˥$
吊	tiaɤ˦˨˧$
同	doŋ˨˩˧$
名	min˨˩˧$
后	ɦei˨˦$
吐	tʰu˧˦$
向	ɕiaŋ˦˨˧$
吓	haʔ˥$
吕	ly˧˦$
吗	ma˥$
君	ʨyən˥$
吞	tʰən˥$
吟	ɦin˨˩˧$
吠	vi˨˦$
否	fei˧˦$
吩	fən˥$
含	ɦɤ˨˩˧$
听	tʰin˧˦$
启	ʨʰi˧˦$
吱	ʦɿ˥$
吳	ɦu˨˩˧$
吴	ɦu˨˩˧$
吵	ʦʰaɤ˧˦$
吸	ɕiəʔ˥$
吹	ʦʰuæi˥$
吻	vən˨˦$
吼	hei˥$
呂	ly˧˦$
呆	tæi˥$
呈	ʣən˨˩˧$
告	kaɤ˦˨˧$
呐	nəʔ˨$
呒	m˧˦$
呕	ei˧˦$
员	ɦyɤ˨˩˧$
呛	ʦʰiaŋ˦˨˧$
呢	ȵi˨˩˧$
周	ʦei˥$
味	vi˨˦$
呼	hu˥$
命	min˨˦$
咂	ʦaʔ˥$
咆	baɤ˨˩˧$
和	ɦɤɯ˨˩˧$
咏	ioŋ˧˦$
咒	ʦei˦˨˧$
咕	ku˥$
咖	ka˥$
咚	toŋ˥$
咛	ȵin˨˩˧$
咧	liəʔ˨$
咨	ʦɿ˥$
咪	mi˥$
咬	ŋaɤ˧˦$
咳	kʰəʔ˥$
咸	ɦiɪ˨˩˧$
咽	iɪ˦˨˧$
哀	æi˥$
品	pʰin˧˦$
哄	hoŋ˥$
哇	ua˥$
哈	ha˥$
哉	ʦæi˥$
响	ɕiaŋ˧˦$
哑	ia˧˦$
哔	piəʔ˥$
哗	ɦo˨˩˧$
員	ɦyɤ˨˩˧$
哥	kɤɯ˥$
哨	saɤ˦˨˧$
哪	na˨˩˧$
哭	kʰɔʔ˥$
哮	ɕiaɤ˦˨˧$
哲	ʦəʔ˥$
哺	bu˨˦$
哼	hən˥$
哽	kən˧˦$
唇	zuən˨˩˧$
唐	daŋ˨˩˧$
唠	laɤ˨˩˧$
唤	huɤ˥$
唧	ʦiəʔ˥$
售	ʣei˨˦$
唯	vi˨˩˧$
唱	ʦʰaŋ˦˨˧$
唷	iɔʔ˥$
