㪕	ʨʰiɑʔ˥$
穄	ʦi˥˩$
穆	mɔʔ˧˦$
積	ʦiɪʔ˥$
穎	iŋ˧˧˦$
穗	ze˧˩$
穢	ue˥˩$
穩	uᴇŋ˧˧˦$
穴	ɦyʊʔ˧˦$
究	ʨiøʏ˦˧˧$
穷	ʥioŋ˨˨˧$
空	kʰoŋ˦˧˧$
穿	ʨʰyɯ̃˦˧˧$
突	dəʔ˧˦$
窄	ʦəʔ˥$
窍	ʨʰiɒ˥˩$
窑	ɦiɒ˨˨˧$
窖	kɒ˥˩$
窗	ʨʰyɑŋ˦˧˧$
窘	ʨioŋ˧˧˦$
窜	ʦʰɯ̃˥˩$
窝	ʌɤ˦˧˧$
窟	kʰuəʔ˥$
窠	kʰʌɤ˦˧˧$
窥	kʰue˦˧˧$
窩	ʌɤ˦˧˧$
窪	uɑ˦˧˧$
窮	ʥioŋ˨˨˧$
窯	ɦiɒ˨˨˧$
窺	kʰue˦˧˧$
竄	ʦʰɯ̃˥˩$
竅	ʨʰiɒ˥˩$
立	liɪʔ˧˦$
竖	ʑy˧˩$
站	ʣæ̃˧˩$
竞	ʨiŋ˥˩$
竟	ʨiŋ˥˩$
章	ʨiæ̃˦˧˧$
童	doŋ˨˨˧$
端	tɯ̃˦˧˧$
競	ʨiŋ˥˩$
竹	ʨyɔʔ˥$
竿	kɯ̃˦˧˧$
笃	tɔʔ˥$
笋	sᴇŋ˧˧˦$
笑	siɒ˥˩$
笔	piɪʔ˥$
笙	sᴇŋ˦˧˧$
笛	diɪʔ˧˦$
笠	liɪʔ˧˦$
笡	ʦʰiɑ˥˩$
符	vu˨˨˧$
笨	bᴇŋ˧˩$
第	di˧˩$
笺	ʦiɪ̃˦˧˧$
笼	loŋ˨˨˧$
筆	piɪʔ˥$
等	tᴇŋ˧˧˦$
筋	ʨiŋ˦˧˧$
筍	sᴇŋ˧˧˦$
筏	vɑʔ˧˦$
筐	kʰuɑŋ˦˧˧$
筑	ʨyɔʔ˥$
筒	doŋ˨˨˧$
答	tɑʔ˥$
策	ʦʰəʔ˥$
筛	sæ˦˧˧$
筝	ʦᴇŋ˦˧˧$
筵	ɦiɪ̃˨˨˧$
筷	kʰuæ̃˥˩$
筹	ʥiøʏ˨˨˧$
签	ʦʰiɪ̃˦˧˧$
简	kæ̃˧˧˦$
箅	pi˥˩$
箋	ʦiɪ̃˦˧˧$
箍	ku˦˧˧$
箏	ʦᴇŋ˦˧˧$
算	sɯ̃˥˩$
管	kɯ̃˧˧˦$
箩	lʌɤ˨˨˧$
箫	siɒ˦˧˧$
箭	ʦiɪ̃˥˩$
箱	siɪ̃˦˧˧$
箸	ʨy˥˩$
節	ʦiɪʔ˥$
範	væ̃˧˩$
篆	ʥyɯ̃˧˩$
篇	pʰiɪ̃˦˧˧$
築	ʨyɔʔ˥$
篓	løʏ˧˧˦$
篙	kɒ˦˧˧$
篡	ʦʰɯ̃˥˩$
篤	tɔʔ˥$
篦	bi˧˩$
篩	sæ˦˧˧$
篮	læ̃˨˨˧$
篱	li˨˨˧$
篷	boŋ˨˨˧$
簍	løʏ˧˧˦$
簡	kæ̃˧˧˦$
簧	ɦuɑŋ˨˨˧$
簪	ʦɯ̃˦˧˧$
簫	siɒ˦˧˧$
簰	bæ˨˨˧$
簷	ɦiɪ̃˨˨˧$
簸	pʌɤ˦˧˧$
簽	ʦʰiɪ̃˦˧˧$
簾	liɪ̃˨˨˧$
簿	bu˧˩$
籃	læ̃˨˨˧$
籌	ʥiøʏ˨˨˧$
籍	ziɪʔ˧˦$
籖	ʦʰiɪ̃˦˧˧$
籠	loŋ˨˨˧$
籬	li˨˨˧$
籮	lʌɤ˨˨˧$
籲	y˥˩$
米	mi˧˧˦$
籴	diɪʔ˧˦$
类	le˧˩$
粉	fᴇŋ˧˧˦$
粒	liɪʔ˧˦$
粗	ʦʰu˦˧˧$
粘	ʨyɯ̃˦˧˧$
粜	tʰiɒ˥˩$
粟	sɔʔ˥$
粤	ɦyʊʔ˧˦$
粥	ʨyɔʔ˥$
粪	fᴇŋ˥˩$
粮	liɪ̃˨˨˧$
粱	liɪ̃˨˨˧$
粳	kᴇŋ˧˧˦$
粵	ɦyʊʔ˧˦$
粹	ʦʰe˥˩$
粽	ʦoŋ˥˩$
精	ʦiŋ˦˧˧$
糍	zɿ˨˨˧$
糕	kɒ˦˧˧$
糖	dɑŋ˨˨˧$
糙	ʦʰɒ˥˩$
糜	mi˨˨˧$
糞	fᴇŋ˥˩$
糟	ʦɒ˦˧˧$
糠	kʰɑŋ˦˧˧$
糧	liɪ̃˨˨˧$
糯	nʌɤ˧˩$
糰	dɯ̃˨˨˧$
糴	diɪʔ˧˦$
糶	tʰiɒ˥˩$
系	ɦi˧˩$
糾	ʨiøʏ˦˧˧$
紀	ʨi˧˧˦$
紂	ʥiøʏ˧˩$
約	iɑʔ˥$
紅	ɦoŋ˨˨˧$
紉	ʑiᴇŋ˧˩$
紋	vᴇŋ˨˨˧$
納	nɑʔ˧˦$
紐	ŋøʏ˨˨˧$
純	ʑyᴇŋ˨˨˧$
紗	so˦˧˧$
紙	ʦɿ˧˧˦$
級	ʨiɪʔ˥$
紛	fᴇŋ˦˧˧$
素	su˥˩$
紡	fɑŋ˧˧˦$
索	sɔʔ˥$
紧	ʨiŋ˧˧˦$
紫	ʦɿ˧˧˦$
紮	ʦɑʔ˥$
累	le˧˧˦$
細	si˥˩$
紹	ʑiɒ˨˨˧$
終	ʨioŋ˦˧˧$
組	ʦu˧˧˦$
絆	pæ̃˥˩$
結	ʨiɪʔ˥$
絕	ziɪʔ˧˦$
絞	kɒ˧˧˦$
絡	lɔʔ˧˦$
給	ʨiɪʔ˥$
絨	ȵioŋ˨˧˧$
絮	si˥˩$
統	tʰoŋ˧˧˦$
絲	sɿ˦˧˧$
絹	ʨyɯ̃˥˩$
綁	pɑŋ˧˧˦$
綏	se˥˩$
經	ʨiŋ˦˧˧$
綜	ʦoŋ˦˧˧$
綠	lɔʔ˧˦$
綢	ʥiøʏ˨˨˧$
維	vi˨˨˧$
綱	kɑŋ˦˧˧$
網	mɑŋ˧˧˦$
綴	ʦe˥˩$
綻	ʣæ̃˧˩$
綽	ʨʰyɔʔ˥$
綿	miɪ̃˨˨˧$
緊	ʨiŋ˧˧˦$
緒	zi˧˩$
線	siɪ̃˥˩$
緝	ʦʰiɪʔ˥$
緞	dɯ̃˧˩$
緣	ɦyɯ̃˨˨˧$
編	piɪ̃˦˧˧$
緩	ɯ̃˧˧˦$
緬	miɪ̃˧˧˦$
緯	ue˧˧˦$
練	liɪ̃˧˩$
縊	i˥˩$
縐	ʦiøʏ˥˩$
縛	vɔʔ˧˦$
縣	yɯ̃˧˩$
縫	voŋ˨˨˧$
縮	sɔʔ˥$
縱	ʦoŋ˥˩$
縷	ly˧˧˦$
總	ʦoŋ˧˧˦$
績	ʦiɪʔ˥$
繁	væ̃˨˨˧$
織	ʨiɘʔ˥$
繞	ȵiɒ˧˧˦$
繡	siøʏ˥˩$
繩	ʑiᴇŋ˨˨˧$
繪	ɦue˧˩$
繫	ʨi˥˩$
繭	ʨiɪ̃˧˧˦$
繰	ʦʰiɒ˦˧˧$
繳	ʨiɒ˧˧˦$
繼	ʨi˥˩$
纂	ʦɯ̃˧˧˦$
續	zɔʔ˧˦$
纏	ʥyɯ̃˨˨˧$
纓	iŋ˦˧˧$
纔	zæ˨˨˧$
纜	læ̃˧˧˦$
纠	ʨiøʏ˦˧˧$
红	ɦoŋ˨˨˧$
纣	ʥiøʏ˧˩$
约	iɑʔ˥$
级	ʨiɪʔ˥$
纪	ʨi˧˧˦$
纫	ʑiᴇŋ˧˩$
纬	ue˧˧˦$
纯	ʑyᴇŋ˨˨˧$
纱	so˦˧˧$
纲	kɑŋ˦˧˧$
纳	nɑʔ˧˦$
纵	ʦoŋ˥˩$
纷	fᴇŋ˦˧˧$
纸	ʦɿ˧˧˦$
纹	vᴇŋ˨˨˧$
纺	fɑŋ˧˧˦$
纽	ŋøʏ˨˨˧$
线	siɪ̃˥˩$
练	liɪ̃˧˩$
组	ʦu˧˧˦$
细	si˥˩$
织	ʨiɘʔ˥$
终	ʨioŋ˦˧˧$
绉	ʦiøʏ˥˩$
绊	pæ̃˥˩$
绍	ʑiɒ˨˨˧$
经	ʨiŋ˦˧˧$
绑	pɑŋ˧˧˦$
绒	ȵioŋ˨˧˧$
结	ʨiɪʔ˥$
绕	ȵiɒ˧˧˦$
绘	ɦue˧˩$
给	ʨiɪʔ˥$
络	lɔʔ˧˦$
绝	ziɪʔ˧˦$
绞	kɒ˧˧˦$
统	tʰoŋ˧˧˦$
绢	ʨyɯ̃˥˩$
绣	siøʏ˥˩$
绥	se˥˩$
继	ʨi˥˩$
绩	ʦiɪʔ˥$
绪	zi˧˩$
续	zɔʔ˧˦$
绰	ʨʰyɔʔ˥$
绳	ʑiᴇŋ˨˨˧$
维	vi˨˨˧$
绵	miɪ̃˨˨˧$
绸	ʥiøʏ˨˨˧$
综	ʦoŋ˦˧˧$
绽	ʣæ̃˧˩$
绿	lɔʔ˧˦$
缀	ʦe˥˩$
缅	miɪ̃˧˧˦$
缆	læ̃˧˧˦$
缉	ʦʰiɪʔ˥$
缎	dɯ̃˧˩$
缓	ɯ̃˧˧˦$
缕	ly˧˧˦$
编	piɪ̃˦˧˧$
缘	ɦyɯ̃˨˨˧$
缚	vɔʔ˧˦$
缝	voŋ˨˨˧$
缠	ʥyɯ̃˨˨˧$
缢	i˥˩$
缨	iŋ˦˧˧$
缩	sɔʔ˥$
缰	ʨiɪ̃˦˧˧$
缲	ʦʰiɒ˦˧˧$
缴	ʨiɒ˧˧˦$
缸	kɑŋ˦˧˧$
缺	ʨʰyʊʔ˥$
缽	pʊʔ˥$
罐	kɯ̃˥˩$
网	mɑŋ˧˧˦$
罕	hɯ̃˧˧˦$
罗	lʌɤ˨˨˧$
罚	vɑʔ˧˦$
罢	bæ˧˩$
罩	ʦɒ˥˩$
罪	ze˧˩$
置	ʦɿ˥˩$
罰	vɑʔ˧˦$
署	ʑy˧˩$
罵	mo˧˩$
罷	bæ˧˩$
羅	lʌɤ˨˨˧$
羊	ɦiɪ̃˨˨˧$
羌	ʨʰiɪ̃˦˧˧$
美	me˧˧˦$
羔	kɒ˦˧˧$
羞	siøʏ˦˧˧$
羡	ziɪ̃˧˩$
群	ʥyŋ˨˨˧$
羨	ziɪ̃˧˩$
義	i˥˩$
羹	kᴇŋ˦˧˧$
羽	y˧˧˦$
翁	oŋ˦˧˧$
翅	ʦʰɿ˥˩$
翎	liŋ˨˨˧$
習	ziɪʔ˧˦$
翠	ʦʰe˥˩$
翡	fi˧˧˦$
翰	ɦɯ̃˨˨˧$
翳	i˥˩$
翻	fæ̃˦˧˧$
翼	ɦiɪʔ˧˦$
耀	ɦiɒ˧˩$
老	lɒ˧˧˦$
考	kʰɒ˧˧˦$
者	ʨiɑ˧˧˦$
而	ɦɚ˨˨˧$
耐	næ˧˩$
耕	kᴇŋ˦˧˧$
耗	ɦɒ˧˩$
耙	bo˨˨˧$
耧	løʏ˨˨˧$
耬	løʏ˨˨˧$
耳	ɚ˧˧˦$
耶	iæ˦˧˧$
耻	ʦʰɿ˧˧˦$
耿	kᴇŋ˧˧˦$
聂	ȵiɪʔ˧˦$
聊	liɒ˨˨˧$
聋	loŋ˨˨˧$
职	ʥiɘʔ˧˦$
聒	kuɑʔ˥$
联	liɪ̃˨˨˧$
聖	ɕiᴇŋ˥˩$
聘	pʰiŋ˥˩$
聚	zi˧˩$
聞	mᴇŋ˨˨˧$
聪	ʦʰoŋ˦˧˧$
聯	liɪ̃˨˨˧$
聰	ʦʰoŋ˦˧˧$
聲	ɕiᴇŋ˦˧˧$
聶	ȵiɪʔ˧˦$
職	ʥiɘʔ˧˦$
聽	tʰiŋ˥˩$
聾	loŋ˨˨˧$
肃	sɔʔ˥$
肄	ɦi˧˩$
肅	sɔʔ˥$
肆	sɿ˥˩$
肉	ȵyɔʔ˧˦$
肋	ləʔ˧˦$
肌	ʨi˦˧˧$
肘	ʨiøʏ˧˧˦$
肚	du˧˩$
肝	kɯ̃˦˧˧$
肠	ʥiæ̃˨˨˧$
股	ku˧˧˦$
肢	ʦɿ˦˧˧$
肤	fu˦˧˧$
肥	bi˨˨˧$
肨	pʰɑŋ˦˧˧$
肩	ʨiɪ̃˦˧˧$
肪	fɑŋ˦˧˧$
肫	ʨyŋ˦˧˧$
肮	ɑŋ˦˧˧$
肯	kʰᴇŋ˧˧˦$
育	ɦyɔʔ˧˦$
肴	ɦɒ˨˨˧$
肺	fi˥˩$
肾	ʑiᴇŋ˧˩$
肿	ʨioŋ˧˧˦$
胀	ʨiæ̃˥˩$
胁	ɕiɪʔ˥$
胃	ɦue˧˩$
胆	tæ̃˧˧˦$
背	be˧˩$
胎	tʰæ˦˧˧$
胖	pʰɑŋ˥˩$
胚	pʰe˦˧˧$
胛	ʨiɑʔ˥$
胜	ɕiᴇŋ˥˩$
胞	pɒ˦˧˧$
胡	ɦu˨˨˧$
胳	kɑʔ˥$
胶	kɒ˦˧˧$
胸	ɕioŋ˦˧˧$
能	nᴇŋ˨˨˧$
脂	ʦɿ˦˧˧$
脅	ɕiɪʔ˥$
脆	ʦʰe˥˩$
脈	mɔʔ˧˦$
脉	mɔʔ˧˦$
脊	ʦiɪʔ˥$
脏	zɑŋ˧˩$
脐	zi˨˨˧$
脑	nɒ˧˧˦$
脓	noŋ˨˨˧$
脚	ʨiɑʔ˥$
脫	tʰəʔ˥$
脯	bu˨˨˧$
脱	tʰəʔ˥$
脶	lʌɤ˨˨˧$
脸	liɪ̃˧˧˦$
脹	ʨiæ̃˥˩$
脾	bi˨˨˧$
腆	tʰiɪ̃˧˧˦$
腊	lɑʔ˧˦$
腋	ɦiɪʔ˧˦$
腌	iɪ̃˦˧˧$
腎	ʑiᴇŋ˧˩$
腐	fu˧˧˦$
腑	fu˧˧˦$
腔	ʨʰiɪ̃˦˧˧$
腕	ɯ̃˥˩$
腡	lʌɤ˨˨˧$
腥	siŋ˦˧˧$
腦	nɒ˧˧˦$
腫	ʨioŋ˧˧˦$
腮	sæ˦˧˧$
腰	iɒ˦˧˧$
腱	ʥiɪ̃˧˩$
腳	ʨiɑʔ˥$
腸	ʥiæ̃˨˨˧$
腹	fɔʔ˥$
腻	ȵi˧˩$
腾	dᴇŋ˨˨˧$
腿	tʰe˧˧˦$
膏	kɒ˦˧˧$
膘	piɒ˦˧˧$
膚	fu˦˧˧$
膜	mɔʔ˧˦$
膝	siɪʔ˥$
膠	kɒ˦˧˧$
膨	bᴇŋ˨˨˧$
膩	ȵi˧˩$
膳	ʑyɯ̃˧˩$
膻	ɕyɯ̃˦˧˧$
膽	tæ̃˧˧˦$
膿	noŋ˨˨˧$
臀	dᴇŋ˨˨˧$
臂	piɪʔ˥$
臉	liɪ̃˧˧˦$
臊	sɒ˦˧˧$
臍	zi˨˨˧$
臘	lɑʔ˧˦$
臟	zɑŋ˧˩$
臣	ʥiᴇŋ˨˨˧$
臥	ŋʌɤ˧˩$
臨	liŋ˨˨˧$
自	zɿ˧˩$
臭	ʨʰiøʏ˥˩$
至	ʦɿ˥˩$
致	ʦɿ˥˩$
臺	dæ˨˨˧$
臻	ʨiᴇŋ˦˧˧$
臼	ʥiøʏ˧˩$
舀	iɒ˧˧˦$
舂	ʨʰioŋ˦˧˧$
舅	ʥiøʏ˧˩$
與	y˧˧˦$
興	ɕiŋ˦˧˧$
舉	ʨy˧˧˦$
舊	ʥiøʏ˧˩$
舌	ʑiɘʔ˧˦$
舍	ɕiæ˥˩$
舐	sɿ˧˩$
舒	ɕy˦˧˧$
舔	tʰiɪ̃˧˧˦$
舜	ɕyᴇŋ˥˩$
舞	fu˧˧˦$
舟	ʨiøʏ˦˧˧$
航	ɦɑŋ˨˨˧$
般	pɯ̃˦˧˧$
舰	kʰæ̃˥˩$
舵	dʌɤ˨˨˧$
船	ʑyɯ̃˨˨˧$
艇	tʰiŋ˧˧˦$
艦	kʰæ̃˥˩$
良	liɪ̃˨˨˧$
艰	kæ̃˦˧˧$
艱	kæ̃˦˧˧$
色	səʔ˥$
艳	iɪ̃˥˩$
艺	ȵi˧˩$
艾	ŋæ˧˩$
节	ʦiɪʔ˥$
芋	y˥˩$
芍	ʑiɑʔ˧˦$
芒	mɑŋ˨˨˧$
芙	vu˨˨˧$
芝	ʦɿ˦˧˧$
芥	kæ˥˩$
芦	lu˨˨˧$
芬	fᴇŋ˦˧˧$
芭	pɑ˦˧˧$
芮	ʑye˧˩$
花	ho˦˧˧$
芳	fɑŋ˦˧˧$
芹	ʥiŋ˨˨˧$
芽	ŋo˨˨˧$
苇	ue˧˧˦$
苋	ɦæ̃˧˩$
苍	ʦʰɑŋ˦˧˧$
苎	ʥy˧˩$
苏	su˦˧˧$
苔	dæ˨˨˧$
苗	miɒ˨˨˧$
苟	køʏ˧˧˦$
若	ʑiɑʔ˧˦$
苦	kʰu˧˧˦$
苧	ʥy˧˩$
英	iŋ˦˧˧$
茂	me˧˩$
范	væ̃˧˩$
茄	ʥiɑ˨˨˧$
茅	mɒ˨˨˧$
茎	ʨiŋ˦˧˧$
茔	ɦioŋ˨˨˧$
茧	ʨiɪ̃˧˧˦$
茫	mɑŋ˨˨˧$
茬	ʣo˨˨˧$
茲	ʦɿ˦˧˧$
茴	ɦue˨˨˧$
茶	do˨˨˧$
茸	ʑioŋ˨˨˧$
荀	ziŋ˨˨˧$
荆	ʨiŋ˦˧˧$
草	ʦʰɒ˧˧˦$
荊	ʨiŋ˦˧˧$
荐	ʦiɪ̃˥˩$
荒	huɑŋ˦˧˧$
荔	li˧˩$
荞	ʥiɒ˨˨˧$
荠	zi˨˨˧$
荡	dɑŋ˧˩$
荣	ɦioŋ˨˨˧$
荤	huᴇŋ˦˧˧$
荫	iŋ˦˧˧$
药	ɦiɑʔ˧˦$
荷	hʌɤ˥˩$
莊	ʨyɑŋ˦˧˧$
莎	sʌɤ˦˧˧$
莖	ʨiŋ˦˧˧$
莠	iøʏ˥˩$
莧	ɦæ̃˧˩$
莫	mɔʔ˧˦$
莲	liɪ̃˨˨˧$
获	ɦɔʔ˧˦$
莺	iŋ˦˧˧$
莼	ʑyᴇŋ˨˨˧$
莽	mɑŋ˧˧˦$
菊	ʨyɔʔ˥$
菌	ʨʰyŋ˦˧˧$
菖	ʨʰiæ̃˦˧˧$
菜	ʦʰæ˥˩$
菠	pu˦˧˧$
菢	bu˧˩$
菩	bu˨˨˧$
華	ɦo˨˨˧$
菱	liŋ˨˨˧$
萄	dɒ˨˨˧$
萌	moŋ˨˨˧$
萍	biŋ˨˨˧$
萎	ue˧˧˦$
萤	ɦiŋ˨˨˧$
营	ɦioŋ˨˨˧$
萧	siɒ˦˧˧$
萨	sɑʔ˥$
萬	væ̃˧˩$
落	lɑʔ˧˦$
葉	ɦiɪʔ˧˦$
著	ʨy˥˩$
葚	ʑiᴇŋ˧˩$
葛	kʊʔ˥$
董	toŋ˧˧˦$
葦	ue˧˧˦$
葫	ɦu˨˨˧$
葬	ʦɑŋ˥˩$
葱	ʦʰoŋ˦˧˧$
葵	gue˨˨˧$
葷	huᴇŋ˦˧˧$
蒋	ʦiɪ̃˧˧˦$
蒓	ʑyᴇŋ˨˨˧$
蒙	moŋ˨˨˧$
蒜	sɯ̃˥˩$
蒯	kʰuæ˧˧˦$
蒲	bu˨˨˧$
蒸	ʨiᴇŋ˦˧˧$
蒼	ʦʰɑŋ˦˧˧$
蒿	hɒ˦˧˧$
蓃	sʌɤ˦˧˧$
蓄	ɕyɔʔ˥$
蓉	ɦioŋ˨˨˧$
蓋	kæ˥˩$
蓑	sʌɤ˦˧˧$
蓖	pi˥˩$
蓝	læ̃˨˨˧$
蓬	boŋ˨˨˧$
蓮	liɪ̃˨˨˧$
蔑	miɪʔ˧˦$
蔓	væ̃˧˩$
蔗	ʨiɑ˦˧˧$
蔡	ʦʰæ˥˩$
蔣	ʦiɪ̃˧˧˦$
蔥	ʦʰoŋ˦˧˧$
蔫	iɪ̃˦˧˧$
蔬	sʌɤ˦˧˧$
蔭	iŋ˦˧˧$
蔼	æ˧˧˦$
蔽	pi˥˩$
蕉	ʦiɒ˦˧˧$
蕊	ɕye˧˧˦$
蕎	ʥiɒ˨˨˧$
蕩	dɑŋ˧˩$
蕭	siɒ˦˧˧$
薄	bɔʔ˧˦$
薅	hɒ˦˧˧$
薑	ʨiɪ̃˦˧˧$
薛	siɪʔ˥$
薦	ʦiɪ̃˥˩$
薩	sɑʔ˥$
薪	siŋ˦˧˧$
薯	ʑy˧˩$
薰	ɕyŋ˦˧˧$
薺	zi˨˨˧$
藉	ziɪʔ˧˦$
藍	læ̃˨˨˧$
藏	zɑŋ˨˨˧$
藐	miɒ˧˧˦$
藓	siɪ̃˧˧˦$
藕	ŋøʏ˧˧˦$
藝	ȵi˧˩$
藤	dᴇŋ˨˨˧$
藥	ɦiɑʔ˧˦$
藩	fæ̃˦˧˧$
藹	æ˧˧˦$
藿	hɔʔ˥$
蘆	lu˨˨˧$
蘇	su˦˧˧$
蘚	siɪ̃˧˧˦$
蘭	læ̃˨˨˧$
蘸	ʦæ̃˥˩$
虎	hu˧˧˦$
虏	lu˧˧˦$
虐	ȵiɑʔ˧˦$
虑	lu˧˩$
虔	ʥiɪ̃˨˨˧$
處	ʨʰy˧˧˦$
虚	ɕy˦˧˧$
虛	ɕy˦˧˧$
虜	lu˧˧˦$
虞	ɦy˨˨˧$
號	ɦɒ˨˨˧$
虢	kɔʔ˥$
虧	kʰue˦˧˧$
虫	ʥioŋ˨˨˧$
虱	səʔ˥$
虹	ɦoŋ˨˨˧$
虻	mɑŋ˨˨˧$
虽	se˦˧˧$
虾	ho˦˧˧$
蚀	ʑiɘʔ˧˦$
蚁	i˧˧˦$
蚊	mᴇŋ˨˨˧$
蚌	bɑŋ˧˩$
蚕	zɯ̃˨˨˧$
蚣	koŋ˦˧˧$
蚤	ʦɒ˧˧˦$
蚶	hɯ̃˦˧˧$
蛀	ʨy˥˩$
蛆	ʦʰi˦˧˧$
蛇	ʑiɑ˨˨˧$
蛋	dæ̃˧˩$
蛙	uɑ˦˧˧$
蛛	ʨy˦˧˧$
蛮	mæ̃˨˨˧$
蛰	ʨiɘʔ˥$
蛻	tʰe˥˩$
蛾	ŋʌɤ˨˨˧$
蜀	ʑyɔʔ˧˦$
蜂	foŋ˦˧˧$
蜇	ʨiɘʔ˥$
蜈	ɦu˨˨˧$
蜓	tiŋ˦˧˧$
蜕	tʰe˥˩$
蜘	ʦɿ˦˧˧$
蜜	miɪʔ˧˦$
蜡	lɑʔ˧˦$
蜻	siŋ˦˧˧$
蝇	ɦiŋ˨˨˧$
蝉	ʑyɯ̃˨˨˧$
蝎	ɕiɪʔ˥$
蝕	ʑiɘʔ˧˦$
蝗	ɦuɑŋ˨˨˧$
蝙	piɪ̃˦˧˧$
蝟	ɦue˧˩$
蝠	fɔʔ˥$
蝦	ho˦˧˧$
蝶	diɪʔ˧˦$
螂	lɑŋ˨˨˧$
螃	bɑŋ˨˨˧$
融	ɦioŋ˨˨˧$
螢	ɦiŋ˨˨˧$
螳	dɑŋ˨˨˧$
螺	lʌɤ˦˧˧$
蟀	siɪʔ˥$
蟄	ʨiɘʔ˥$
蟆	mɔʔ˧˦$
蟒	mɑŋ˧˧˦$
蟢	ɕi˧˧˦$
蟬	ʑyɯ̃˨˨˧$
蟲	ʥioŋ˨˨˧$
蟹	hæ˧˧˦$
蟻	i˧˧˦$
蟾	ʥyɯ̃˨˨˧$
蠅	ɦiŋ˨˨˧$
蠍	ɕiɪʔ˥$
蠓	moŋ˧˧˦$
蠚	hɔʔ˥$
蠟	lɑʔ˧˦$
蠢	ʨʰyᴇŋ˧˧˦$
蠶	zɯ̃˨˨˧$
蠻	mæ̃˨˨˧$
血	ɕyʊʔ˥$
衅	ɕiŋ˥˩$
行	ɦiŋ˨˨˧$
術	ʑyʊʔ˧˦$
衔	ɦæ̃˨˨˧$
街	kæ˦˧˧$
衙	ŋo˨˨˧$
衛	ɦue˧˩$
衝	ʨʰioŋ˦˧˧$
衡	ɦᴇŋ˨˨˧$
衣	i˦˧˧$
补	pu˧˧˦$
表	piɒ˧˧˦$
衫	sæ̃˦˧˧$
衬	ʦʰᴇŋ˥˩$
衰	ɕyæ˦˧˧$
袁	ɦyɯ̃˨˨˧$
袄	ɒ˧˧˦$
袋	dæ˧˩$
袍	bɒ˨˨˧$
袖	ziøʏ˧˩$
袜	mɑʔ˧˦$
被	bi˧˩$
袭	ziɪʔ˧˦$
裁	zæ˨˨˧$
裂	liɪʔ˧˦$
装	ʨyɑŋ˦˧˧$
裌	kɑʔ˥$
裏	li˧˧˦$
裕	y˥˩$
裙	ʥyŋ˨˨˧$
補	pu˧˧˦$
裝	ʨyɑŋ˦˧˧$
裤	kʰu˥˩$
裳	ʑiæ̃˨˨˧$
裴	bæ˨˨˧$
裸	lʌɤ˧˧˦$
裹	kʌɤ˧˧˦$
製	ʦɿ˥˩$
複	fɔʔ˥$
褒	pɒ˦˧˧$
褚	ʨʰy˧˧˦$
褥	ȵyɔʔ˧˦$
褪	tʰe˥˩$
褲	kʰu˥˩$
褶	ʨiɘʔ˥$
襄	siɪ̃˦˧˧$
襖	ɒ˧˧˦$
襟	ʨiŋ˦˧˧$
襪	mɑʔ˧˦$
襯	ʦʰᴇŋ˥˩$
襲	ziɪʔ˧˦$
襻	pʰæ̃˥˩$
西	si˦˧˧$
要	iɒ˦˧˧$
覆	fɔʔ˥$
見	ʨiɪ̃˥˩$
規	kue˦˧˧$
覓	miɪʔ˧˦$
視	zɿ˧˩$
親	ʦiŋ˥˩$
覺	kɒ˥˩$
覽	læ̃˧˧˦$
觀	kɯ̃˦˧˧$
见	ʨiɪ̃˥˩$
观	kɯ̃˦˧˧$
规	kue˦˧˧$
觅	miɪʔ˧˦$
视	zɿ˧˩$
览	læ̃˧˧˦$
觉	kɒ˥˩$
角	kɔʔ˥$
解	hæ˧˧˦$
触	ʨʰyɔʔ˥$
觸	ʨʰyɔʔ˥$
言	ɦiɪ̃˨˨˧$
訂	tiŋ˥˩$
訃	fu˥˩$
計	ʨi˥˩$
訊	siŋ˥˩$
討	tʰɒ˧˧˦$
訓	ɕyŋ˥˩$
訖	ʨʰiɪʔ˥$
託	tʰɔʔ˥$
記	ʨi˥˩$
訛	ŋʌɤ˨˨˧$
訟	zoŋ˧˩$
訣	ʨyʊʔ˥$
訪	fɑŋ˧˧˦$
設	ɕiɘʔ˥$
許	ɕy˧˧˦$
訴	su˥˩$
診	ʨiᴇŋ˧˧˦$
註	ʨy˥˩$
詐	ʦo˥˩$
詔	ʨiɒ˥˩$
評	biŋ˨˨˧$
詞	zɿ˨˨˧$
詠	ioŋ˧˧˦$
試	sɿ˥˩$
詩	sɿ˦˧˧$
詭	kue˧˧˦$
話	o˥˩$
該	kæ˦˧˧$
詳	ziɪ̃˨˨˧$
誅	ʨy˦˧˧$
誇	kʰo˦˧˧$
誉	y˥˩$
誊	dᴇŋ˨˨˧$
誌	ʦɿ˥˩$
認	ȵiŋ˧˩$
誓	zɿ˧˩$
誕	dæ̃˧˩$
誘	iøʏ˥˩$
語	y˧˧˦$
誠	ʥiᴇŋ˨˨˧$
誣	fu˧˧˦$
誤	ɦu˧˩$
誦	zoŋ˧˩$
說	ʨʰyʊʔ˥$
誰	ʑye˨˨˧$
課	kʰʌɤ˥˩$
誼	ȵi˨˨˧$
調	diɒ˨˨˧$
談	dæ̃˨˨˧$
請	ʦʰiŋ˧˧˦$
諒	liɪ̃˧˩$
論	lᴇŋ˨˨˧$
諜	diɪʔ˧˦$
諧	ɦiæ˨˨˧$
諫	ʨiɪ̃˥˩$
