㪕	ʨʰiɑʔ˥$
包	pɒ˦˧˧$
化	ho˥˩$
北	pɔʔ˥$
匙	zɿ˨˨˧$
匠	ziɪ̃˧˩$
匡	kʰuɑŋ˦˧˧$
匣	ɦɑʔ˧˦$
匪	fi˧˧˦$
匯	ɦue˧˩$
匹	pʰiɪʔ˥$
区	ʨʰy˦˧˧$
医	i˦˧˧$
匾	piɪ̃˧˧˦$
匿	ȵiɪʔ˧˦$
區	ʨʰy˦˧˧$
十	ʑiɘʔ˧˦$
千	ʦʰiɪ̃˦˧˧$
升	ɕiᴇŋ˦˧˧$
午	u˧˧˦$
半	pɯ̃˥˩$
华	ɦo˨˨˧$
协	ɦiɪʔ˧˦$
卑	pe˦˧˧$
卒	ʦiɪʔ˥$
卓	ʨyɔʔ˥$
協	ɦiɪʔ˧˦$
单	tæ̃˦˧˧$
卖	mæ˧˩$
南	nɯ̃˨˨˧$
博	pɔʔ˥$
卜	pɔʔ˥$
占	ʨyɯ̃˦˧˧$
卢	lu˨˨˧$
卤	lu˧˧˦$
卦	ko˥˩$
卧	ŋʌɤ˧˩$
卫	ɦue˧˩$
卯	mɒ˧˧˦$
印	iŋ˥˩$
危	ɦue˨˨˧$
即	ʦiɪʔ˥$
却	ʨʰiɑʔ˥$
卵	lɯ̃˧˧˦$
卷	ʨyɯ̃˧˧˦$
卸	siɑ˥˩$
卻	ʨʰiɑʔ˥$
卿	ʨʰiŋ˦˧˧$
厂	ʨʰiæ̃˧˧˦$
厅	tʰiŋ˦˧˧$
历	liɪʔ˧˦$
厉	li˧˩$
压	ɑʔ˥$
厌	iɪ̃˥˩$
厕	ʦʰəʔ˥$
厘	li˨˨˧$
厚	ɦøʏ˧˩$
原	ɦyɯ̃˨˨˧$
厢	siɪ̃˦˧˧$
厥	ʨyʊʔ˥$
厦	ɕiɑ˧˧˦$
厨	ʥy˨˨˧$
厭	iɪ̃˥˩$
厮	sɿ˦˧˧$
厲	li˧˩$
去	ʨʰi˥˩$
县	yɯ̃˧˩$
参	sᴇŋ˦˧˧$
參	sᴇŋ˦˧˧$
又	iøʏ˥˩$
叉	ʦʰɑ˦˧˧$
及	ʥiɪʔ˧˦$
友	iøʏ˧˧˦$
双	ɕyɑŋ˦˧˧$
反	fæ̃˧˧˦$
发	fɑʔ˥$
叔	ɕyɔʔ˥$
取	ʦʰu˧˧˦$
受	ʑiøʏ˧˩$
变	piɪ̃˥˩$
叙	zi˧˩$
叛	pʰɯ̃˥˩$
叟	sʌɤ˧˧˦$
叠	diɪʔ˧˦$
叢	zoŋ˨˨˧$
口	kʰøʏ˧˧˦$
古	ku˧˧˦$
句	ʨy˥˩$
另	liŋ˧˩$
叨	tɒ˦˧˧$
叩	kʰøʏ˥˩$
只	ʦəʔ˥$
叫	kɒ˥˩$
召	ʥiɒ˧˩$
可	kʰʌɤ˧˧˦$
台	tʰæ˦˧˧$
史	sɿ˧˧˦$
右	iøʏ˥˩$
叶	ɦiɪʔ˧˦$
号	ɦɒ˨˨˧$
司	sɿ˦˧˧$
叹	tʰæ̃˥˩$
吁	ɕy˦˧˧$
吃	ʨʰiɪʔ˥$
各	kɔʔ˥$
吆	iɒ˦˧˧$
合	kʊʔ˥$
吉	ʨiɪʔ˥$
吊	tiɒ˥˩$
同	doŋ˨˨˧$
名	miŋ˨˨˧$
后	ɦøʏ˧˩$
吏	li˧˩$
吐	tʰu˧˧˦$
向	ɕiɪ̃˥˩$
吓	həʔ˥$
吕	lu˧˧˦$
君	ʨyŋ˦˧˧$
吝	liŋ˧˩$
吞	tʰᴇŋ˦˧˧$
吟	ȵiŋ˨˨˧$
吠	vi˧˩$
否	fʌʏ˧˧˦$
含	ɦɯ̃˨˨˧$
听	tʰiŋ˥˩$
启	ʨʰi˧˧˦$
吳	ɦu˨˨˧$
吴	ɦu˨˨˧$
吵	ʦʰɒ˧˧˦$
吸	ɕiɪʔ˥$
吹	ʨʰye˦˧˧$
吻	uᴇŋ˧˧˦$
吼	høʏ˧˧˦$
吾	ɦu˨˨˧$
呂	lu˧˧˦$
呆	ŋæ˨˨˧$
呈	ʥiᴇŋ˨˨˧$
告	kɒ˥˩$
呕	øʏ˧˧˦$
员	ɦyɯ̃˨˨˧$
周	ʨiøʏ˦˧˧$
味	mi˧˩$
呼	hu˦˧˧$
命	miŋ˧˩$
和	ɦʌɤ˨˨˧$
咎	ʥiøʏ˧˩$
咏	ioŋ˧˧˦$
咒	ʨiøʏ˥˩$
咨	ʦɿ˦˧˧$
咬	ŋɒ˧˧˦$
咳	kʰəʔ˥$
咸	ɦæ̃˨˨˧$
咽	iɪ̃˥˩$
哀	æ˦˧˧$
品	pʰiŋ˧˧˦$
哄	hoŋ˧˧˦$
哈	hɑ˦˧˧$
哑	o˧˧˦$
哕	ʊʔ˥$
員	ɦyɯ̃˨˨˧$
哥	kʌɤ˦˧˧$
哪	lɑ˧˧˦$
哭	kʰɔʔ˥$
哲	ʨiɘʔ˥$
哽	kᴇŋ˧˧˦$
唇	ʑiᴇŋ˨˨˧$
唐	dɑŋ˨˨˧$
唠	lɒ˨˨˧$
唤	hɯ̃˥˩$
售	ʑiøʏ˧˩$
唯	vi˨˨˧$
唱	ʨʰiæ̃˥˩$
唾	tʰu˥˩$
啃	kʰᴇŋ˧˧˦$
啄	ʨyɔʔ˥$
商	ɕiæ̃˦˧˧$
問	mᴇŋ˧˩$
啞	o˧˧˦$
啟	ʨʰi˧˧˦$
啬	səʔ˥$
啰	lʌɤ˨˨˧$
啼	di˨˨˧$
喂	ɦue˧˩$
善	ʑyɯ̃˧˩$
喉	ɦøʏ˨˨˧$
