㞞	zəŋ˧$
鄉	ɕiᴀ̃˥˧˧$
鄧	dẽŋ˩˩˧$
鄭	ʣẽŋ˩˩˧$
鄰	liŋ˧$
配	pʰe˦˨˦$
酒	ʨiʊ˦˥˨$
酥	su˥˧˧$
酪	lɔʔ˨˧$
酬	ʥiʊ˧$
酱	ʨiᴀ̃˦˨˦$
酸	sɜ̃˥˧˧$
酿	ȵiᴀ̃˩˩˧$
醋	ʦʰu˦˨˦$
醒	ɕiŋ˦˥˨$
醜	ʨʰiʊ˦˥˨$
醫	i˥˧˧$
醬	ʨiᴀ̃˦˨˦$
釀	ȵiᴀ̃˩˩˧$
采	ʦʰᴇ˦˥˨$
释	ɕiʔ˥$
釋	ɕiʔ˥$
里	li˨˦˧$
重	ʣəŋ˨˦˧$
野	ɦiᴀ˨˦˧$
量	liᴀ̃˧$
金	ʨiŋ˥˧˧$
釘	tiŋ˦˨˦$
針	ʨiŋ˥˧˧$
釣	tiɔ˦˨˦$
鈔	ʦʰɒ˥˧˧$
鈣	kᴇ˦˨˦$
鈴	liŋ˧$
鈿	diɛ̃˧$
鉗	ʥiɛ̃˧$
鉛	kʰɛ̃˥˧˧$
鉤	ke˥˧˧$
銀	ȵiŋ˧$
銅	dəŋ˧$
銜	gɛ̃˧$
銮	lɜ̃˧$
銷	ɕiɔ˥˧˧$
銹	ɕiʊ˦˨˦$
鋒	fəŋ˥˧˧$
鋤	ʣu˧$
鋪	pʰu˦˨˦$
鋼	kɔ̃˥˧˧$
錢	ʥiɛ̃˧$
錯	ʦʰɯ˦˨˦$
録	lɤʔ˨˧$
鍍	du˩˩˧$
鍵	ʥiɛ̃˩˩˧$
鎖	sɯ˦˥˨$
鎮	ʦẽŋ˦˨˦$
鏟	ʦʰɛ̃˦˥˨$
鏡	ʨiŋ˦˨˦$
鐘	ʦəŋ˥˧˧$
鐮	liɛ̃˧$
鐵	tʰiɪʔ˥$
鑊	ɦɤʔ˨˧$
鑞	lɛʔ˨˧$
鑰	ɦiᴀʔ˨˧$
鑲	ɕiᴀ̃˥˧˧$
鑼	lɯ˧$
鑽	ʦɜ̃˦˨˦$
鑾	lɜ̃˧$
针	ʨiŋ˥˧˧$
钉	tiŋ˦˨˦$
钓	tiɔ˦˨˦$
钙	kᴇ˦˨˦$
钞	ʦʰɒ˥˧˧$
钟	ʦəŋ˥˧˧$
钢	kɔ̃˥˧˧$
钥	ɦiᴀʔ˨˧$
钦	ʨʰiŋ˥˧˧$
钩	ke˥˧˧$
钱	ʥiɛ̃˧$
钳	ʥiɛ̃˧$
钵	pəʔ˥$
钻	ʦɜ̃˦˨˦$
钿	diɛ̃˧$
铁	tʰiɪʔ˥$
铃	liŋ˧$
铅	kʰɛ̃˥˧˧$
铜	dəŋ˧$
铲	ʦʰɛ̃˦˥˨$
银	ȵiŋ˧$
铺	pʰu˦˨˦$
销	ɕiɔ˥˧˧$
锁	sɯ˦˥˨$
锄	ʣu˧$
锈	ɕiʊ˦˨˦$
锋	fəŋ˥˧˧$
错	ʦʰɯ˦˨˦$
锣	lɯ˧$
键	ʥiɛ̃˩˩˧$
镀	du˩˩˧$
镇	ʦẽŋ˦˨˦$
镜	ʨiŋ˦˨˦$
镬	ɦɤʔ˨˧$
镰	liɛ̃˧$
镶	ɕiᴀ̃˥˧˧$
長	ʣᴀ̃˧$
长	ʣᴀ̃˧$
門	mẽŋ˧$
閃	sɜ̃˦˥˨$
閉	pi˦˨˦$
開	kʰᴇ˥˧˧$
閏	ɦyoŋ˩˩˧$
閒	ɦiɛ̃˧$
間	kɛ̃˥˧˧$
閣	kɔʔ˥$
閥	vɛʔ˨˧$
閨	kue˥˧˧$
閩	miŋ˨˦˧$
閱	ɦyɪʔ˨˧$
閹	iɛ̃˥˧˧$
閻	ȵiɛ̃˧$
闊	kʰuəʔ˥$
闖	ʦʰɔ̃˦˥˨$
關	kuɛ̃˥˧˧$
闢	pʰiʔ˥$
门	mẽŋ˧$
闪	sɜ̃˦˥˨$
闭	pi˦˨˦$
问	mẽŋ˩˩˧$
闯	ʦʰɔ̃˦˥˨$
闰	ɦyoŋ˩˩˧$
闲	ɦiɛ̃˧$
间	kɛ̃˥˧˧$
闷	mẽŋ˩˩˧$
闹	nɒ˩˩˧$
闺	kue˥˧˧$
闻	mẽŋ˧$
闽	miŋ˨˦˧$
阀	vɛʔ˨˧$
阁	kɔʔ˥$
阄	ʨiʊ˥˧˧$
阅	ɦyɪʔ˨˧$
阉	iɛ̃˥˧˧$
阎	ȵiɛ̃˧$
阔	kʰuəʔ˥$
队	dᴇ˩˩˧$
防	bɔ̃˧$
阳	ɦiᴀ̃˧$
阴	iŋ˥˧˧$
阿	ɯ˥˧˧$
陀	dɯ˧$
附	vu˩˩˧$
际	ʨi˦˨˦$
陆	lɤʔ˨˧$
陈	ʣẽŋ˧$
陌	mᴀʔ˨˧$
降	kɔ̃˦˨˦$
限	ɦɛ̃˨˦˧$
院	ɦyɛ̃˩˩˧$
除	ʣɿ˧$
险	ɕiɛ̃˦˥˨$
陪	bᴇ˧$
陰	iŋ˥˧˧$
陳	ʣẽŋ˧$
陶	dɒ˧$
陷	ɦɛ̃˩˩˧$
陸	lɤʔ˨˧$
陽	ɦiᴀ̃˧$
隆	ləŋ˧$
隊	dᴇ˩˩˧$
随	ze˧$
隐	iŋ˦˥˨$
隑	gᴇ˩˩˧$
隔	kɛʔ˥$
際	ʨi˦˨˦$
隧	ze˩˩˧$
隨	ze˧$
險	ɕiɛ̃˦˥˨$
隱	iŋ˦˥˨$
难	nɛ̃˧$
雁	ɦiɛ̃˩˩˧$
雄	ɦyoŋ˧$
雅	iᴀ˦˥˨$
集	ʥiʔ˨˧$
雇	ku˦˨˦$
雌	ʦʰɿ˥˧˧$
雕	tiɔ˥˧˧$
雖	se˥˧˧$
雙	sɔ̃˥˧˧$
雜	zəʔ˨˧$
雞	ʨi˥˧˧$
離	li˧$
難	nɛ̃˧$
雨	ɦy˨˦˧$
雪	səʔ˥$
雲	ɦyoŋ˧$
零	liŋ˧$
雷	lᴇ˧$
電	diɛ̃˩˩˧$
雾	vu˩˩˧$
震	ʦẽŋ˦˨˦$
霉	me˧$
霍	hɔʔ˥$
霜	sɔ̃˥˧˧$
霞	ɦiᴀ˧$
霧	vu˩˩˧$
露	lu˩˩˧$
霸	pɔ˦˨˦$
靈	liŋ˧$
青	ʨʰiŋ˥˧˧$
静	ʥiŋ˨˦˧$
靜	ʥiŋ˨˦˧$
非	fi˥˧˧$
靠	kʰɒ˦˨˦$
面	miɛ̃˩˩˧$
革	kəʔ˥$
靴	ɕy˥˧˧$
鞋	ɦᴀ˧$
鞍	ɜ̃˥˧˧$
鞠	ʨyʔ˥$
鞭	piɛ̃˥˧˧$
韓	ɦɜ̃˧$
韩	ɦɜ̃˧$
韭	ʨiʊ˦˥˨$
音	iŋ˥˧˧$
韵	ɦyoŋ˩˩˧$
韻	ɦyoŋ˩˩˧$
響	ɕiᴀ̃˦˥˨$
頁	ɦiɪʔ˨˧$
頂	tiŋ˦˥˨$
項	ɦɔ̃˩˩˧$
順	zẽŋ˩˩˧$
頌	ʣəŋ˩˩˧$
預	ɦy˩˩˧$
頒	pɛ̃˥˧˧$
頓	tẽŋ˦˨˦$
頗	pʰɯ˥˧˧$
領	liŋ˨˦˧$
頭	de˧$
頸	ʨiŋ˦˥˨$
頻	biŋ˧$
顆	kʰɯ˥˧˧$
題	di˧$
額	ŋᴀʔ˨˧$
顎	ŋɔʔ˨˧$
顏	ŋɛ̃˧$
願	ȵyɛ̃˩˩˧$
顛	tiɛ̃˥˧˧$
顧	ku˦˨˦$
顯	ɕiɛ̃˦˥˨$
页	ɦiɪʔ˨˧$
顶	tiŋ˦˥˨$
项	ɦɔ̃˩˩˧$
顺	zẽŋ˩˩˧$
顾	ku˦˨˦$
顿	tẽŋ˦˨˦$
颁	pɛ̃˥˧˧$
颂	ʣəŋ˩˩˧$
预	ɦy˩˩˧$
领	liŋ˨˦˧$
颇	pʰɯ˥˧˧$
颈	ʨiŋ˦˥˨$
频	biŋ˧$
颗	kʰɯ˥˧˧$
题	di˧$
颚	ŋɔʔ˨˧$
颜	ŋɛ̃˧$
额	ŋᴀʔ˨˧$
颠	tiɛ̃˥˧˧$
風	fəŋ˥˧˧$
飄	pʰiɔ˥˧˧$
风	fəŋ˥˧˧$
飘	pʰiɔ˥˧˧$
飛	fi˥˧˧$
飞	fi˥˧˧$
食	ɦiʔ˨˧$
飢	ʨi˥˧˧$
飩	dẽŋ˧$
飯	vɛ̃˩˩˧$
飲	iŋ˦˥˨$
飼	zɿ˩˩˧$
飽	pɒ˦˥˨$
餃	ʨiɔ˦˥˨$
餅	piŋ˦˥˨$
養	iᴀ̃˦˥˨$
餐	ʦʰɛ̃˥˧˧$
餓	ŋɯ˩˩˧$
餘	ɦy˧$
餚	ɦiɔ˧$
館	kuɜ̃˦˥˨$
餵	uᴇ˦˨˦$
饒	ȵiɔ˧$
饞	ʣɛ̃˧$
饥	ʨi˥˧˧$
饨	dẽŋ˧$
饭	vɛ̃˩˩˧$
饮	iŋ˦˥˨$
饱	pɒ˦˥˨$
饲	zɿ˩˩˧$
饶	ȵiɔ˧$
饺	ʨiɔ˦˥˨$
饼	piŋ˦˥˨$
饿	ŋɯ˩˩˧$
馆	kuɜ̃˦˥˨$
馋	ʣɛ̃˧$
首	ɕiʊ˦˥˨$
香	ɕiᴀ̃˥˧˧$
馬	mɔ˨˦˧$
馮	vəŋ˧$
馱	dɯ˧$
駁	pɤʔ˥$
駕	kɔ˦˨˦$
駙	vu˩˩˧$
駛	sɿ˦˥˨$
駝	dɯ˧$
駱	lɔʔ˨˧$
騎	ʥi˧$
騙	pʰiɛ̃˦˨˦$
騾	lɯ˧$
驅	ʨʰy˥˧˧$
驕	ʨiɔ˥˧˧$
驗	ȵiɛ̃˩˩˧$
驚	ʨiŋ˥˧˧$
马	mɔ˨˦˧$
驮	dɯ˧$
驱	ʨʰy˥˧˧$
驳	pɤʔ˥$
驶	sɿ˦˥˨$
驸	vu˩˩˧$
驼	dɯ˧$
驾	kɔ˦˨˦$
骂	mɔ˩˩˧$
骄	ʨiɔ˥˧˧$
骆	lɔʔ˨˧$
验	ȵiɛ̃˩˩˧$
骑	ʥi˧$
骗	pʰiɛ̃˦˨˦$
骡	lɯ˧$
骨	kueʔ˥$
體	tʰi˦˥˨$
高	kɒ˥˧˧$
鬓	piŋ˥˧˧$
鬢	piŋ˥˧˧$
鬥	te˦˨˦$
鬧	nɒ˩˩˧$
鬮	ʨiʊ˥˧˧$
鬱	yʔ˥$
鬼	ʨy˦˥˨$
魚	ŋ̩˧$
魯	lu˧$
鮮	ɕiɛ̃˥˧˧$
鯉	li˧$
鯽	ʨiʔ˥$
鰓	sᴇ˥˧˧$
鰥	kuɛ̃˥˧˧$
鱉	piɪʔ˥$
鱟	he˦˨˦$
鱷	ŋɔʔ˨˧$
鱼	ŋ̩˧$
鲁	lu˧$
鲎	he˦˨˦$
鲜	ɕiɛ̃˥˧˧$
鲤	li˧$
鲫	ʨiʔ˥$
鳃	sᴇ˥˧˧$
鳄	ŋɔʔ˨˧$
鳏	kuɛ̃˥˧˧$
鳖	piɪʔ˥$
鳥	tiɔ˦˥˨$
鳩	ʨiʊ˥˧˧$
鳳	vəŋ˩˩˧$
鴉	iᴀ˥˧˧$
鴛	yɛ̃˥˧˧$
鴨	ɛʔ˥$
鴿	kəʔ˥$
鵑	ʨyɛ̃˦˥˨$
鵝	ŋɯ˧$
鵬	bᴀ̃˧$
鵲	ʨʰiᴀʔ˥$
鷹	iŋ˥˧˧$
鸚	ᴀ̃˥˧˧$
鸟	tiɔ˦˥˨$
鸠	ʨiʊ˥˧˧$
鸡	ʨi˥˧˧$
鸦	iᴀ˥˧˧$
鸭	ɛʔ˥$
鸳	yɛ̃˥˧˧$
鸽	kəʔ˥$
鹃	ʨyɛ̃˦˥˨$
鹅	ŋɯ˧$
鹊	ʨʰiᴀʔ˥$
鹏	bᴀ̃˧$
鹦	ᴀ̃˥˧˧$
鹰	iŋ˥˧˧$
鹵	lu˨˦˧$
鹽	ɦiɛ̃˧$
鹿	lɤʔ˨˧$
麗	li˩˩˧$
麥	mᴀʔ˨˧$
麦	mᴀʔ˨˧$
麻	mɔ˧$
黃	vɔ̃˧$
黄	vɔ̃˧$
黑	heʔ˥$
默	məʔ˨˧$
點	tiɛ̃˦˥˨$
黨	tɔ̃˦˥˨$
黴	me˧$
鼓	ku˦˥˨$
鼠	ʦʰɿ˦˥˨$
鼻	beʔ˨˧$
齆	əŋ˥˧˧$
齊	ʥi˧$
齋	ʦᴀ˥˧˧$
齐	ʥi˧$
齒	ʦʰɿ˦˥˨$
齿	ʦʰɿ˦˥˨$
龍	ləŋ˧$
龙	ləŋ˧$
龜	kue˥˧˧$
龟	kue˥˧˧$
