㞞	zəŋ˧$
塢	u˥˧˧$
填	diɛ̃˧$
塵	ʥiŋ˧$
境	ʨiŋ˦˥˨$
墊	diɛ̃˩˩˧$
墙	ɦiᴀ̃˧$
增	ʦẽŋ˥˧˧$
墨	məʔ˨˧$
墳	vẽŋ˧$
壁	piʔ˥$
壇	dɛ̃˧$
壓	ɛʔ˥$
壕	ɦɒ˧$
壘	le˨˦˧$
壞	vᴀ˩˩˧$
壩	pᴀ˦˨˦$
士	zɿ˨˦˧$
壮	ʦɔ̃˦˨˦$
壯	ʦɔ̃˦˨˦$
声	sẽŋ˥˧˧$
壳	kʰɔʔ˥$
壶	vu˧$
壺	vu˧$
壽	ɦiʊ˩˩˧$
处	ʦʰɿ˦˥˨$
备	be˩˩˧$
复	fɤʔ˥$
夏	ɦɔ˨˦˧$
外	ŋᴀ˩˩˧$
多	tɯ˥˧˧$
夜	ɦiᴀ˩˩˧$
够	ke˦˨˦$
夠	ke˦˨˦$
夢	mɔ̃˩˩˧$
夥	hɯ˦˥˨$
大	dɯ˩˩˧$
天	tʰiɛ̃˥˧˧$
太	tʰᴀ˦˨˦$
夫	fu˥˧˧$
央	iᴀ̃˥˧˧$
头	de˧$
夸	kʰɔ˥˧˧$
夹	kɛʔ˥$
夺	dəʔ˨˧$
夾	kɛʔ˥$
奂	fɜ̃˦˨˦$
奇	ʥi˧$
奉	vəŋ˨˦˧$
奋	fẽŋ˦˨˦$
奐	fɜ̃˦˨˦$
奔	pẽŋ˥˧˧$
奖	ʨiᴀ̃˦˥˨$
套	tʰɒ˦˨˦$
奥	ɒ˦˨˦$
奧	ɒ˦˨˦$
奪	dəʔ˨˧$
奮	fẽŋ˦˨˦$
女	nɛ̃˧$
奴	nu˧$
奶	nᴀ˨˦˧$
奸	kɛ̃˥˧˧$
好	hɒ˦˨˦$
如	zɿ˧$
妃	fi˥˧˧$
妇	vu˨˦˧$
妈	mᴀ̃˥˧˧$
妒	tu˦˨˦$
妖	iɔ˥˧˧$
妙	miɔ˨˦˧$
妥	tʰɯ˦˥˨$
妹	mᴇ˩˩˧$
妻	ʨʰi˥˧˧$
姆	m̩˨˦˧$
姊	ʦɿ˦˥˨$
始	sɿ˦˥˨$
姐	ʨiᴀ˦˥˨$
姑	ku˥˧˧$
姓	ɕiŋ˦˨˦$
委	ue˦˥˨$
姘	pʰiŋ˥˧˧$
姚	ɦiɔ˧$
姜	ʨiᴀ̃˥˧˧$
姦	kɛ̃˥˧˧$
姨	ɦi˧$
姻	iŋ˥˧˧$
姿	ʦɿ˥˧˧$
威	ue˥˧˧$
娇	ʨiɔ˥˧˧$
娘	ȵiᴀ̃˨˦˧$
娟	ʨyɛ̃˦˨˦$
婆	bɯ˧$
婚	fẽŋ˥˧˧$
婦	vu˨˦˧$
婶	ɕiŋ˦˥˨$
媒	mᴇ˧$
媽	mᴀ̃˥˧˧$
嫁	kɔ˦˨˦$
嫂	sɒ˦˥˨$
嫌	ɦɛ̃˧$
嫖	biɔ˧$
嫩	nẽŋ˩˩˧$
嬉	ɕi˥˧˧$
嬌	ʨiɔ˥˧˧$
嬸	ɕiŋ˦˥˨$
子	ʦɿ˦˥˨$
孔	kʰoŋ˦˥˨$
孕	ɦyoŋ˩˩˧$
字	zɿ˩˩˧$
存	ʣẽŋ˧$
孙	sẽŋ˥˧˧$
孟	mᴀ̃˧$
季	ʨi˦˨˦$
孤	ku˥˧˧$
学	ɦiᴀʔ˨˧$
孩	ɦᴇ˧$
孫	sẽŋ˥˧˧$
孵	fu˥˧˧$
學	ɦiᴀʔ˨˧$
孽	ȵiɪʔ˨˧$
宁	ȵiŋ˧$
宅	ʣᴀʔ˨˧$
守	ɕiʊ˦˥˨$
安	ɜ̃˥˧˧$
宋	səŋ˦˨˦$
完	vɜ̃˧$
宕	dɔ̃˩˩˧$
宗	ʦəŋ˥˧˧$
官	kuɜ̃˥˧˧$
定	diŋ˩˩˧$
宜	ɦi˧$
宝	pɒ˦˥˨$
实	zeʔ˨˧$
宠	ʦʰəŋ˦˥˨$
审	sẽŋ˦˥˨$
客	kʰɛʔ˥$
宣	sɜ̃˥˧˧$
室	seʔ˥$
宪	ɕiɛ̃˦˨˦$
宫	koŋ˥˧˧$
宮	koŋ˥˧˧$
宰	ʦᴇ˦˥˨$
害	ɦᴇ˩˩˧$
宵	ɕiɔ˥˧˧$
家	kɔ˥˧˧$
容	ɦyoŋ˧$
宽	kʰuɜ̃˥˧˧$
宾	piŋ˥˧˧$
宿	sɤʔ˥$
寄	ʨi˦˨˦$
密	miʔ˨˧$
富	fu˦˨˦$
寒	ɦɜ̃˧$
察	ʦʰᴀʔ˥$
實	zeʔ˨˧$
寧	ȵiŋ˧$
寨	zᴀ˩˩˧$
審	sẽŋ˦˥˨$
寫	ɕiᴀ˦˥˨$
寬	kʰuɜ̃˥˧˧$
寵	ʦʰəŋ˦˥˨$
寶	pɒ˦˥˨$
寸	ʦʰẽŋ˦˨˦$
对	tᴇ˦˨˦$
寺	zɿ˩˩˧$
导	dɒ˨˦˧$
寿	ɦiʊ˩˩˧$
封	fəŋ˥˧˧$
射	ʥiᴀ˩˩˧$
将	ʨiᴀ̃˦˨˦$
將	ʨiᴀ̃˦˨˦$
專	ʦɜ̃˥˧˧$
尊	ʦẽŋ˥˧˧$
對	tᴇ˦˨˦$
導	dɒ˨˦˧$
小	ɕiɔ˦˥˨$
少	sɒ˦˥˨$
尔	ŋ̩˨˦˧$
尖	ʨiɛ̃˥˧˧$
尘	ʥiŋ˧$
尚	zɔ̃˩˩˧$
尝	zɔ̃˧$
尬	kᴀ˦˨˦$
就	ʥiʊ˩˩˧$
尴	kɛ̃˥˧˧$
尷	kɛ̃˥˧˧$
尸	sɿ˥˧˧$
尺	ʦʰᴀʔ˥$
尼	ȵi˧$
尽	ʥiŋ˨˦˧$
尾	mi˩˩˧$
尿	ȵiɔ˩˩˧$
局	ʥyʔ˨˧$
屁	pʰi˦˨˦$
层	ʣẽŋ˧$
屄	pi˥˧˧$
居	ʨy˥˧˧$
屈	ʨʰyʔ˥$
屋	uʔ˥$
屍	sɿ˥˧˧$
屏	biŋ˧$
展	ʦɛ̃˦˥˨$
属	zɤʔ˨˧$
層	ʣẽŋ˧$
屬	zɤʔ˨˧$
山	sɛ̃˥˧˧$
岁	se˦˨˦$
岔	ʦʰɔ˦˨˦$
岗	kɔ̃˥˧˧$
岙	ɒ˦˨˦$
岛	tɒ˦˥˨$
岩	ŋɛ̃˧$
岳	ŋɔʔ˨˧$
岷	miŋ˧$
岸	ŋɜ̃˩˩˧$
峦	lɜ̃˧$
峨	ŋɯ˧$
峰	fəŋ˥˧˧$
島	tɒ˦˥˨$
崇	ʣəŋ˧$
崔	ʦʰe˥˧˧$
崗	kɔ̃˥˧˧$
嵊	zẽŋ˩˩˧$
嵌	kʰɛ̃˦˨˦$
嵩	səŋ˥˧˧$
嶴	ɒ˦˨˦$
巒	lɜ̃˧$
川	ʦʰɜ̃˥˧˧$
州	ʨiʊ˥˧˧$
工	koŋ˥˧˧$
左	ʦɯ˦˥˨$
巧	ʨʰiɔ˦˥˨$
巨	ʥy˨˦˧$
差	ʦʰɔ˥˧˧$
己	ʨi˦˥˨$
巴	bɔ˧$
巷	ɦiᴀ̃˩˩˧$
巾	ʨiŋ˥˧˧$
币	bi˩˩˧$
市	zɿ˨˦˧$
布	pu˦˨˦$
帅	sᴀ˦˨˦$
师	sɿ˥˧˧$
希	ɕi˥˧˧$
帐	ʦᴀ̃˦˨˦$
帕	pʰᴀʔ˥$
帖	tʰiɪʔ˥$
帘	liɛ̃˧$
帚	ʨiʊ˦˥˨$
帝	ti˦˨˦$
帥	sᴀ˦˨˦$
带	tᴀ˦˨˦$
師	sɿ˥˧˧$
席	ɦiʔ˨˧$
帮	pɔ̃˥˧˧$
帳	ʦᴀ̃˦˨˦$
帶	tᴀ˦˨˦$
常	ʣᴀ̃˧$
帽	mɒ˩˩˧$
幣	bi˩˩˧$
幫	pɔ̃˥˧˧$
干	kɜ̃˥˧˧$
平	biŋ˧$
年	ȵiɛ̃˧$
并	biŋ˨˦˧$
幹	kɜ̃˥˧˧$
幼	iʊ˥˧˧$
幾	ʨi˦˥˨$
广	kɔ̃˦˥˨$
庆	ʨʰiŋ˦˨˦$
床	zɔ̃˧$
庐	lu˧$
库	kʰu˦˨˦$
应	iŋ˦˨˦$
底	ti˦˥˨$
店	tiɛ̃˦˨˦$
庙	miɔ˩˩˧$
府	fu˦˥˨$
废	fi˦˨˦$
度	du˩˩˧$
座	zɯ˨˦˧$
庫	kʰu˦˨˦$
庭	diŋ˧$
庵	ɜ̃˥˧˧$
康	kʰɔ̃˥˧˧$
廂	ɕiᴀ̃˥˧˧$
廈	sᴀ˦˨˦$
廉	liɛ̃˧$
廊	lɔ̃˧$
廚	ʣɿ˧$
廟	miɔ˩˩˧$
廠	ʦʰᴀ̃˦˥˨$
廢	fi˦˨˦$
廣	kɔ̃˦˥˨$
廬	lu˧$
廳	tʰiŋ˥˧˧$
延	ɦiɛ̃˧$
建	ʨiɛ̃˦˨˦$
廿	ȵiɛ̃˩˩˧$
开	kʰᴇ˥˧˧$
异	ɦi˧$
弃	ʨʰi˦˨˦$
弄	ləŋ˩˩˧$
式	seʔ˥$
弓	koŋ˥˧˧$
引	ɦiŋ˨˦˧$
弗	feʔ˥$
弟	di˨˦˧$
张	ʦᴀ̃˥˧˧$
弯	uɛ̃˥˧˧$
張	ʦᴀ̃˥˧˧$
強	ʥiᴀ̃˧$
弹	dɛ̃˧$
