㑃	æ˥˨˧
陉	ɦin˨˨˧
陋	løʏ˨˧˩
陌	mɑʔ˨˧
降	kɑ̃˥˨˧
限	ɦi˨˧˩
陕	sø˥˩
陘	ɦin˨˨˧
陛	biⱼ˨˧˩
陝	sø˥˩
陞	sən˦
陡	tøʏ˥˩
院	ɦiø˨˧˩
陣	zən˨˧˩
陣頭	zən˧˩ dʏ
陣頭雨	zən˧˩ dʏ˧ ɦy˨˩
陣頭風	zən˨˨˧ dʏ˧ foŋ˨˩
除	zʮ˨˨˧
陨	yn˥˩
险	ɕi˥˩
险脚乎	ɕiɪ˥˩ ʨiɑʔ˨ əu˨˩
陪	bᴇ˨˨˧
陪夜	bᴇ˨˨˧ iɑ˧
陪嫁	bᴇ˨˨˧ kɑ˧
陪客	bᴇ˨˨˧ kʰɑʔ˨
陰	in˦
陰乾	in˥ kø˨˩
陰刁	in˥ tiæ˥
陰功積德	in˥ koŋ˧ ʦiəʔ˦˧ təʔ˦˧
陰各各	in˥ koʔ˨ koʔ˨
陰壽	in˥ zʏ˨˩
陰天	in˥ tʰiɪ˨˩
陰子天	in˥ ʦɿ˧ tʰiɪ˨˩
陰山背後	in˥ sᴇ˧ pᴇ˧ ɦʏ˨˩
陰差陽差	in˥ ʦʰo˧ ɦiã˧ ʦʰo˨˩
陰損	in˥ sən˨˩
陰文	in˥ vən˧
陰曆	in˥ liəʔ˨
陰毒傷寒	in˥ doʔ˨ sɑ̃˧ ɦø˨˩
陰溝	in˥ kʏ˨˩
陰癬	in˥ siɪ˥˩
陰間	in˥ kᴇ˨˩
陰間秀才	in˥ kᴇ˧ sʏ˧ zᴇ˨˩
陰陽地理	in˥ ɦiã˧ di˧ li˨˩
陰頭裡	in˥ dʏ˧ li
陰騭	in˥ ʦiəʔ˨
陲	zᴇ˨˨˧
陳	zən˨˨˧
陳皮	zən˨˨˧ bi˧
陳皮梅	zən˨˨˧ bi˧ mᴇ˨˩
陵	lin˨˨˧
陶	dæ˨˨˧
陷	ɦi˨˧˩
陸	loʔ˨˧
陸稿薦	loʔ˨˧ kæ˧ ʦiɪ˨˩
陸路	loʔ˨˧ ləu˨˩
陽	ɦiã˨˨˧
陽傘	ɦiã˨˨˧ sᴇ˨˩
陽文	ɦiã˨˨˧ vən˧
陽春麵	ɦiã˨˨˧ ʦʰən˧ miɪ˨˩
陽溝	ɦiã˨˨˧ kʏ˧
陽臺	ɦiã˨˨˧ dᴇ˧
陽間	ɦiã˩˧ kᴇ˧
陾	zən˨˨˧
隅	ȵyⱼ˨˨˧
隆	loŋ˨˨˧
隈	uᴇ˦
隊	dᴇ˨˧˩
隋	zᴇ˨˨˧
隍	ɦuɑ̃˨˨˧
階	kɑ˦
階沿	kɑ˥ ɦiɪ˨˩
階沿石	kɑ˥ ɦiɪ˧ zɑʔ˨
随	zᴇ˨˨˧
随便几时	zᴇ˨˨˧ biɪ˧ ʨi˥ zɥ˨˩
随便啥辰光	zᴇ˩˧ biɪ˧ sɑ˧ zən˧ kuɑ̃˨˩
隐	in˥˩
隐泻	in˥˩ siɑ˨˩
隐隐然	in˥˩ in˥˩ zø˨˩
隑	gᴇ˨˧˩
隔	kaʔ˦˧
隔夜飯	kɑʔ˦˧ iɑ˧ vᴇ˨˩
隔夜饭	kɑʔ˦˧ iɑ˧ vᴇ˨˩
隔河照墙	kɑʔ˦˧ ɦəu˧ ʦæ˧ ziã˨˩
隔河照牆	kɑʔ˦˧ ɦəu˧ ʦæ˧ ziã˨˩
隔食	kɑʔ˦˧ zəʔ˨˧
隕	yn˥˩
隘	ᴇ˥˨˧
隙	ʨʰiəʔ˦˧
際	ʦiⱼ˥˨˧
障	ʦã˥˨˧
隧	zᴇ˨˧˩
隨	zᴇ˨˨˧
隨便啥辰光	zᴇ˩˧ biɪ˧ sɑ˧ zən˧ kuɑ̃˨˩
隨便幾時	zᴇ˨˨˧ biɪ˧ ʨi˥ zɥ˨˩
險	ɕi˥˩
險腳乎	ɕiɪ˥˩ ʨiɑʔ˨ əu˨˩
隱	in˥˩
隱瀉	in˥˩ siɑ˨˩
隱隱然	in˥˩ in˥˩ zø˨˩
隳	huᴇ˦
隴	loŋ˨˨˧
隶	diⱼ˨˧˩
隸	diⱼ˨˧˩
隻	ʦɑʔ˦˧
隼	sin˥˩
隽	ʦin˥˨˧
难	nᴇ˨˨˧
难为	nᴇ˨˨˧ ɦuᴇ˧˩
难杭	nᴇ˨˨˧ ɦɑ̃˧
难看	nᴇ˨˨˧ kʰø˨˩
难过	nᴇ˨˨˧ kəu˧
雀	ʦiɑʔ˦˧
雀子斑	ʦiɑʔ˦˧ ʦɿ˧ pᴇ˨˩
雁	i˥˨˧
雄	ɦioŋ˨˨˧
雄猫	ɦioŋ˨˨˧ mæ˨˩
雄貓	ɦioŋ˨˨˧ mæ˨˩
雄雞	ɦioŋ˨˨˧ ʨi˨˩
雄鴨	ɦioŋ˨˨˧ aʔ˨
雄鴨頭	ɦioŋ˩˧ aʔ˨ dʏ
雄鸡	ɦioŋ˨˨˧ ʨi˨˩
雄鸭	ɦioŋ˨˨˧ aʔ˨
雄鸭头	ɦioŋ˩˧ aʔ˨ dʏ
雅	iɑ˥˩
雅梨	iɑ˥ li˨˩
集	ziəʔ˨˧
雇	kəu˥˨˧
雇工	kəu˥˩ koŋ˨˩
雉	zʮ˨˧˩
雋	ʦin˥˨˧
雌	ʦʰɿ˦
雌婆雄	ʦʰɿ˥ bu˧ ɦioŋ˨˩
雌狗	ʦʰɿ˥ kʏ˨˩
雌老虎	ʦʰɿ˥ læ˧ həu˨˩
雌雞	ʦʰɿ˥ ʨi˨˩
雌雞斛嚨	ʦʰɿ˥ ʨi˧ ɦoʔ˨ loŋ˨˩
雌鸡	ʦʰɿ˥ ʨi˨˩
雌鸡斛咙	ʦʰɿ˥ ʨi˧ ɦoʔ˨ loŋ˨˩
雍	ioŋ˥˩
雎	ʦiⱼ˦
雏	zəu˨˨˧
雕	tiæ˥
雕花匠	tiæ˥ ho˧ ziã˨˩
雕花大楼	tiæ˥ ho˧ dɑ˧ lʏ˨˩
雕花大樓	tiæ˥ ho˧ dɑ˧ lʏ˨˩
雖	sᴇ˦
雙	sɑ̃˦
雙塔	sɑ̃˥ tʰaʔ˨
雙塔羅漢院	sɑ̃˥ tʰaʔ˨ ləu˨˨˧ hø˧ ɦiø˨˩
雙季稻	sɑ̃˥ ʨi˧ dæ˨˩
雙檔	sɑ̃˥ tɑ̃˨˩
雙滿月	sɑ̃˥ mø˧ ŋəʔ˨
雙眼人	sɑ̃˥ ŋᴇ˧ ȵin˨˩
雙眼皮	sɑ̃˥ ŋᴇ˧ bi˨˩
雙簧	sɑ̃˥ ɦuɑ̃˧
雙胞胎	sɑ̃˥ pæ˧ tʰᴇ˨˩
雙螺頭	sɑ̃˥ ləu˧ dʏ
雙角子	sɑ̃˥ koʔ˨ ʦɿ
雙釀糰子	sɑ̃˥ ȵiã˧ dø˧ ʦɿ
雙雙子	sɑ̃˥ sɑ̃˧ ʦɿ
雙面繡	sɑ̃˥ miɪ˧ sʏ˨˩
雙黃蛋	sɑ̃˥ huɑ̃˧ dᴇ˨˩
雛	zəu˨˨˧
雜	zaʔ˨˧
雜貨店	zəʔ˨˧ həu˥ tiɪ˨˩
雝	ioŋ˦
雞	ʨiⱼ˦
雞冠花	ʨi˥ kuᴇ˧ ho˨˩
雞冠頭	ʨi˥ kuᴇ˧ dʏ
雞心	ʨi˥ sin˨˩
雞棚	ʨi˥ bã˨˩
雞毛撣帚	ʨi˥ mæ˧ tᴇ˧ ʦʏ˨˩
雞毛當令箭	ʨi˥ mæ˨˨˧ tɑ̃˧ lin˨˨˧ ʦiɪ˥˨˨˧
雞毛菜	ʨi˥ mæ˧ ʦʰᴇ˥˨˧
雞毛蒜皮	ʨi˥ mæ˧ sø˧ bi˨˩
雞皮膚	ʨi˥ bi˧ fu˨˩
雞眼	ʨi˥ ŋᴇ˨˩
雞窠	ʨi˥ kʰəu˨˩
雞窠灰	ʨi˥ kʰəu˥ huᴇ˨˩
雞罩	ʨi˥ ʦæ˨˩
雞肫肝	ʨi˥ ʦən˧ kø˨˩
雞胸	ʨi˥ ɕioŋ˨˩
雞腳冰	ʨi˥ ʨiɑʔ˨ pin˨˩
雞腳爪	ʨi˥ ʨiɑʔ˨ ʦæ˨˩
雞腳瘋	ʨi˥ ʨiɑʔ˨ foŋ˨˩
雞腳風	ʨi˥ ʨiɑʔ˨ foŋ˨˩
雞蛋	ʨi˥ dᴇ˨˩
雞蛋糕	ʨi˥ dᴇ˧˩ kæ˨˩
雞蛋裏尋骨頭	ʨi˥ dᴇ˧ li zin˨˨˧ kuəʔ˦˧ dʏ˧
雞蝨	ʨi˥ səʔ˨
雞血	ʨi˥ ɕyəʔ˨
雞豆	ʨi˥ dʏ˨˩
雞雜	ʨi˥ zəʔ˨
雞頭	ʨi˥ dʏ˨˩
雞頭暈	ʨi˥ dʏ˧ uən˨˩
雞黃皮	ʨi˥ ɦuã˧ bi˨˩
雠	zøʏ˨˨˧
離	liⱼ˨˨˧
離婚	li˨˨˧ huən˧
難	nᴇ˨˨˧
難杭	nᴇ˨˨˧ ɦɑ̃˧
難爲	nᴇ˨˨˧ ɦuᴇ˧˩
難看	nᴇ˨˨˧ kʰø˨˩
難過	nᴇ˨˨˧ kəu˧
雨	ɦy˧˩
雨伞	ɦy˧˩ sᴇ˨˩
雨停哉	ɦy˧˩ din˨˨˧ ʦᴇ
雨傘	ɦy˧˩ sᴇ˨˩
雨前	ɦy˨˨˧ ziɪ˧
雨勿落哉	ɦy˧˩ fəʔ˥ loʔ˧ ʦᴇ
雨夹雪	ɦy˧˩ kaʔ˦˧ siəʔ˦˧
雨夾雪	ɦy˧˩ kaʔ˦˧ siəʔ˦˧
雨字头	ɦy˧˩ zɿ˧ dʏ˨˩
雨字頭	ɦy˧˩ zɿ˧ dʏ˨˩
雨帽	ɦy˧˩ mæ˨˩
雨披	ɦy˨˨˧ pʰi˧
雨水	ɦy˧˩ sɥ˨˩
雨点子	ɦy˧˩ tiɪ˥˩ ʦɿ
雨衣	ɦy˧˩ i˧
雨點子	ɦy˧˩ tiɪ˥˩ ʦɿ
雪	siəʔ˦˧
雪松	siəʔ˦˧ soŋ˥
雪水	siəʔ˦˧ sɥ˥˩
雪烊哉	siəʔ˦˧ ɦiã˨˨˧ ʦᴇ
雪猢狲	siəʔ˦˧ ɦuəʔ˨˧ sən˨˩
雪猢猻	siəʔ˦˧ ɦuəʔ˨˧ sən˨˩
雪珠	siəʔ˦˧ ʦɥ˥
雪等淘	siəʔ˦˧ tən˥˩ dæ˨˨˧
雪花膏	siəʔ˦˧ ho˧ kæ˨˩
雪裡蕻	siəʔ˦˧ li˧ ɦoŋ˧
雪里蕻	siəʔ˦˧ li˧ ɦoŋ˧
雪餅	siəʔ˦˧ pin˥˩
雪饼	siəʔ˦˧ pin˥˩
雯	vən˨˨˧
雲	ɦyn˨˨˧
雲土	ɦyən˨˨˧ tʰəu˧
雲片糕	ɦyən˨˨˧ pʰiɪ˧ kæ˨˩
雲腿	ɦyən˨˨˧ tʰᴇ˧
雳	liəʔ˨˧
零	lin˨˨˧
零分	lin˨˨˧ fən˨˩
零售	lin˨˨˧ zʏ˨˩
零工	lin˨˨˧ koŋ˧
零汤团	lin˩˧ tʰɑ̃˥ dø˨˩
零湯糰	lin˩˧ tʰɑ̃˥ dø˨˩
零用鈿	lin˨˨˧ ɦioŋ˧ diɪ˨˩
零用钿	lin˨˨˧ ɦioŋ˧ diɪ˨˩
零碎	lin˨˨˧ sᴇ˧
零碎銅鈿	lin˨˨˧ sᴇ˧ doŋ˧ diɪ˨˩
零碎铜钿	lin˨˨˧ sᴇ˧ doŋ˧ diɪ˨˩
零食	lin˩˧ zəʔ˨
雷	lᴇ˨˨˧
雷响	lᴇ˨˨˧ ɕiã˨˩
雷響	lᴇ˨˨˧ ɕiã˨˩
雹	bæ˨˨˧
電	di˨˧˩
電影	diɪ˨˨˧ in
電火	diɪ˨˨˧ həu˨˩
電熨鬥	diɪ˨˨˧ ɦyən˧ tʏ˨˩
電燈師父	diɪ˨˨˧ tən˧ sɿ˧ vu˨˩
電燈廠	diɪ˨˨˧ tən˧ ʦʰã˨˩
電燈泡	diɪ˨˨˧ tən˧ pʰæ˨˩
電筒	diɪ˨˨˧ doŋ˧
電話	diɪ˩˧ ɦo˧
電車	diɪ˨˨˧ ʦʰo˨˩
電車路	diɪ˨˨˧ ʦʰo˧ ləu˨˩
電鑽	diɪ˨˨˧ ʦø˨˩
雾	vu˨˧˩
需	siⱼ˦
霁	ʦiⱼ˥˨˧
霄	siæ˦
霆	din˨˨˧
震	ʦən˥˨˧
霈	pʰᴇ˥˨˧
霉	mᴇ˨˨˧
霍	hoʔ˦˧
霍显	hoʔ˦˧ ɕiɪ˥˨˧
霍肉	hoʔ˦˧ ȵioʔ˨˧
霍顯	hoʔ˦˧ ɕiɪ˥˨˧
霎	saʔ˦˧
霏	fiⱼ˦
霑	ʦø˦
霓	ȵiⱼ˨˨˧
霓虹灯	ȵi˨˨˧ ɦoŋ˧ tən˨˩
霓虹燈	ȵi˨˨˧ ɦoŋ˧ tən˨˩
霖	lin˨˨˧
霙	in˦
霜	sɑ̃˥
霜打	sɑ̃˥ tã˨˩
霜降	sɑ̃˥ kã˨˩
霞	io˥
霧	vu˨˧˩
霪	ɦin˨˨˧
霭	ᴇ˥˩
霰	si˥˨˧
露	ləu˧˩
露台	ləu˨˨˧ dᴇ˧
露天	ləu˨˨˧ tʰiɪ˧
露水	ləu˨˨˧ sɥ˨˩
露水夫妻	ləu˨˨˧ sɥ˧ fu˧ ʦʰi˨˩
露白雨	ləu˨˨˧ bɑʔ˨ ɦy˨˩
露臺	ləu˨˨˧ dᴇ˧
霳	loŋ˨˨˧
霸	po˥˨˧
霸道	po˥˩ dæ˨˩
霹	pʰiəʔ˦˧
霹雳	pʰiəʔ˦˧ liəʔ˨˧
霹靂	pʰiəʔ˦˧ liəʔ˨˧
霻	foŋ˦
霽	ʦiⱼ˥˨˧
霾	mᴇ˨˨˧
靂	liəʔ˨˧
靄	ᴇ˥˩
靈	lin˨˨˧
靈巧	lin˨˨˧ ʨʰiæ˧
青	ʦʰin˥
青团子	ʦʰin˥ dø˧ ʦɿ
青天大老爷	ʦʰin˥ tʰiɪ˨˩ dəu˧ læ˧ ɦiɑ˨˩
青天大老爺	ʦʰin˥ tʰiɪ˨˩ dəu˧ læ˧ ɦiɑ˨˩
青小蛇	ʦʰin˥ siæ˧ zo˨˩
青春顆	ʦʰin˥ ʦʰən˧ kʰəu˨˩
青春颗	ʦʰin˥ ʦʰən˧ kʰəu˨˩
青条	ʦʰin˥ diæ˨˩
青梅	ʦʰin˥ mᴇ˧
青條	ʦʰin˥ diæ˨˩
青泥苔	ʦʰin˥ ȵi˧ dᴇ˨˩
青烟苔	ʦʰin˥ iɪ˧ dᴇ˨˩
青煙苔	ʦʰin˥ iɪ˧ dᴇ˨˩
青砖	ʦʰin˥ ʦø˨˩
青磚	ʦʰin˥ ʦø˨˩
青糰子	ʦʰin˥ dø˧ ʦɿ
青肚皮猢狲	ʦʰin˥ dəu˧ bi˨˩ ɦuəʔ˨ sən˨˩
青肚皮猢猻	ʦʰin˥ dəu˧ bi˨˩ ɦuəʔ˨ sən˨˩
青菜	ʦʰin˥ ʦʰᴇ˨˩
青萝卜	ʦʰin˥ læ˧ boʔ
青蘿蔔	ʦʰin˥ læ˧ boʔ
青虫	ʦʰin˥ zoŋ˨˨˧
青蚕豆	ʦʰin˥ zø˧ dʏ˨˩
青蟲	ʦʰin˥ zoŋ˨˨˧
青蠶豆	ʦʰin˥ zø˧ dʏ˨˩
青衣	ʦʰin˥ i˨˩
青辣火	ʦʰin˥ laʔ˨˧ həu˨˩
青髈块	ʦʰin˥ pʰɑ̃˧ kʰuᴇ˨˩
青髈塊	ʦʰin˥ pʰɑ̃˧ kʰuᴇ˨˩
青魚	ʦʰi˥ ŋ̍˨˩
青鱼	ʦʰi˥ ŋ̍˨˩
靓	zin˨˧˩
靖	zin˨˧˩
静	zin˧˩
静脉	zin˨˨˧ mɑʔ˨
靚	zin˨˧˩
靛	di˨˧˩
靜	zin˨˧˩
靜脈	zin˨˨˧ mɑʔ˨
非	fiⱼ˦
靠	kʰæ˥˨˧
靠背	kʰæ˥ pᴇ˨˩
靡	miⱼ˨˧˩
面	miɪ˧˩
面孔	miɪ˨˨˧ kʰoŋ˨˩
面师父	miɪ˧˩ sɿ˧ vu˨˩
面師父	miɪ˧˩ sɿ˧ vu˨˩
面店	miɪ˧˩ tiɪ˨˩
面拖虾	miɪ˧˩ tʰəu˧ ho˨˩
面拖蝦	miɪ˧˩ tʰəu˧ ho˨˩
面拖蟹	miɪ˧˩ tʰəu˧ hɑ˨˩
面板	miɪ˧˩ pᴇ˨˩
面架子	miɪ˧˩ kɑ˧ ʦɿ
面桶	miɪ˩˧ doŋ˨˩
面汆条	miɪ˧˩ ʦʰø˥ diæ˨˩
面汆條	miɪ˧˩ ʦʰø˥ diæ˨˩
面汤台	miɪ˨˨˧ tʰɑ̃˧ dᴇ˨˩
面汤水	miɪ˨˨˧ tʰɑ̃˥ sɥ˨˩
面疙瘩	miɪ˧˩ kəʔ˦˧ taʔ˦˧
面盆	miɪ˩˧ bən˨˩
面盆架子	miɪ˨˨˧ bən˧ kɑ˧ ʦɿ
面盘子	miɪ˧˩ bø˧ ʦɿ
面盤子	miɪ˧˩ bø˧ ʦɿ
面相	miɪ˨˨˧ siã˨˩
面秤	miɪ˨˨˧ ʦʰən˨˩
面笃嘴翘	miɪ˧˩ toʔ˦˧ ʦɥ˧ ʨʰiæ˨˩
面筋	miɪ˨˨˧ ʨin˨˩
面筋篮	miɪ˧˩ ʨin˧ lᴇ˨˩
面篤嘴翹	miɪ˧˩ toʔ˦˧ ʦɥ˧ ʨʰiæ˨˩
面粉	miɪ˧˩ fən˧
面衣	miɪ˧˩ i˧
面頰骨	miɪ˧˩ ʨiəʔ˦˧ kuəʔ˦˧
面颊骨	miɪ˧˩ ʨiəʔ˦˧ kuəʔ˦˧
面餑	miɪ˨˨˧ bəʔ˨
面饽	miɪ˨˨˧ bəʔ˨
面馆	miɪ˧˩ kuø˨˩
靥	ɦiəʔ˨˧
靦	mi˨˧˩
靨	ɦiəʔ˨˧
革	kəʔ˦˧
靳	ʨin˥˨˧
靴	ɕio˥
靶	po˥˩
靷	ɦin˨˨˧
鞃	ɦoŋ˨˨˧
鞅	iã˦
鞋	ɦɑ˨˨˧
鞋口	ɦɑ˨˨˧ kʰʏ˨˩
鞋圈	ɦɑ˨˨˧ ʨʰiø˧
鞋子	ɦɑ˨˨˧ ʦɿ
鞋子店	ɦɑ˨˨˧ ʦɿ˧ tiɪ˨˩
鞋带	ɦɑ˨˨˧ tɑ˧
鞋帮	ɦɑ˩˧ pɑ̃˧
鞋帶	ɦɑ˨˨˧ tɑ˧
鞋幫	ɦɑ˩˧ pɑ̃˧
鞋庄	ɦɑ˩˧ ʦɑ̃˧
鞋底	ɦɑ˨˨˧ ti˧
鞋拽拔	ɦɑ˨˨˧ ɦi˧ baʔ˨
鞋箱	ɦɑ˧ siã˨˩
鞋莊	ɦɑ˩˧ ʦɑ̃˧
鞋面	ɦɑ˨˨˧ miɪ˧
鞋面布	ɦɑ˨˨˧ miɪ˧ pu˨˩
鞍	ø˦
鞏	koŋ˥˩
鞑	dɑʔ˨˧
鞔	mø˨˨˧
鞘	siæ˦
鞚	kʰoŋ˥˨˧
鞝	zɑ̃˨˧˩
鞝鞋子	zɑ̃˨˨˧ ɦɑ˧ ʦɿ
鞠	ʨioʔ˦˧
鞦	ʦʰøʏ˦
鞭	pi˦
鞯	ʦi˦
韁	ʨiã˦
韃	dɑʔ˨˧
韉	ʦi˦
韋	ɦuᴇ˨˨˧
韌	zən˨˧˩
韓	ɦø˨˨˧
韙	ɦuᴇ˨˧˩
韜	tʰæ˦
韞	yn˥˩
韦	ɦuᴇ˨˨˧
韧	zən˨˧˩
韩	ɦø˨˨˧
韪	ɦuᴇ˨˧˩
韫	yn˥˩
韬	tʰæ˦
韭	ʨy˥˩
韭芽	ʨiʏ˥˩ ŋɑ˧
韭菜	ʨiʏ˥˩ ʦʰᴇ˨˩
韭菜花	ʨiʏ˥˩ ʦʰᴇ˧ ho˨˩
韮	ʨy˥˩
音	in˦
韵	ɦyn˨˧˩
韵白	ɦyən˨˨˧ bɑʔ˨
韶	zæ˨˨˧
韺	in˦
韻	ɦyn˨˧˩
韻白	ɦyən˨˨˧ bɑʔ˨
響	ɕiã˥˩
響勿落	ɕiã˥˩ fəʔ˦˧ loʔ˨˧
響器店	ɕiã˥˩ ʨʰi˨˩ tiɪ˨˩
響堂	ɕiã˥˩ dɑ̃˧
響屁	ɕiã˥˩ pʰi˨˩
響屧廊	ɕiã˥˩ siəʔ˨ lɑ̃˧
響檔	ɕiã˥˩ tɑ̃˨˩
響油鱔糊	ɕiã˥˩ ɦiʏ˧ zø˧ ɦəu˨˩
響聲	ɕiã˥˩ sən˧
頁	ɦiəʔ˨˧
頂	tin˥˩
頂頭老逆風	tin˥˩ dʏ˧ læ˧˩ ȵiəʔ˧ foŋ˨˩
頂頭風	tin˥˩ dʏ˧ foŋ˨˩
頃	ʨʰin˥˩
項	ɦɑ̃˨˧˩
項圈	ɦɑ̃˨˨˧ ʨʰiø˨˩
項圈肉	ɦɑ̃˨˨˧ ʨʰiø˧ ȵioʔ˨
項鍊	ɦɑ̃˧˩ liɪ˧
順	zən˨˧˩
順仔	zən˨˨˧ ʦɿ
順手	zən˨˨˧ sʏ˨˩
順面	zən˨˨˧ miɪ
順風	zən˨˨˧ foŋ˧
順風耳朵	zən˨˨˧ foŋ˥ ȵi˧ təu˥˩
須	siⱼ˦
頌	zoŋ˨˧˩
頎	ʥiⱼ˨˨˧
頏	ɦɑ̃˨˨˧
預	ɦyⱼ˨˧˩
頑	ɦuø˨˨˧
頒	pᴇ˦
頓	tən˥˨˧
頗	pʰu˦
領	lin˨˧˩
領盆	lin˨˨˧ bən˧
領頭	lin˨˨˧ dʏ
頜腮	kəʔ˦˧ sᴇ˥
頡	ʨiəˀ˦˧
頤	ɦiⱼ˨˨˧
頦	kᴇ˥˩
頫	fu˥˩
頭	døʏ˨˨˧
頭一名	dʏ˩˧ iəʔ˥ min˥
頭七	dʏ˨˨˧ ʦʰiəʔ˨
頭九	dʏ˨˨˧ ʨiʏ˧
頭伏	dʏ˨˨˧ voʔ˨
頭兩個	dʏ˨˨˧ liã˧ kəʔ
頭兩畝	dʏ˨˨˧ liã˧ m̩˨˩
頭兩裏路	dʏ˨˨˧ liã˧ li˧ ləu˨˩
頭勢	dʏ˨˨˧ sɥ˥˨˧
頭名	dʏ˩˧ min˧
頭夾脊	dʏ˨˨˧ kaʔ˦˧ ʦiəʔ˦˧
頭家	dʏ˨˨˧ kɑ˧
頭寸	dʏ˨˨˧ ʦʰən˨˩
頭挑	dʏ˨˨˧ tʰiæ˨˩
頭普	dʏ˨˨˧ pʰu˧
頭油	dʏ˨˨˧ ɦiʏ˧
頭爿	dʏ˨˨˧ bᴇ˨˨˧
頭生	dʏ˨˨˧ sã˧
頭痛	dʏ˨˨˧ tʰoŋ˧
頭皮	dʏ˨˨˧ bi˧
頭皮屑	dʏ˨˨˧ bi˧ siəʔ˨
頭眩	dʏ˨˨˧ ɦiø˧
頭紐	dʏ˨˨˧ ŋʏ˧˧（或ȵiʏ˧˩）
頭繩	dʏ˨˨˧ zən˧
頭胎	dʏ˩˧ tʰᴇ˧
頭艙	dʏ˨˨˧ ʦʰɑ̃˧
頭蝨	dʏ˨˨˧ səʔ˨
頭裡痛	dʏ˨˨˧ li tʰoŋ˨˩
頭鈿	dʏ˨˨˧ diɪ˧
頭難	dʏ˨˨˧ nᴇ˧
頭面	dʏ˨˨˧ miɪ˧
頭頂心	dʏ˨˨˧ tin˧ sin˨˩
頭頸	dʏ˨˨˧ ʨin˨˩
頭髮	dʏ˨˨˧ faʔ˨
頭髮團	dʏ˨˨˧ faʔ˨ dø˨˩
頭髮菜	dʏ˨˨˧ faʔ˨ ʦʰᴇ˨˩
頰	ʨiəʔ˦˧
頷	ɦø˨˨˧
頸	ʨin˥˩
頹	dᴇ˨˧˩
頻	bin˨˨˧
顆	kʰəu˦
題	diⱼ˨˨˧
額	ŋɑʔ˨˧
額角頭	ŋɑʔ˨˧ koʔ˦˧ dʏ˧
顎	ŋoʔ˨˧
顏	ŋᴇ˨˨˧
顏料店	ŋᴇ˨˨˧ liæ˧ tiɪ˨˩
顏罩	ŋᴇ˨˨˧ ʦæ˨˩
顏色	ŋᴇ˨˨˧ səʔ˨
顒	ɦioŋ˨˨˧
顓	ʦø˦
願	ȵiø˨˧˩
顛	ti˦
類	lᴇ˨˧˩
顢	mø˨˨˧
顥	ɦæ˨˧˩
顧	kəu˥˨˧
顧憐	kəu˥ liɪ˨˩
顫	ʦø˥˨˧
顯	ɕi˥˨˧
顯原形	ɦiɪ˧˩ ȵiø˨˨˧ ɦin˧
顯煥	ɕiɪ˥˩ huø˨˩
顯眼	ɕiɪ˥ ŋᴇ˨˩
顰	bin˨˨˧
顱	ləu˨˨˧
顴	ʥiø˨˨˧
顴骨	ʥiø˨˨˧ kuəʔ˨
页	ɦiəʔ˨˧
顶	tin˥˩
顶头老逆风	tin˥˩ dʏ˧ læ˧˩ ȵiəʔ˧ foŋ˨˩
顶头风	tin˥˩ dʏ˧ foŋ˨˩
顷	ʨʰin˥˩
项	ɦɑ̃˨˧˩
项圈	ɦɑ̃˨˨˧ ʨʰiø˨˩
项圈肉	ɦɑ̃˨˨˧ ʨʰiø˧ ȵioʔ˨
项链	ɦɑ̃˧˩ liɪ˧
顺	zən˨˧˩
顺仔	zən˨˨˧ ʦɿ
顺手	zən˨˨˧ sʏ˨˩
顺面	zən˨˨˧ miɪ
顺风	zən˨˨˧ foŋ˧
顺风耳朵	zən˨˨˧ foŋ˥ ȵi˧ təu˥˩
须	siⱼ˦
须须	səu˥ səu˨˩
顽	ɦuø˨˨˧
顾	kəu˥˨˧
顾怜	kəu˥ liɪ˨˩
顿	tən˥˨˧
颀	ʥiⱼ˨˨˧
颁	pᴇ˦
颂	zoŋ˨˧˩
颃	ɦɑ̃˨˨˧
预	ɦyⱼ˨˧˩
颅	ləu˨˨˧
领	lin˨˧˩
领头	lin˨˨˧ dʏ
领盆	lin˨˨˧ bən˧
颇	pʰu˦
颈	ʨin˥˩
颉	ʨiəˀ˦˧
颊	ʨiəʔ˦˧
颌腮	kəʔ˦˧ sᴇ˥
颍	ɦin˨˧˩
颏	kᴇ˥˩
颐	ɦiⱼ˨˨˧
频	bin˨˨˧
颓	dᴇ˨˧˩
颔	ɦø˨˨˧
颖	ɦin˨˧˩
颗	kʰəu˦
题	diⱼ˨˨˧
颙	ɦioŋ˨˨˧
颚	ŋoʔ˨˧
颛	ʦø˦
颜	ŋᴇ˨˨˧
颜料店	ŋᴇ˨˨˧ liæ˧ tiɪ˨˩
颜罩	ŋᴇ˨˨˧ ʦæ˨˩
颜色	ŋᴇ˨˨˧ səʔ˨
额	ŋɑʔ˨˧
额角头	ŋɑʔ˨˧ koʔ˦˧ dʏ˧
颟	mø˨˨˧
颠	tiɪ˥
颢	ɦæ˨˧˩
颤	ʦø˥˨˧
颦	bin˨˨˧
颧	ʥiø˨˨˧
颧骨	ʥiø˨˨˧ kuəʔ˨
風	foŋ˦
風乾慄子	foŋ˥ kø˧ liəʔ˨˧ ʦɿ
風住哉	foŋ˥ zɥ˧˩ ʦᴇ
風停	foŋ˥ din˨˨˧
風停哉	foŋ˥ din˨˨˧ ʦᴇ
風光	foŋ˥ kuɑ̃˥
