㑃	æ˥˨˧
七勿老牵	ʦʰiəʔ˦˧ fəʔ˦˧ læ˧ ʨʰiɪ˨˩
七勿老牽	ʦʰiəʔ˦˧ fəʔ˦˧ læ˧ ʨʰiɪ˨˩
七十	ʦʰiəʔ˦˧ səʔ˦˧
七十一	ʦʰiəʔ˦˧ zəʔ˦˧ iəʔ˦˧
七号	ʦʰiəʔ˦˧ ɦæ˧˩
七嘴八舌	ʦʰiəʔ˦˧ ʦɥ˥˩ poʔ˦˧ zəʔ˨˧
七塔	ʦʰiəʔ˦˧ tʰaʔ˦˧
七夕	ʦʰiəʔ˦˧ ziəʔ˨˧
七大八小	ʦʰiəʔ˦˧ dəu˨˩ poʔ˨ siæ˨˩
七手八脚	ʦʰiəʔ˦˧ sʏ˧ poʔ˦˧ ʨiɑʔ˦˧
七手八腳	ʦʰiəʔ˦˧ sʏ˧ poʔ˦˧ ʨiɑʔ˦˧
七拼八凑	ʦʰiəʔ˦˧ pʰin˥ poʔ˨ ʦʰʏ˨˩
七拼八湊	ʦʰiəʔ˦˧ pʰin˥ poʔ˨ ʦʰʏ˨˩
七搭八搭	ʦʰiəʔ˦˧ taʔ˦˧ poʔ˦˧ taʔ˦˧
七月七	ʦʰiəʔ˥ ŋəʔ˥ ʦʰiəʔ˨
七月半	ʦʰiəʔ˦˧ ŋəʔ˨˧ pø˨˩
七欠	ʦʰiəʔ˦˧ ʨʰiɪ˥˨˧
七步蛇	ʦʰiəʔ˦˧ bu˧ zo˧
七死八活	ʦʰiəʔ˦˧ si˥˩ poʔ˦˧ ɦuəʔ˨˧
七灯	ʦʰiəʔ˦˧ tən˥
七煞档	ʦʰiəʔ˦˧ saʔ˦˧ tɑ̃˥˨˧
七煞檔	ʦʰiəʔ˦˧ saʔ˦˧ tɑ̃˥˨˧
七燈	ʦʰiəʔ˦˧ tən˥
七石缸	ʦʰiəʔ˦˧ zɑʔ˨˧ kɑ̃˥
七端八正	ʦʰiəʔ˦˧ tø˥ poʔ˨ ʦən˨˩
七紫三羊	ʦʰiəʔ˦˧ ʦɿ˨˩ sᴇ˥ ɦiã˨˩
七荤八素	ʦʰiəʔ˦˧ huən˧ poʔ˨ səu˨˩
七葷八素	ʦʰiəʔ˦˧ huən˧ poʔ˨ səu˨˩
七號	ʦʰiəʔ˦˧ ɦæ˧˩
七裏	ʦʰiəʔ˦˧ li
七都紙	ʦʰiəʔ˦˧ təu˧ ʦɿ˨˩
七都纸	ʦʰiəʔ˦˧ təu˧ ʦɿ˨˩
七里	ʦʰiəʔ˦˧ li
七長八短	ʦʰiəʔ˦˧ zã˧ poʔ˨ tø˨˩
七长八短	ʦʰiəʔ˦˧ zã˧ poʔ˨ tø˨˩
七零八落	ʦʰiəʔ˦˧ lin˧ poʔ˦˧ loʔ˨˧
七鞒八裂	ʦʰiəʔ˦˧ ʥiæ˨˨˧ poʔ˦˧ liəʔ˨˧
七鞽八裂	ʦʰiəʔ˦˧ ʥiæ˨˨˧ poʔ˦˧ liəʔ˨˧
七顛八倒	ʦʰiəʔ˦˧ tin˥ poʔ˨ tæ˨˩
七颠八倒	ʦʰiəʔ˦˧ tin˥ poʔ˨ tæ˨˩
七高八低	ʦʰiəʔ˦˧ kæ˥ poʔ˨ ti˧
万	mᴇ˧˩
万一	vᴇ˨˨˧ iəʔ˨
万子	mᴇ˧˩ ʦɿ
万寿菊	vᴇ˨˨˧ zʏ˧ ʨioʔ˨
万把洋钿	mᴇ˨˨˧ po˧ ɦiã˨˨˧ diɪ˨˩
万金油	vᴇ˨˨˧ ʨin˧ ɦiʏ˧
丈	zã˨˧˩
丈人	zã˨˨˧ ȵin˧
丈人屋裡	zã˨˨˧ ȵin˧ oʔ˨ li
丈人屋里	zã˨˨˧ ȵin˧ oʔ˨ li
三	sᴇ˥
三万五千个	sᴇ˥ mᴇ˧˩ ŋ˧˩ ʦʰiɪ˧ kə
三万昌	sᴇ˥ vᴇ˧ ʦʰã˨˩
三三两两	sᴇ˥ sᴇ˧ liã˧ liã˨˩
三三兩兩	sᴇ˥ sᴇ˧ liã˧ liã˨˩
三个	sᴇ˥ kəʔ
三个档	sᴇ˥ kəu˧ tɑ̃˨˩
三九	sᴇ˥ ʨiʏ˨˩
三伏	sᴇ˥ voʔ˨
三個	sᴇ˥ kəʔ
三個檔	sᴇ˥ kəu˧ tɑ̃˨˩
三元坊	sᴇ˥ ȵiø˧ fɑ̃˨˩
三关	sᴇ˥ kuᴇ˨˩
三化螟	sᴇ˥ ho˧ min˨˩
三十	sᴇ˥ səʔ˨
三十一	sᴇ˥ zəʔ˨ iəʔ˨
三十三天	sᴇ˥ zəʔ˨ sᴇ˧ tʰiɪ˨˩
三千	sᴇ˥ ʦʰiɪ˨˩
三只手	sᴇ˥ ʦɑʔ˨ sʏ˨˩
三只节头指拾田螺	sᴇ˥ ʦɑʔ˨ ʦiəʔ˦˧ dʏ˧ ʦɥ˨˩ ziəʔ˨˧ diɪ˨˨˧ ləu˧
三号	sᴇ˥ ɦæ˨˩
三合土	sᴇ˥ ɦəʔ˨ tʰəu˨˩
三四	sɑ˥ sɿ˧
三四个	sɑ˥ sɿ˧ kəʔ
三四個	sɑ˥ sɿ˧ kəʔ
三头六臂	sᴇ˥ dʏ˧ loʔ˦˧ pi˨˩
三宫	sᴇ˥ koŋ˨˩
三宮	sᴇ˥ koŋ˨˩
三尖架子	sᴇ˥ ʦiɪ˧ kɑ˧ ʦɿ
三年两头闰	sᴇ˥ ȵiɪ˨˩ liã˨˨˧ dʏ˧ zən˨˩
三年五載	sᴇ˥ ȵiɪ˧ əu˧ ʦᴇ˨˩
三年五载	sᴇ˥ ȵiɪ˧ əu˧ ʦᴇ˨˩
三年兩頭閏	sᴇ˥ ȵiɪ˨˩ liã˨˨˧ dʏ˧ zən˨˩
三心两意	sᴇ˥ sin˧ liã˧ i˨˩
三心兩意	sᴇ˥ sin˧ liã˧ i˨˩
三搁六凑	sᴇ˥ oʔ˨ loʔ˨ ʦʰʏ˨˩
三擱六湊	sᴇ˥ oʔ˨ loʔ˨ ʦʰʏ˨˩
三日三夜	sᴇ˥ ȵiəʔ˨ sᴇ˧ iɑ˨˩
三日两头	sᴇ˥ ȵiəʔ˨ liã˧ dʏ˨˩
三日兩頭	sᴇ˥ ȵiəʔ˨ liã˧ dʏ˨˩
三朝面	sᴇ˥ ʦæ˧ miɪ˨˩
三枪	sᴇ˥ ʦʰiã˨˩
三槍	sᴇ˥ ʦʰiã˨˩
三清殿	sᴇ˥ ʦʰin˥ diɪ˨˩
三点水	sᴇ˥ tiɪ˧ sɥ˨˩
三番五次	sᴇ˥ fᴇ˧ ŋ̍˧ ʦʰɿ˨˩
三白瓜	sᴇ˥ bɑʔ˨˧ ko˨˩
三百八	sᴇ˥ pɑʔ˥ poʔ˥
三百八十	sᴇ˥ pɑʔ˦˧˥ poʔ˦˧˥ səʔ˦˧˥
三百六	sᴇ˥ pɑʔ˥ loʔ˧
三百六十	sᴇ˥ pɑʔ˦˧˥ loʔ˦˧˥ səʔ˦˧˥
三百十	sᴇ˥ pɑʔ˨ zəʔ˨
三眼灶	sᴇ˥ ŋᴇ˧ ʦæ˨˩
三眼竈	sᴇ˥ ŋᴇ˧ ʦæ˨˩
三脚猫	sᴇ˥ ʨiɑʔ˨ mæ˧
三腳貓	sᴇ˥ ʨiɑʔ˨ mæ˧
三莳	sᴇ˥ zɥ˨˩
三萬五千個	sᴇ˥ mᴇ˧˩ ŋ˧˩ ʦʰiɪ˧ kə
三萬昌	sᴇ˥ vᴇ˧ ʦʰã˨˩
三蒔	sᴇ˥ zɥ˨˩
三號	sᴇ˥ ɦæ˨˩
三虾面	sᴇ˥ ho˧ miɪ˨˩
三蝦麵	sᴇ˥ ho˧ miɪ˨˩
三角板	sᴇ˥ koʔ˨ pᴇ˨˩
三角裤	sᴇ˥ koʔ˨ kʰəu˨˩
三角褲	sᴇ˥ koʔ˨ kʰəu˨˩
三言两语	sᴇ˥ ɦiɪ˧ liã˧ ȵy˨˩
三言兩語	sᴇ˥ ɦiɪ˧ liã˧ ȵy˨˩
三輪車	sᴇ˥ lən˧ ʦʰo˨˩
三輪車夫	sᴇ˥ lən˧ ʦʰo˧ fu˨˩
三轮车	sᴇ˥ lən˧ ʦʰo˨˩
三轮车夫	sᴇ˥ lən˧ ʦʰo˧ fu˨˩
三连橱	sᴇ˥ liɪ˧ zɥ˨˩
三連櫥	sᴇ˥ liɪ˧ zɥ˨˩
三長兩短	sᴇ˥ zã˧ liã˧ tø˨˩
三长两短	sᴇ˥ zã˧ liã˧ tø˨˩
三關	sᴇ˥ kuᴇ˨˩
三隻手	sᴇ˥ ʦɑʔ˨ sʏ˨˩
三隻節頭指拾田螺	sᴇ˥ ʦɑʔ˨ ʦiəʔ˦˧ dʏ˧ ʦɥ˨˩ ziəʔ˨˧ diɪ˨˨˧ ləu˧
三頭六臂	sᴇ˥ dʏ˧ loʔ˦˧ pi˨˩
三鮮	sᴇ˥ siɪ˥
三鲜	sᴇ˥ siɪ˥
三點水	sᴇ˥ tiɪ˧ sɥ˨˩
上	zã˨˧˩
上上來	zɑ̃˨˨˧ zɑ̃˧ lᴇ
上上来	zɑ̃˨˨˧ zɑ̃˧ lᴇ
上下	zɑ̃˨˨˧ ɦo˧
上个月	zɑ̃˨˨˧ kəʔ˨ ŋəʔ˨
上代头	zɑ̃˨˨˧ dᴇ˧ dʏ
上代頭	zɑ̃˨˨˧ dᴇ˧ dʏ
上任	zɑ̃˨˨˧ zən˨˩
上供	zɑ̃˨˨˧ koŋ˨˩
上個月	zɑ̃˨˨˧ kəʔ˨ ŋəʔ˨
上元	zɑ̃˨˨˧ ȵiø˧
上半个月	zɑ̃˨˨˧ pø˧ kəʔ ŋəʔ˨
上半個月	zɑ̃˨˨˧ pø˧ kəʔ ŋəʔ˨
上半夜	zɑ̃˨˨˧ pø˧ iɑ˨˩
上半年	zɑ̃˨˨˧ pø˧ ȵiɪ˨˩
上半日	zɑ̃˩˧ pø˧ ȵiəʔ˨
上口	zɑ̃˨˨˧ kʰʏ˧
上吊	zɑ̃˨˨˧ tiæ˨˩
上坟	zɑ̃˨˨˧ vən˧
上塘	zɑ̃˨˨˧ dɑ̃˧
上墳	zɑ̃˨˨˧ vən˧
上头	zɑ̃˩˧ dʏ
上学	zɑ̃˨˨˧ ɦoʔ˨
上學	zɑ̃˨˨˧ ɦoʔ˨
上家	zɑ̃˨˨˧ kɑ˧
上山	zɑ̃˨˨˧ sᴇ˧
上岸	zɑ̃˨˨˧ ŋø˨˩
上工	zɑ̃˨˨˧ koŋ˥
上市	zɑ̃˨˨˧ zɿ˧
上心事	zɑ̃˨˨˧ sin˧ zɿ˨˩
上手	zɑ̃˧˩ sʏ˧
上搭背	zɑ̃˧˩ taʔ˨ pᴇ˨˩
上方山	zɑ̃˨˨˧ fɑ̃˧ sᴇ˨˩
上旬	zɑ̃˨˨˧ zin˨˩
上春头	zɑ̃˨˨˧ ʦʰən˥ dʏ
上春頭	zɑ̃˨˨˧ ʦʰən˥ dʏ
上昼	zɑ̃˨˨˧ ʦʏ˨˩
上晚昼	zɑ̃˩˧ mᴇ˧ ʦʏ˧
上晚晝	zɑ̃˩˧ mᴇ˧ ʦʏ˧
上晝	zɑ̃˨˨˧ ʦʏ˨˩
上款	zɑ̃˨˨˧ kʰuø˧
上水	zɑ̃˧˩ sɥ˥˩
上火	zɑ̃˨˨˧ həu˥˩
上灯	zɑ̃˨˨˧ tən˥
上灶	zɑ̃˨˨˧ ʦæ˨˩
上燈	zɑ̃˨˨˧ tən˥
上爿	zɑ̃˨˨˧ bᴇ˨˩
上祭	zɑ̃˨˨˧ ʦi˨˩
上竈	zɑ̃˨˨˧ ʦæ˨˩
上腔	zɑ̃˨˨˧ ʨʰiã˧
上花坟	zɑ̃˨˨˧ ho˧ vən˨˩
上花墳	zɑ̃˨˨˧ ho˧ vən˨˩
上药	zɑ̃˨˨˧ ɦiaʔ˨
上菜	zɑ̃˨˨˧ ʦʰᴇ˨˩
上藥	zɑ̃˨˨˧ ɦiaʔ˨
上装	zɑ̃˨˨˧ ʦɑ̃˧
上裝	zɑ̃˨˨˧ ʦɑ̃˧
上訴	zɑ̃˨˨˧ səu˨˩
上課	zɑ̃˨˨˧ kʰəu˨˩
上诉	zɑ̃˨˨˧ səu˨˩
上课	zɑ̃˨˨˧ kʰəu˨˩
上賬	zɑ̃˨˨˧ ʦã˨˩
上账	zɑ̃˨˨˧ ʦã˨˩
上身	zɑ̃˨˨˧ sən˧
上面	zɑ̃˨˨˧ miɪ
上頭	zɑ̃˩˧ dʏ
上風頭	zɑ̃˩˧ foŋ˧ dʏ
上风头	zɑ̃˩˧ foŋ˧ dʏ
上館子	zɑ̃˨˨˧ kuø˧ ʦɿ
上馆子	zɑ̃˨˨˧ kuø˧ ʦɿ
上首	zɑ̃˩˧ sʏ˧
下	ɦo˨˨˧
下一日	ɦo˨˨˧ iəʔ˨ ȵiəʔ˨
下个月	ɦo˨˨˧ kəʔ˧ ŋəʔ˧
下作	ɦo˨˨˧ ʦoʔ˨
下個月	ɦo˨˨˧ kəʔ˧ ŋəʔ˧
下元	ɦo˨˨˧ ȵiø˧
下半个月	ɦo˨˨˧ pø˥ kəʔ ŋəʔ˧
下半個月	ɦo˨˨˧ pø˥ kəʔ ŋəʔ˧
