填	diɛ̃˨˩˨$
塵	ʣeŋ˩˩˧$
塾	zoʔ˨$
境	ʨiŋ˧˧˥$
墅	zɿ˨˩˨$
墊	diɛ̃˨˩˨$
墓	mʊ˧˧˥$
墘	kɛ̃˥˧$
墙	ʑiã˩˩˧$
墜	ʣɿ˨˩˨$
增	ʦeŋ˥˧$
墟	ɕy˥˧$
墨	moʔ˨$
墮	dʊ˨˩˨$
墳	veŋ˩˩˧$
墾	kʰiŋ˦˨˦$
壁	pieʔ˥$
壅	yoŋ˥˧$
壇	dɛ̃˩˩˧$
壓	aʔ˥$
壞	ua˧˧˥$
壟	loŋ˨˩˨$
壩	po˧˧˥$
士	zɿ˨˩˨$
壮	ʦɔ̃˧˧˥$
壯	ʦɔ̃˧˧˥$
声	seŋ˥˧$
壳	kʰoʔ˥$
壹	ieʔ˥$
壽	ʑiʊ˨˩˨$
处	ʨʰy˧˧˥$
备	bɛ˨˩˨$
复	foʔ˥$
夏	o˧˧˥$
夕	ʥieʔ˨$
外	ua˧˧˥$
多	tʊ˥˧$
夜	ia˧˧˥$
够	kiʊ˧˧˥$
夠	kiʊ˧˧˥$
夢	moŋ˧˧˥$
夥	hu˦˨˦$
大	da˨˩˨$
天	tʰiɛ̃˥˧$
太	tʰa˧˧˥$
夫	fu˥˧$
夭	iɔ˥˧$
央	iã˥˧$
失	ɕieʔ˥$
头	dei˩˩˧$
夷	i˩˩˧$
夸	kʰua˧˧˥$
夹	gaʔ˨$
夺	deʔ˨$
夾	gaʔ˨$
奅	pʰɔ˧˧˥$
奇	ʥi˩˩˧$
奉	boŋ˨˩˨$
奋	feŋ˧˧˥$
奎	kʰuɛ˥˧$
契	ʨʰieʔ˥$
奔	peŋ˥˧$
奖	ʨiã˦˨˦$
套	tʰɔ˧˧˥$
奥	ɔ˧˧˥$
奧	ɔ˧˧˥$
奪	deʔ˨$
奮	feŋ˧˧˥$
女	no˨˩˨$
奴	nʊ˩˩˧$
奶	nɛ˨˩˨$
好	hɔ˦˨˦$
如	y˩˩˧$
妃	fi˥˧$
妆	ʦɔ̃˥˧$
妇	vu˨˩˨$
妈	ma˥˧$
妒	tʊ˦˨˦$
妓	ʥi˨˩˨$
妖	iɔ˥˧$
妗	ɕiɛ̃˥˧$
妙	miɔ˧˧˥$
妝	ʦɔ̃˥˧$
妥	tʰʊ˦˨˦$
妨	fɔ̃˦˨˦$
妹	mɛ˧˧˥$
妻	ʨʰi˥˧$
姊	ʨi˦˨˦$
始	sɿ˦˨˦$
姑	ku˥˧$
姓	ɕiŋ˧˧˥$
委	uɛ˦˨˦$
姘	pʰiŋ˥˧$
姚	iɔ˩˩˧$
姜	ʨiã˥˧$
姣	ʨiɔ˥˧$
姨	i˩˩˧$
姬	ʨi˧˧˥$
姿	ʦɿ˥˧$
威	uɛ˥˧$
娃	ua˩˩˧$
娄	lei˩˩˧$
娇	ʨiɔ˥˧$
娘	ȵiã˩˩˧$
娛	u˩˩˧$
娟	ʨyɛ̃˥˧$
娣	di˨˩˨$
娱	u˩˩˧$
娲	uo˥˧$
娶	ʨʰy˦˨˦$
婁	lei˩˩˧$
婆	bu˩˩˧$
婊	piɔ˦˨˦$
婚	hueŋ˥˧$
婦	vu˨˩˨$
婴	iŋ˥˧$
婵	ʑyɛ̃˩˩˧$
婶	ɕiŋ˦˨˦$
婿	ɕi˧˧˥$
媒	mɛ˩˩˧$
媧	uo˥˧$
媳	ɕieʔ˥$
媽	ma˥˧$
嫁	ko˧˧˥$
嫂	sɔ˦˨˦$
嫌	iɛ̃˥˧$
嫖	biɔ˩˩˧$
嫡	tieʔ˥$
嫩	leŋ˧˧˥$
嬉	ɕi˥˧$
嬋	ʑyɛ̃˩˩˧$
嬌	ʨiɔ˥˧$
嬰	iŋ˥˧$
嬸	ɕiŋ˦˨˦$
孀	sɔ̃˥˧$
子	ʦɿ˦˨˦$
孔	kʰoŋ˦˨˦$
孕	yoŋ˩˩˧$
字	zɿ˨˩˨$
存	ʣeŋ˩˩˧$
孙	seŋ˥˧$
孝	ɕiɔ˧˧˥$
孟	moŋ˧˧˥$
季	ʨi˧˧˥$
孤	ku˥˧$
学	iaʔ˨$
孩	ɛ˩˩˧$
孫	seŋ˥˧$
孬	nɔ˩˩˧$
孰	zoʔ˨$
學	iaʔ˨$
孽	ȵieʔ˨$
宁	niŋ˩˩˧$
宅	ʣaʔ˨$
宇	y˧˧˥$
守	ɕiʊ˦˨˦$
安	ɛ̃˥˧$
宋	soŋ˧˧˥$
完	uɛ̃˩˩˧$
宏	oŋ˩˩˧$
宕	dɔ̃˨˩˨$
宗	ʦoŋ˥˧$
官	kuɛ̃˥˧$
宙	ʥiʊ˨˩˨$
定	diŋ˨˩˨$
宜	i˥˧$
宝	pɔ˦˨˦$
实	ʑieʔ˨$
宠	ʨʰyoŋ˦˨˦$
审	ɕiŋ˦˨˦$
客	kʰaʔ˥$
宣	ɕiɛ̃˥˧$
宦	uɛ̃˨˩˨$
宪	ɕiɛ̃˧˧˥$
宫	ʨyoŋ˥˧$
宮	ʨyoŋ˥˧$
宰	ʦɛ˦˨˦$
害	ɛ˨˩˨$
宴	iɛ̃˨˩˨$
宵	ɕiɔ˥˧$
家	koʔ˥$
容	yoŋ˩˩˧$
宽	kʰuɛ̃˥˧$
宾	piŋ˥˧$
宿	soʔ˥$
寂	ʥieʔ˨$
寄	ʨi˧˧˥$
寅	iŋ˩˩˧$
密	mieʔ˨$
